,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mns1,1245.537745,-2.927033204,0.332981001,-8.790391016,1.49E-18,5.13E-17
Ttr,7241.835238,-2.924664774,0.566517251,-5.162534358,2.44E-07,2.18E-06
Ndc80,529.0656408,-2.920158879,0.411675471,-7.093351637,1.31E-12,2.30E-11
Tmem28,397.8458971,-2.919773098,0.352904009,-8.273561705,1.30E-16,3.69E-15
Ctsw,32.59149261,-2.919074688,0.707540041,-4.12566713,3.70E-05,0.000218615
Ncapd2,7448.103445,-2.915419339,0.326803714,-8.921010425,4.62E-19,1.70E-17
Incenp,3172.76443,-2.913403888,0.34271139,-8.501041906,1.88E-17,5.81E-16
Alas2,50.04567239,-2.911693502,0.571945679,-5.090856714,3.56E-07,3.10E-06
Rnd2,5888.396549,-2.910177582,0.327258499,-8.892595882,5.97E-19,2.16E-17
Arhgef15,194.8301703,-2.909167074,0.406407589,-7.158249881,8.17E-13,1.48E-11
Traip,421.9150909,-2.899944857,0.378279198,-7.666149423,1.77E-14,3.91E-13
Bub1,940.9829963,-2.899794553,0.400156803,-7.246645643,4.27E-13,8.01E-12
Cdc45,690.6605243,-2.899756962,0.373554918,-7.762598808,8.32E-15,1.90E-13
Fbxo5,714.5144594,-2.897146994,0.350823908,-8.258123025,1.48E-16,4.12E-15
Cyp39a1,377.3100328,-2.896224224,0.411494356,-7.038308495,1.95E-12,3.33E-11
Cd74,41.36207656,-2.89329941,0.606992817,-4.766612272,1.87E-06,1.43E-05
Spsb4,310.4179004,-2.893103896,0.390862837,-7.401839274,1.34E-13,2.72E-12
Gpr4,55.89167692,-2.889120849,0.564091147,-5.121726982,3.03E-07,2.66E-06
Ing4,144.7688951,-2.887861685,0.443430026,-6.512553308,7.39E-11,1.06E-09
Igdcc3,121.2707281,-2.886464613,0.446488343,-6.464815171,1.01E-10,1.43E-09
Wdr62,585.4375041,-2.884084885,0.347505659,-8.299389686,1.05E-16,3.00E-15
Lrr1,65.55963811,-2.868499027,0.523172141,-5.482897121,4.18E-08,4.17E-07
