"","X.1","X","res.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"21675",21675,81669,"peak81669","2.199469483",158.2958332,-0.431633821,0.240069139,-1.797956302,0.072183933,0.106599749,0.972243819,"Not Sig","Unchanged","Gse1","Promoter"
"21676",21676,81707,"peak81707","3.466565094",2927.959697,-0.563732598,0.105859142,-5.325308571,1.01e-07,3.75e-07,6.426499985,"Sig","Unchanged","Gse1","Promoter"
"21678",21678,81716,"peak81716","1.874226746",74.85602235,0.218095815,0.276588993,0.788519505,0.430392894,0.501375666,0.299836749,"Not Sig","Unchanged","Gse1","Promoter"
"21679",21679,81717,"peak81717","2.297603186",198.4281054,0.810663587,0.190839821,4.247874384,2.16e-05,6.16e-05,4.21037798,"Sig","Unchanged","Gse1","Promoter"
"21680",21680,81719,"peak81719","1.475534895",29.89061805,1.269143918,0.432332694,2.935572385,0.003329329,0.006700414,2.173898392,"Sig","Unchanged","Gse1","Promoter"
"21681",21681,81720,"peak81720","2.004214836",100.9752264,0.927962198,0.24116863,3.847773229,0.000119196,0.000307307,3.512427696,"Sig","Unchanged","Gse1","Promoter"
"21699",21699,81779,"peak81779","3.256225633",1803.954722,1.897999751,0.152071294,12.48098636,9.48e-36,1.77e-34,33.75310698,"Sig","Unchanged","Jph3","Promoter"
"21700",21700,81781,"peak81781","2.682538961",481.4364418,3.215498908,0.157871109,20.36787429,3.22e-92,4.46e-90,89.35052253,"Sig","Up","Jph3","Promoter"
"21730",21730,81878,"peak81878","2.437720272",273.98089,-3.598597603,0.208173316,-17.28654598,5.94e-67,3.44e-65,64.46390675,"Sig","Down","Piezo1","Promoter"
"21731",21731,81879,"peak81879","1.173501818",14.91082997,0.24999433,0.583961582,0.428100646,0.668577847,0.724048735,0.140232201,"Not Sig","Unchanged","Piezo1","Promoter"
"21732",21732,81884,"peak81884","1.8993",79.30489605,-1.045818519,0.321589949,-3.252024893,0.00114586,0.002514646,2.599523155,"Sig","Unchanged","Piezo1","Promoter"
"22036",22036,83325,"peak83325","2.329570005",213.5846341,1.403170046,0.199479181,7.034167865,2e-12,1.1e-11,10.95737342,"Sig","Unchanged","Kirrel3","Promoter"
"22037",22037,83326,"peak83326","2.804071084",636.8997585,1.540625807,0.166234095,9.267808768,1.9e-20,1.72e-19,18.76496539,"Sig","Unchanged","Kirrel3","Promoter"
"22038",22038,83327,"peak83327","2.631326397",427.8843444,2.313141198,0.157199233,14.71471042,5.19e-49,1.57e-47,46.80451392,"Sig","Up","Kirrel3","Promoter"
"22039",22039,83386,"peak83386","2.585946429",385.4308115,1.286862847,0.146028383,8.812415916,1.22e-18,9.95e-18,17.0020994,"Sig","Unchanged","Kirrel3","Promoter"
"22116",22116,83652,"peak83652","1.827111337",67.1601004,2.038193995,0.30323271,6.72155058,1.8e-11,9.23e-11,10.03460354,"Sig","Up","Sorl1","Promoter"
"22117",22117,83653,"peak83653","1.840800782",69.31077939,1.620980591,0.29281608,5.535831884,3.1e-08,1.21e-07,6.917794932,"Sig","Unchanged","Sorl1","Promoter"
"22118",22118,83672,"peak83672","3.190492938",1550.575572,2.437908353,0.138593967,17.59029209,2.92e-69,1.84e-67,66.73494483,"Sig","Up","Sorl1","Promoter"
"22135",22135,83773,"peak83773","2.349293876",223.5084137,1.727336205,0.184253588,9.374776494,6.93e-21,6.41e-20,19.19337804,"Sig","Unchanged","Usp2","Promoter"
"22136",22136,83774,"peak83774","2.359380408",228.7601686,1.187263231,0.178402311,6.654976732,2.83e-11,1.44e-10,9.842968124,"Sig","Unchanged","Usp2","Promoter"
"22137",22137,83776,"peak83776","3.307766688",2031.26548,3.25332119,0.124089457,26.21754708,1.68e-151,1.27e-148,147.8954154,"Sig","Up","Usp2","Promoter"
"22138",22138,83777,"peak83777","1.796368151",62.5702875,1.59580674,0.309904395,5.14935175,2.61e-07,9.3e-07,6.031345949,"Sig","Unchanged","Usp2","Promoter"
"22200",22200,83895,"peak83895","2.356988515",227.5037266,2.846273483,0.195927719,14.52716083,8.15e-48,2.35e-46,45.62815643,"Sig","Up","Dscaml1","Promoter"
"22201",22201,83896,"peak83896","2.95570369",903.0331438,0.622614237,0.145563269,4.277275735,1.89e-05,5.43e-05,4.264815665,"Sig","Unchanged","Dscaml1","Promoter"
"22202",22202,83932,"peak83932","1.233159314",17.10642723,-0.363968306,0.552010904,-0.659349849,0.509671138,0.577939253,0.238117808,"Not Sig","Unchanged","Dscaml1","Promoter"
"22203",22203,83933,"peak83933","2.762211189",578.3772326,-2.430318396,0.155089843,-15.67039048,2.41e-55,9.25e-54,53.03370222,"Sig","Down","Dscaml1","Promoter"
"22204",22204,83935,"peak83935","1.304685682",20.16906111,-1.180648679,0.504435459,-2.340534668,0.019256151,0.032882015,1.483041573,"Sig","Unchanged","Dscaml1","Promoter"
"22205",22205,83939,"peak83939","2.724436232",530.1957376,-1.730492016,0.138317281,-12.51103265,6.5e-36,1.22e-34,33.9136608,"Sig","Unchanged","Dscaml1","Promoter"
"22206",22206,83940,"peak83940","1.49385667",31.17860431,-2.081895208,0.423450701,-4.916499619,8.81e-07,2.97e-06,5.527966744,"Sig","Down","Dscaml1","Promoter"
"22207",22207,83941,"peak83941","1.281729266",19.13062971,-1.295812608,0.530423671,-2.442976584,0.014566682,0.025585129,1.59201239,"Sig","Unchanged","Dscaml1","Promoter"
"22208",22208,83942,"peak83942","1.737757878",54.67110826,-1.329899828,0.309710296,-4.294012324,1.75e-05,5.06e-05,4.295657312,"Sig","Unchanged","Dscaml1","Promoter"
"22327",22327,84483,"peak84483","3.248657961",1772.792724,-0.828410326,0.14785605,-5.602816553,2.11e-08,8.35e-08,7.078108562,"Sig","Unchanged","Lingo1","Promoter"
"22328",22328,84487,"peak84487","1.559787996",36.29008587,-1.886208014,0.383392124,-4.919788109,8.66e-07,2.92e-06,5.534950699,"Sig","Unchanged","Lingo1","Promoter"
"22329",22329,84488,"peak84488","1.834604791",68.32895699,-0.822595474,0.288087438,-2.855367382,0.004298707,0.008460601,2.072598778,"Sig","Unchanged","Lingo1","Promoter"
"22330",22330,84495,"peak84495","1.984173039",96.42131258,-0.057588166,0.277518126,-0.207511368,0.835610516,0.868410362,0.061275003,"Not Sig","Unchanged","Lingo1","Promoter"
"22331",22331,84499,"peak84499","2.826070452",669.9932877,-0.060748422,0.16800812,-0.361580275,0.717665707,0.767692341,0.114812792,"Not Sig","Unchanged","Lingo1","Promoter"
"22706",22706,85889,"peak85889","2.620837361",417.6739231,-1.116434487,0.169636309,-6.581341539,4.66e-11,2.32e-10,9.634145769,"Sig","Unchanged","Tpbg","Promoter"
"22825",22825,86427,"peak86427","2.614660292",411.7753002,-3.991094952,0.176677259,-22.5897491,5.47e-113,1.39e-110,109.8581007,"Sig","Down","Ephb1","Promoter"
"22827",22827,86467,"peak86467","3.139882253",1380.010061,0.229257157,0.184754007,1.240877858,0.214650874,0.276257647,0.558685692,"Not Sig","Unchanged","Ephb1","Promoter"
"23449",23449,88384,"peak88384","3.242001815",1745.82945,2.238892035,0.174777857,12.80992954,1.44e-37,2.89e-36,35.53931252,"Sig","Up","Atp2b3","Promoter"
