"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2190","Sfi1",230.7329866,-0.317549218,0.203102116,-1.563495369,0.117936124,0.814886801
"2620","Zfp984",21.44935096,0.878935521,0.610639062,1.439369957,0.150045732,0.866744217
"4891","Nsun4",76.89124346,-0.330069402,0.333034348,-0.991097177,0.321638131,0.989972857
"6106","Arnt",753.3872651,0.056427562,0.124887011,0.451828909,0.651392242,0.99976007
"6977","Cfap54",16.40724763,0.686760578,0.778492629,0.882167092,0.377686455,0.99976007
"10006","Map3k7",901.7254403,0.072701747,0.111761567,0.650507585,0.515364404,0.99976007
"13165","Spata1",44.85315771,0.325758499,0.438591372,0.742738046,0.45764029,0.99976007
"14638","Xpo6",1007.980624,-0.057847352,0.10681517,-0.54156495,0.588118243,0.99976007
