"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2216","Fez2",312.5282267,-0.261606782,0.168242914,-1.554934923,0.119961569,0.819105822
"2226","Hs3st1",476.9722498,-0.220170888,0.141999284,-1.550507026,0.121019868,0.820442632
"2315","Cdh22",1277.732104,-0.171139398,0.112540785,-1.52068779,0.128338204,0.834530447
"2332","Mmp23",69.66264989,-0.535958997,0.351865403,-1.523193223,0.127710371,0.834530447
"2361","Fam78b",723.5167762,-0.184894233,0.1223348,-1.511378884,0.130691946,0.836974804
"2380","Rgma",547.9887183,-0.202996991,0.134674947,-1.507310719,0.131731031,0.837348376
"2751","Fndc3b",284.323066,-0.247234699,0.177174819,-1.395427979,0.162886819,0.895499007
"2869","Grm1",3012.499032,-0.116468704,0.085452396,-1.362965925,0.17289325,0.9115885
"2893","Zfp462",755.2795514,0.158852204,0.11697084,1.358049615,0.174447941,0.913017438
"3234","Adam11",3402.503884,0.108814538,0.085119859,1.278368406,0.201119558,0.938816457
"3276","Agap3",2686.100808,-0.100382731,0.079249771,-1.266662724,0.205275914,0.940773848
"3552","Zbtb46",1183.628512,0.122432422,0.100663868,1.216249927,0.22388973,0.955885211
"3644","Disp3",736.8555239,-0.14379538,0.122808625,-1.170889911,0.241643031,0.960502983
"3756","Plxna1",1653.528874,0.109739432,0.091708915,1.196605937,0.231460185,0.960502983
"3924","Asic2",1075.033464,-0.127474541,0.11103398,-1.148067829,0.250940564,0.965907836
"3942","Lingo1",1220.069857,0.134733867,0.117360117,1.148037942,0.250952901,0.965907836
"4071","Pipox",14.98786362,-0.816688226,0.725853787,-1.12514151,0.260529074,0.968311955
"4308","Kcna2",3122.004468,-0.093821495,0.086741623,-1.081620246,0.279421305,0.980055939
"4449","Tgfbr3",242.4955412,0.203828524,0.192263147,1.060153894,0.289074592,0.983226232
"4475","Dok7",112.2559838,-0.284648307,0.270393475,-1.052718847,0.292469868,0.983985019
"4502","Gdpd5",444.785796,0.161013267,0.153069066,1.051899451,0.292845684,0.984021328
"4712","Rxra",178.4934786,-0.224750828,0.220001484,-1.021587783,0.306976042,0.985712725
"4757","Atp2b3",3427.097931,-0.084563631,0.083379333,-1.014203746,0.310485541,0.987588128
"4766","Gas6",1215.761408,-0.113487188,0.112156147,-1.01186775,0.311601291,0.987797925
"5002","Plk2",292.3140279,0.181012998,0.185034297,0.97826728,0.327942148,0.990600558
"5047","Fjx1",460.1591019,-0.146748293,0.151105172,-0.971166579,0.331465334,0.991606401
"5082","Amer3",804.9544532,0.110450165,0.114324452,0.966111468,0.333988407,0.992538575
"5190","Zbtb7b",394.3382337,-0.159065955,0.167046391,-0.952226228,0.340982262,0.994104549
"5252","Junb",126.8052965,-0.251715006,0.267397683,-0.941350737,0.34652515,0.994516705
"5749","Adra2c",256.8676164,-0.106316243,0.187437826,-0.567208047,0.570572842,0.99976007
"5765","Agap2",2344.649134,-0.018542606,0.100674395,-0.184183929,0.853869167,0.99976007
"6107","Arntl",541.4305496,-0.001206148,0.133183012,-0.009056319,0.992774202,0.99976007
"6192","Atoh8",92.10961743,0.18862123,0.300659257,0.6273588,0.530424068,0.99976007
"6281","B4galnt1",549.698955,-0.079383358,0.136262144,-0.582578229,0.560177265,0.99976007
"6578","Caln1",3618.754488,-0.070210734,0.08936653,-0.7856491,0.432073091,0.99976007
