"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"151","Ank1",4014.806767,-0.296612225,0.076521334,-3.876203006,0.000106099,0.010631699
"152","Rps29",314.3690766,0.688727109,0.178305227,3.862629934,0.000112173,0.011166366
"154","Vsnl1",2431.326199,-0.331710441,0.085986468,-3.857705162,0.000114457,0.011241201
"156","Igfbp5",2085.817848,-0.337985668,0.087913237,-3.844536733,0.00012078,0.011714924
"159","Gnas",8158.624745,-0.25643383,0.067069622,-3.823397565,0.000131625,0.012525926
"167","Dusp4",228.5192541,0.759557391,0.200248243,3.793078925,0.000148791,0.013481163
"172","Kcng4",963.4515472,-0.431807724,0.114411591,-3.774160657,0.000160547,0.014111967
"173","Metrn",1136.008105,-0.390757016,0.103530039,-3.774334667,0.000160435,0.014111967
"174","Tomm7",141.6342421,0.971563381,0.257565123,3.772107696,0.000161874,0.014111967
"175","Kcnj9",894.5338357,-0.505046556,0.134021766,-3.768392035,0.000164303,0.014206065
"178","Kcnc1",7147.312117,-0.285086411,0.076036964,-3.749313462,0.000177319,0.01507314
"180","Gabrb2",1876.073032,-0.335442393,0.089831659,-3.73412222,0.000188371,0.015834676
"182","Fam135b",432.6660471,-0.591963161,0.158825281,-3.727134347,0.000193669,0.01610115
"183","Prex2",1556.215086,-0.364511073,0.098302747,-3.708045644,0.000208865,0.017269599
"185","Wscd2",1663.398536,-0.343843489,0.093097723,-3.693360903,0.00022131,0.018100732
"186","Clstn2",341.0901103,-0.59767692,0.161976402,-3.689901204,0.000224341,0.018250033
"188","Vcan",682.7701782,0.474494444,0.12885,3.682533521,0.000230927,0.018585978
"190","Speg",1360.863873,-0.389303758,0.105993768,-3.672892902,0.00023982,0.019098508
"193","Ifi203",340.340793,0.686114818,0.187366193,3.661892287,0.000250359,0.019601859
"194","Mab21l2",65.087189,-1.405010228,0.38378731,-3.660908509,0.000251322,0.019601859
"196","Fgfr1",1206.288165,-0.399427938,0.109461713,-3.649019609,0.000263243,0.020322092
"200","Tuba4a",3883.576984,-0.296214619,0.08174228,-3.623762623,0.000290348,0.021966285
"201","Igfbp3",280.8464715,-0.661328182,0.182998341,-3.613847962,0.000301686,0.022710503
"203","Paqr6",197.3944695,-0.764914011,0.212103656,-3.606321668,0.000310568,0.023148799
"206","Camk4",2252.854477,-0.305331622,0.08486128,-3.598008695,0.000320663,0.023553157
"207","Trp73",141.6878506,-0.919930443,0.256214385,-3.590471486,0.00033008,0.024127757
"213","Pxylp1",293.5945929,-0.615399379,0.174134879,-3.534038573,0.000409261,0.029072927
"216","Cacna1i",945.8905666,-0.392449501,0.111780932,-3.51088057,0.000446625,0.031286495
"219","Adcyap1r1",2024.803278,0.299058479,0.085705188,3.489385952,0.000484132,0.033420148
"220","Plec",1244.347394,-0.358084184,0.102649945,-3.488401133,0.000485918,0.033420148
"224","Car7",510.0703647,-0.495174322,0.142573812,-3.473108538,0.000514467,0.034597351
"231","Pid1",157.7557195,0.816374265,0.236132511,3.45727177,0.000545674,0.035742844
"232","Layn",37.25981924,-1.683970372,0.48755635,-3.453898962,0.000552544,0.036036847
"233","H3f3b",5569.5867,0.267036129,0.077499375,3.445655262,0.000569677,0.03699475
"240","Slc44a5",211.8468335,0.791066172,0.231613285,3.415461132,0.000636741,0.040143877
"242","Dcc",193.432237,0.84980282,0.249980385,3.399478002,0.000675146,0.041903691
"251","Ndrg4",8065.380862,-0.240261016,0.071318586,-3.368841544,0.000754848,0.045054877
"252","Oxr1",1632.898754,-0.309345137,0.091811361,-3.36935577,0.000753441,0.045054877
"261","Ptn",2860.329059,0.313316595,0.093959004,3.33460958,0.000854192,0.049520248
"262","Ndrg2",5443.519593,-0.27772948,0.083514808,-3.325511791,0.000882564,0.050632258
"266","Plcb4",2434.748141,-0.277991503,0.083679804,-3.322085978,0.000893472,0.050910133
"267","Whrn",839.4511443,-0.412017014,0.124080398,-3.320564886,0.000898355,0.050910133
"268","Maf",338.4966211,-0.571220745,0.172546457,-3.310533028,0.000931185,0.052573711
"273","Fam107a",6723.280628,-0.613485077,0.186267608,-3.293568227,0.000989243,0.054628614
"276","Tspan9",3240.332982,-0.252874018,0.076916702,-3.287634676,0.001010329,0.055188739
"278","Bcor",219.8090948,-0.66138312,0.201321723,-3.285204949,0.001019082,0.055466662
"280","Nr4a3",91.77503933,-1.102762202,0.337298492,-3.269395592,0.001077775,0.058242193
"282","AI593442",455.1214957,0.483191864,0.148569443,3.252296389,0.001144766,0.061206542
"283","Reln",6137.782572,0.233020329,0.071637273,3.252780553,0.001142817,0.061206542
"297","Cacna1a",8702.458044,-0.213265626,0.066390515,-3.212290598,0.001316811,0.067066468
"300","Dync1i1",920.5230118,-0.358009087,0.111602469,-3.207895752,0.0013371,0.067438845
"309","Unc13c",1774.46956,-0.286628877,0.089817864,-3.191223482,0.001416716,0.06937326
"312","Ankrd34a",450.9867066,-0.466879756,0.146660823,-3.183397901,0.001455574,0.070590692
"317","Dpysl5",1045.039814,0.409139917,0.128881688,3.174538794,0.001500748,0.071408246
"321","Hpca",764.9347922,0.373877249,0.118070542,3.166558261,0.001542544,0.072485217
"323","Slit3",330.5092241,-0.550639296,0.174036986,-3.163921128,0.00155659,0.072918759
"325","Ifitm10",149.2740547,-0.759085296,0.240416888,-3.157370946,0.001591987,0.07411801
"326","Kcnk3",1242.6895,-0.347920039,0.110762762,-3.141128249,0.001682983,0.078114167
"329","Dpp10",1531.389545,-0.292322874,0.093404385,-3.1296483,0.001750157,0.078814364
"330","Mab21l1",790.5495753,0.408724537,0.130590096,3.129827986,0.001749087,0.078814364
"331","Mal",2182.390814,-0.297971476,0.095167097,-3.131034636,0.001741916,0.078814364
"335","Sncb",2189.747471,-0.30070803,0.095898569,-3.135688391,0.001714513,0.078814364
"337","F3",323.369136,-0.543935121,0.174069974,-3.12480727,0.001779216,0.079857175
"338","Igsf9b",4269.640212,-0.278483674,0.089142194,-3.124038816,0.001783869,0.079857175
"339","Fbrsl1",1145.071032,-0.322643055,0.103384556,-3.120805143,0.001803573,0.080501086
"341","Mgat3",2580.056381,-0.292897246,0.094115385,-3.112108032,0.001857565,0.082424684
"342","Dbx2",46.15377444,-1.404419552,0.45148563,-3.110662795,0.00186668,0.082586931
"344","Cacna1g",6587.038644,-0.225279358,0.072645311,-3.101086036,0.001928123,0.084594043
"346","Pde5a",542.4596976,-0.415346484,0.134030351,-3.098898718,0.001942414,0.084594043
"353","Frem2",243.4258524,0.607884476,0.19699731,3.08575014,0.002030394,0.087030838
"356","Ftl1",1347.042387,0.340584287,0.110642604,3.078238161,0.002082284,0.088502931
"359","Islr2",409.5946394,1.210258294,0.39412186,3.070771803,0.002135063,0.089987833
"360","Ankrd6",86.12456567,-1.067066374,0.347801288,-3.068034566,0.002154717,0.090563949
"362","Atp2a3",2590.090071,-0.278504148,0.090924029,-3.063042322,0.002190991,0.09157978
"365","Car8",10238.28412,-0.201805615,0.066284713,-3.044527271,0.002330463,0.096344907
"372","Barhl1",560.7040376,0.934675308,0.308720972,3.027573089,0.002465261,0.099983346
"373","Elmod1",1057.979551,-0.313033663,0.103427299,-3.026605801,0.002473163,0.099983346
"375","Tmem130",693.3523168,-0.373150522,0.123270941,-3.027076126,0.002469318,0.099983346
"376","Garnl3",1642.33421,-0.321568581,0.106398599,-3.022300893,0.002508611,0.100951559
"377","Tiam1",2365.724034,-0.3232093,0.106997622,-3.020714788,0.002521788,0.101212655
"379","Dock9",2296.208817,-0.286199275,0.094850582,-3.017369714,0.002549786,0.101796346
"381","Pde4b",802.8014683,-0.361216079,0.120424147,-2.999531967,0.002703947,0.107384329
"382","Crim1",325.5619733,-0.502026467,0.167485025,-2.997440923,0.002722566,0.107749158
"383","Sst",44.61081343,-1.36913768,0.456850871,-2.996902857,0.002727376,0.107749158
"385","Egr4",119.1694355,-0.825932951,0.275874916,-2.99386752,0.002754655,0.108261529
"386","Daam2",866.488678,-0.335678656,0.112187341,-2.992125956,0.002770419,0.10848414
"389","Wnk2",2136.08505,-0.259018263,0.086876618,-2.981449672,0.002868872,0.111830753
"391","Ccdc92",1163.436727,-0.302762884,0.101723638,-2.976327735,0.002917229,0.112726927
"394","Olig1",1139.423344,-0.305339858,0.102950179,-2.965899256,0.003017993,0.115901667
"403","Mapt",5598.010218,0.204436388,0.06948341,2.94223309,0.003258546,0.122042209
"405","Mical3",2205.531461,-0.276384653,0.093986451,-2.940686138,0.003274862,0.122049096
"406","Rps18",775.1991498,0.346209136,0.117726758,2.940785446,0.003273812,0.122049096
"408","Bcas1",1126.191473,0.322493887,0.109972705,2.932490278,0.003362555,0.124702971
"409","Col4a1",1396.454101,0.278711934,0.095095759,2.930855558,0.003380299,0.125006491
"410","Iqsec1",2215.087596,-0.266582041,0.090976917,-2.930216239,0.003387262,0.125006491
"411","Pou2f2",266.4548995,0.547720432,0.187289248,2.924462768,0.003450514,0.126722622
"413","Plch1",210.274546,-0.630719565,0.215950489,-2.920667452,0.003492824,0.127965921
"419","Tsc22d3",895.5207849,-0.319034637,0.109710701,-2.907962803,0.003637916,0.131652681
"426","Dlg1",1062.91416,-0.297842456,0.103319032,-2.882745331,0.00394226,0.140024269
"431","Ldlrap1",390.5371224,-0.471762941,0.164240925,-2.872383616,0.004073881,0.143020636
"434","Tmem151a",711.5640004,-0.34677517,0.120888875,-2.868544941,0.004123646,0.143767026
"436","Antxr2",41.09998326,1.308281346,0.457242156,2.861243939,0.004219822,0.145113934
"438","Rgl3",731.5670019,-0.352214278,0.123087464,-2.861495939,0.004216469,0.145113934
"439","Slc6a1",5418.19869,-0.20199256,0.07054643,-2.863257017,0.004193103,0.145113934
"443","Rnf182",362.1333429,-0.48244371,0.169101703,-2.8529796,0.00433114,0.147933368
"444","Ephb3",99.23432431,0.828161633,0.290571528,2.850112802,0.004370373,0.148269301
"447","Kirrel",220.1560484,0.571582967,0.200662734,2.848475932,0.004392918,0.148700752
"449","Rnf165",528.2393746,0.488150211,0.171557037,2.845410598,0.004435421,0.149470719
"453","Enah",1284.821,0.277370504,0.097727819,2.838193946,0.004536961,0.150446922
"455","Hmgn2",783.3946655,0.393054659,0.138396617,2.840059743,0.004510509,0.150446922
"456","Lin7c",1867.053191,0.253220147,0.089234171,2.83770382,0.004543933,0.150446922
"459","Kcnip2",135.8861994,-0.710327307,0.250605887,-2.834439832,0.00459061,0.151001136
"460","Reps2",608.0632414,-0.359871796,0.126955018,-2.834640194,0.004587732,0.151001136
"463","Adamts2",335.7530113,-0.470159653,0.166181864,-2.829187507,0.004666635,0.15250724
"464","Igfbpl1",448.4531261,1.197073914,0.423393466,2.827332046,0.004693763,0.152734039
"465","Plpp3",1725.056439,-0.256085958,0.090568463,-2.827540079,0.004690714,0.152734039
"470","Mir124a-1hg",4411.350945,0.22593079,0.080147677,2.818931246,0.004818384,0.155121202
"471","Kcnc3",9795.091202,-0.19525118,0.06933189,-2.816181398,0.004859822,0.156123066
"477","Rasd2",211.6284952,-0.580352748,0.206987937,-2.803799856,0.005050425,0.160205396
"478","Gprc5b",3229.330437,-0.233215927,0.08352952,-2.792018034,0.005238044,0.165809286
"482","Car10",1378.647833,-0.290946152,0.104402523,-2.786773187,0.005323573,0.167118207
"483","Gprc5c",460.5309134,-0.436785874,0.157060831,-2.780998113,0.005419205,0.169768104
"484","Ndrg1",332.4505825,-0.511907026,0.184274553,-2.777958305,0.005470164,0.171010428
"489","Lrp4",236.5528448,-0.554989758,0.200836821,-2.763386498,0.005720498,0.177007897
"490","Sh2d3c",228.6906677,-0.545516394,0.19750254,-2.762072798,0.005743567,0.177359006
"491","Col11a2",252.1171209,0.52928841,0.191734408,2.760529086,0.005770782,0.177475002
"492","Neo1",1722.50135,0.290412865,0.105196016,2.760683112,0.005768061,0.177475002
"495","Scn1a",1197.850403,-0.288081918,0.104716509,-2.75106495,0.005940186,0.181211615
"496","Sstr2",104.9426737,0.843964455,0.306727139,2.751515431,0.005932023,0.181211615
"501","Ckb",16395.70888,-0.170831089,0.062249596,-2.74429232,0.006064151,0.183147048
"511","Lockd",17.93845306,2.160493912,0.795261201,2.716709817,0.006593439,0.195235466
"516","Eomes",381.3262504,-0.922217687,0.340531858,-2.708168606,0.006765564,0.197304318
"520","Ece1",752.6183744,-0.319742649,0.118245268,-2.704062952,0.006849731,0.199314002
"522","Pitpnm3",623.5150851,-0.350725753,0.12996448,-2.698627764,0.006962601,0.201822049
"524","Pcsk9",52.15467935,1.224613283,0.454176356,2.696338694,0.007010634,0.202624901
"525","Zcchc24",1006.934487,-0.288327788,0.106957245,-2.695729368,0.00702347,0.202624901
"526","Ccnd2",464.5026433,0.93024615,0.34537101,2.693469118,0.00707127,0.203027287
"527","Rpl9",955.7276962,0.300988483,0.111745598,2.693515347,0.007070289,0.203027287
"528","Ets1",177.5394422,0.58623127,0.217849199,2.690995752,0.00712391,0.204151298
"529","Nol3",226.8056063,0.533890725,0.198461211,2.690151496,0.007141959,0.204281624
"531","Specc1",1376.813739,-0.264670125,0.098492317,-2.687215945,0.007205036,0.205675902
"533","Slc18a2",50.19534923,-1.204194518,0.449911839,-2.67651218,0.007439286,0.211189192
"534","Syndig1l",567.8011846,-0.377399064,0.141089024,-2.674900238,0.007475149,0.211809888
"535","Pip5k1b",284.7312893,-0.47453913,0.177463075,-2.674016162,0.007494884,0.211972129
"539","Rhbdf2",381.8373338,-0.415682778,0.156333948,-2.658941224,0.007838664,0.220110392
"542","Gsg1l",204.2384023,-0.557747892,0.210148427,-2.654066462,0.007952816,0.221511071
"546","Phlda1",316.2380161,0.481814819,0.18206472,2.6463931,0.008135521,0.225043099
"547","Set",1410.183313,0.252319745,0.095326045,2.646912975,0.008123025,0.225043099
"549","Dpysl3",1503.457661,0.58807948,0.222537079,2.642613463,0.00822689,0.226608322
"554","Egr1",234.3005039,-0.509460819,0.193556576,-2.632102871,0.008485816,0.231766948
"555","Cdk6",55.72023408,1.050755072,0.399557398,2.629797568,0.008543573,0.232923956
"559","Smpd3",556.0269675,0.375028248,0.14293643,2.623741542,0.008696975,0.234989168
"562","Col18a1",1283.44821,0.281979569,0.107608231,2.62042752,0.00878196,0.236117153
"563","Csnk1e",1229.000277,0.292943728,0.111798266,2.620288653,0.008785537,0.236117153
"565","Rpl11",952.0690507,0.318348404,0.121645644,2.617014421,0.008870259,0.23725723
"577","Panx2",584.7736225,-0.358669305,0.137610069,-2.606417598,0.009149484,0.240649036
"579","Stard10",403.0377038,-0.457058466,0.175507529,-2.604210026,0.009208631,0.240649036
"580","Sgpp2",823.576472,-0.298176426,0.114591938,-2.602071577,0.009266251,0.241737318
"581","Srrm4",1420.012238,-0.284161643,0.109253247,-2.600944596,0.009296747,0.242115446
"584","Cacnb2",332.0694817,-0.423975188,0.163360754,-2.595330748,0.009449993,0.244842206
"586","Usp2",540.283161,-0.389243978,0.150147495,-2.592410733,0.009530591,0.246087669
"589","Inpp4b",238.2879002,-0.495142161,0.19128992,-2.588438324,0.009641221,0.247676258
"593","Lpp",364.2285059,-0.429867852,0.166504615,-2.581717335,0.009831007,0.251426624
"594","Nucks1",1455.395975,0.249107558,0.096599651,2.578762509,0.009915493,0.251426624
"601","Nwd2",151.0715909,-0.631006705,0.245258965,-2.572818103,0.010087421,0.253542799
"605","Col4a2",980.8793588,0.295838172,0.115157576,2.568985761,0.010199665,0.255092774
"606","Coro2a",377.9419551,-0.403750146,0.157441262,-2.564449373,0.010333965,0.258025133
"607","Faim",227.5719219,0.497083075,0.193902842,2.56356776,0.010360248,0.2582552
"608","Abhd3",396.3866771,-0.391797728,0.153062539,-2.55972318,0.010475557,0.260486592
"614","Frmd4a",1536.397916,0.269812535,0.10565262,2.55377041,0.01065635,0.262448421
"622","Sidt1",452.4188701,-0.386717581,0.151815515,-2.547286297,0.010856432,0.263820464
"623","Slc17a7",5969.577713,-0.435428261,0.170951129,-2.547092049,0.010862478,0.263820464
"624","Prkar2b",271.7440106,0.467395828,0.183612312,2.54555821,0.010910317,0.264134414
"625","Sorcs2",173.5017494,-0.581305999,0.228333795,-2.545860546,0.010900873,0.264134414
