Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
Fbxo33,9.080524062,9.287510379,8.72271607,10.00576374,9.733890213,9.755094849,10.86974461,10.75856781,10.84942395,
Fbxo41,10.4253918,10.61981368,10.88672244,11.65200904,11.68448271,11.63736031,11.69595774,11.83318986,11.61616698,
Fbxo48,7.168125729,7.177498459,6.709666496,5.381467228,5.459052027,5.332223242,5.222443067,5.551883538,5.307200871,
Fbxo5,9.91022828,10.01285136,9.680876783,7.594359375,7.869773207,7.328900874,6.864164304,6.916828886,7.11782314,
Fbxo9,10.96007247,11.17345342,11.2842228,11.96131955,11.95074794,12.2014624,12.22364998,12.19305763,12.26399015,
Fbxw10,5.380127104,5.504053499,5.465727008,5.728395679,5.270333086,5.371738788,5.834846819,6.168484657,6.126548926,
Fbxw11,12.18635028,12.1440626,12.01787587,12.80061323,12.86143787,12.9913253,12.9716052,13.07218123,13.45759437,
Fbxw15,3.946819592,3.946819592,4.628953906,3.946819592,4.269158761,3.946819592,5.166444018,5.21407975,5.135195632,
Fbxw23,3.946819592,3.946819592,3.946819592,3.946819592,3.946819592,3.946819592,4.82166924,4.693849087,4.925893365,
Fcer1g,7.696777114,7.512359122,7.958914887,6.686500454,6.758451124,7.082792808,6.893334273,6.753689122,6.791641284,
Fcer2a,5.559884198,5.38582614,5.508431805,5.952742141,5.784774642,5.918448384,6.455602753,6.552121492,6.18527919,
Fcmr,4.950627878,4.688333195,5.044477838,4.863311954,4.898500703,5.446737061,3.946819592,4.477965382,4.55346985,
Fcna,6.068868362,5.857282429,6.570950586,6.410154727,5.784774642,5.81654837,5.420515172,5.26256619,5.036497131,
Fcor,6.745695347,6.779800405,7.261049555,8.021049398,8.423009007,8.57837849,8.32231465,8.018397904,7.962396464,
Fcrlb,5.115554843,5.101163598,5.223174336,5.452837559,5.669803199,5.583270368,6.012949349,5.587768348,5.489205366,
Fcrls,9.685210006,9.615213185,9.931546256,8.48536352,8.865172141,9.08380969,8.099921961,7.802196717,7.645974955,
Fdps,7.468919598,7.545120938,7.697992445,7.123686919,7.264465141,7.008464784,6.740952226,6.483627328,6.364137183,
Fech,10.13630474,10.04875228,10.10416907,11.13100699,10.97883477,11.10987626,11.09545945,11.16744092,11.1845362,
Fen1,10.5623941,10.58013499,10.74922953,9.408433874,9.558571607,9.463099349,9.52508481,9.493271533,9.494597443,
Fendrr,5.977552029,5.800235406,5.736270951,5.133345086,5.081941746,5.057049345,5.04383899,5.395934392,4.982917155,
Fermt1,6.154178737,6.197895906,6.041450609,4.924342624,4.948052738,4.88231934,3.946819592,4.323450672,4.443350558,
Fez1,12.63610027,12.71507129,13.01169836,13.4845647,13.57228241,13.7815032,13.9137185,13.706564,13.75392629,
Fez2,10.02903463,9.992349451,10.08407706,10.5381146,10.47852712,10.82334508,11.30199227,11.35900853,11.34251743,
Fgd1,11.07303023,11.11573589,11.2848999,10.66852771,10.67210086,10.63862825,10.1024577,10.28082102,10.10404897,
Fgd2,7.444801934,7.229019707,7.43854813,6.426185154,6.660430196,6.577379303,6.394756549,6.295513364,6.461019178,
Fgd3,8.8230529,8.900880781,9.21609932,10.05647644,10.10494852,10.05356352,10.14926764,10.35954421,10.13869995,
Fgd5,9.253642091,9.226097101,9.285449391,8.955564127,9.032261458,8.994305049,8.075034516,8.40417463,8.075628039,
Fgf1,9.103654929,9.246035589,9.224599735,11.24469398,11.1303068,11.26863006,11.98525495,12.71929757,12.46236168,
Fgf10,7.335280215,7.495690827,6.909053159,7.769624456,7.770639064,7.753736213,6.893334273,6.535317731,7.088416726,
Fgf11,10.2477208,10.28981994,10.40257506,11.26693281,11.45187159,11.33173678,11.42243501,11.58678005,11.40764463,
Fgf12,10.37877856,10.41941739,9.922870212,12.03964726,11.82421103,11.59772328,11.91534973,12.3464575,12.22588399,
Fgf13,10.96988913,11.11573589,10.74824784,11.27712351,11.43827126,11.03798089,10.01547391,10.1962521,9.906026809,
Fgf14,8.859758404,9.069854182,8.521068466,10.94504664,10.8928765,10.78071316,11.06900421,11.39002294,11.63887861,
Fgf15,7.065922843,6.950190467,6.353814425,3.946819592,3.946819592,3.946819592,3.946819592,3.946819592,3.946819592,
Fgf22,7.361315546,7.156351315,7.326265152,6.327012014,6.413738342,6.952852671,7.376945942,7.539110192,7.505614103,
Fgf3,7.531301629,7.187954284,6.937343137,4.863311954,4.994921327,5.002544992,4.342841854,4.323450672,4.443350558,
Fgf5,8.85370545,8.891413546,8.826936525,7.713561384,7.845626718,7.461499892,6.569682018,6.275167702,6.551441108,
Fgf7,6.649045069,7.920284592,7.428699958,9.841957489,10.33824132,9.537642363,9.156443406,9.115476533,9.247588772,
Fgf8,5.211512424,5.504053499,5.223174336,3.946819592,3.946819592,4.453070666,3.946819592,3.946819592,3.946819592,
Fgfbp1,5.853381461,5.466009544,5.867353683,6.619012424,6.225314045,6.452833906,6.949906397,5.924817337,6.429490412,
Fgfbp3,8.609711677,8.730802276,8.521068466,7.681436675,7.664107789,7.62571158,8.374191854,8.08189139,8.349591553,
Fgfr3,9.791860678,9.407434558,9.705369495,10.98616906,10.76604174,11.29585725,11.29596629,11.6283164,11.46714067,
Fgfr4,7.468919598,7.545120938,7.815691472,5.264789146,5.82790653,5.893737542,4.975930952,4.779768568,4.726269941,
Fhad1,6.560431554,6.219128829,6.265304775,5.833114771,5.542622103,6.22222789,7.991029052,6.46595144,7.730315447,
Fhl2,8.09702866,8.212151007,8.214160386,7.312643082,7.181475668,7.453565666,7.214410218,6.648831473,6.839791938,
Fhl3,7.857232878,7.62387126,8.125960509,6.894068782,7.016796294,7.040802704,5.275531295,5.587768348,5.419957554,
Fhl4,6.214707707,6.485608735,6.120391647,5.807755884,6.358530117,6.100614354,5.107096432,5.052653307,5.554479493,
Fibcd1,10.74089914,10.33935873,10.60918166,6.673264853,6.023816292,6.279078873,5.326058067,6.100067281,5.675011681,
Fibin,6.291335872,6.585491888,6.068300645,7.034247015,6.128440187,6.918392447,7.814157055,7.760403619,8.459739956,
Ficd,8.200999174,8.475850794,8.714687247,9.591569467,9.355535843,9.613829694,9.950452184,9.893613936,9.815863255,
Fign,8.17205433,7.803592366,7.261049555,7.207782168,7.335902877,6.705158542,6.640767565,7.152439861,6.985696818,
Fignl1,9.772755904,9.936719443,9.328143477,7.394458234,7.493957482,6.929973861,6.532706149,6.354756713,6.165992564,
Fitm2,9.368416381,9.503724942,9.697251403,10.22111973,10.20756287,10.50024127,10.67608724,10.76296247,10.71178655,
Fkbp10,10.13505869,10.1260675,10.36720198,9.761701877,9.444702352,9.670988508,8.8656764,8.558017056,8.393876569,
Fkbp5,10.71194432,10.67964863,10.64970084,9.380832173,9.181964652,9.283678659,8.76833052,8.621440429,10.08579395,
Flcn,10.55029341,10.70686412,10.82008077,11.37525657,11.40945029,11.6308293,11.80982027,11.78948848,11.62672609,
Fli1,8.288986183,8.286374157,7.664895021,7.8469072,7.512532707,7.59001915,6.963698734,6.837649242,6.920244643,
Flna,14.11278417,14.02101874,14.22373352,12.83005522,13.05562158,12.74528997,11.9327147,12.00737771,11.99533465,
Flnc,9.448870252,9.448877743,9.379791555,7.95820244,7.63618392,7.582772082,7.466211625,7.41856814,7.390433365,
Flrt1,7.869323646,7.608465659,7.76196984,8.349354762,8.015350897,8.145855465,8.733038935,9.491153209,8.89155831,
Flt1,10.11117681,10.04164324,10.00243487,10.79858519,10.33133194,10.70811405,10.94441382,11.35842785,11.50105239,
Flt3,8.023274867,7.907779086,8.15001581,9.443162306,9.418852896,9.615595494,10.59114336,10.78646499,10.56577644,
Flywch1,11.80593937,11.85595738,12.21335628,12.5307388,12.43571068,12.54032901,13.604668,13.79729644,13.52281259,
Fmn1,6.363802668,6.536463638,6.476532524,7.811756771,7.181475668,7.211203621,8.409422377,8.976962194,9.107354312,
Fmnl1,9.894112484,9.947409959,10.25694033,10.85910848,10.93393262,10.80644321,11.51411342,11.62735269,11.33841192,
Fmnl3,10.32624772,10.07266418,10.30313149,9.3198431,9.23663601,9.215436035,8.88366491,9.02169585,8.983898773,
Fmo1,9.65422557,9.380632263,9.407428304,8.557668924,8.471035578,8.294676362,7.612259367,7.391350875,7.556329413,
Fmo2,5.008974566,5.044690384,4.505485374,4.442542171,4.845814326,4.944524007,6.435623165,6.335298463,7.265065996,
Fmo5,6.398620875,6.414699184,6.533963778,7.479319565,7.321900828,7.53098268,7.768241551,7.7674546,7.957030611,
Fmod,8.112351118,8.352349355,8.944850487,10.21778174,8.541693985,9.238544576,10.6636602,10.28449412,10.36949826,
Fn3k,7.857232878,7.981223872,8.025487565,9.394699101,9.47480832,9.771026136,10.11316128,10.23978713,10.02065852,
Fn3krp,9.151300053,9.280277508,9.298927678,9.977092376,10.09987517,10.0312503,10.58895433,10.68451687,10.43152509,
Fnbp1,12.56594947,12.66345209,12.93008159,13.96692977,13.95022654,13.88675295,13.71215047,14.06906691,13.76304825,
Fnbp1l,13.28124022,13.19291103,12.7429381,11.70143525,11.96197357,11.23858995,9.884146251,9.597375269,10.18058804,
Fndc1,8.215255523,7.796821539,8.04487063,7.094501298,6.830163988,6.964153227,6.040358578,6.027859263,6.085879304,
Fndc10,9.595631121,9.767777119,9.812591847,10.90548616,10.78133178,11.01408934,11.51295937,11.33264389,11.34507745,
