Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
A1cf,4.307977989,4.320624396,4.505485374,5.222839151,4.948052738,5.157417326,4.731640105,5.109496035,4.925893365,
A2m,9.575558158,9.072648609,9.207548455,11.09507718,10.17029594,10.99455139,12.05550006,11.74308784,11.92897004,
AA387200,6.024018576,5.38582614,6.120391647,5.30511618,5.62056132,5.48242828,4.902358844,4.992106598,4.86477231,
AA474408,6.214707707,6.086265615,5.7703689,6.23836602,6.30095681,5.842811095,6.878825587,6.648831473,6.815925154,
AA914427,5.592684461,5.644825187,5.421343507,5.8823371,5.62056132,5.966471013,6.331035229,6.027859263,6.204287795,
AA986860,6.024018576,6.062747746,6.570950586,7.171024316,7.219803719,7.201730625,7.629505353,7.695327056,7.625782476,
AC061963.1,5.655667456,5.38582614,5.928071159,5.179093247,5.270333086,4.88231934,5.420515172,5.109496035,5.036497131,
AC079441.1,6.823483592,6.585491888,6.96507186,8.230440016,8.159274299,8.136020993,8.379277993,8.973929956,8.816719349,
AC093020.1,7.508227879,7.769412727,7.145187199,5.519944586,5.848923786,5.248511745,3.946819592,4.693849087,4.726269941,
AC098880.1,5.491362539,4.984543098,4.732107496,4.797297984,4.789397855,4.659186687,4.342841854,4.323450672,4.298781957,
AC102055.1,5.977552029,5.677543196,6.456836917,6.393931778,6.16152992,7.093097181,6.756965507,6.991758551,7.11782314,
AC102132.1,6.560431554,5.91184255,6.495946694,6.712596753,6.517825025,6.952852671,6.569682018,7.522503106,7.048226244,
AC106834.1,5.340411871,5.38582614,4.976533522,5.133345086,5.336957764,5.002544992,3.946819592,4.477965382,4.645639408,
AC107792.1,5.063780699,5.044690384,5.044477838,4.298206152,4.587560629,4.565287377,4.342841854,4.477965382,4.298781957,
AC107792.3,5.655667456,5.426639249,5.589360288,4.552486881,4.728435131,4.565287377,4.342841854,4.595538721,4.443350558,
AC109619.1,6.415698594,6.260600531,6.589075644,7.054620303,6.990340682,6.22222789,7.568208314,7.216058715,7.037996327,
AC110913.1,5.41845159,5.426639249,5.107768521,4.924342624,5.081941746,4.88231934,4.82166924,4.779768568,4.443350558,
AC113458.1,5.211512424,5.466009544,4.902921446,8.185464291,8.151427994,8.574747737,8.829010638,9.286497314,8.911059792,
AC113599.1,5.744339049,5.709394492,5.421343507,5.034786019,4.898500703,5.002544992,4.731640105,5.109496035,4.726269941,
AC113961.1,4.307977989,3.946819592,4.505485374,4.924342624,4.587560629,4.815017732,5.374307659,5.353288973,5.554479493,
AC115119.1,5.008974566,4.984543098,4.822187252,5.343966955,5.3996943,5.248511745,5.664126541,6.585121911,6.295445077,
AC115752.1,6.112220008,5.709394492,5.508431805,5.133345086,5.784774642,5.291197604,5.04383899,4.992106598,5.181007278,
AC117816.1,4.307977989,3.946819592,3.946819592,5.085345012,4.502841779,4.565287377,4.342841854,4.992106598,4.86477231,
AC121967.1,4.888069113,5.253266338,5.32684085,4.442542171,4.401737764,4.453070666,4.342841854,4.779768568,4.443350558,
AC122117.2,5.299176297,4.320624396,4.628953906,6.019459124,6.094492203,6.07920065,6.605685094,7.074394468,7.398409687,
AC122211.2,5.380127104,5.154490335,4.976533522,3.946819592,4.502841779,4.815017732,4.505148894,4.323450672,4.55346985,
AC122487.1,5.800061259,6.038795502,6.476532524,5.133345086,5.3996943,5.446737061,5.107096432,5.721332054,5.675011681,
AC122487.2,4.307977989,4.590723327,4.505485374,4.924342624,4.789397855,4.88231934,5.326058067,5.21407975,5.703332298,
AC122861.4,8.384554369,8.186531649,8.673856996,6.182193312,6.413738342,7.248472651,6.28680807,6.212194678,7.382411939,
AC124108.1,7.832740248,7.951078476,8.012418281,8.324689039,8.290063422,8.367878698,7.541108342,7.184607908,7.156099861,
AC124316.1,3.946819592,3.946819592,4.343081986,4.442542171,4.587560629,4.305706542,4.82166924,4.992106598,4.645639408,
AC124512.1,5.256269211,5.299310689,5.276289156,4.863311954,4.587560629,3.946819592,4.82166924,3.946819592,4.443350558,
AC125059.4,7.515960791,7.461756223,7.77752611,8.62314676,8.72707274,8.656020255,8.32231465,8.613663793,8.278346683,
AC125101.1,4.746238033,4.590723327,4.505485374,4.644512397,5.081941746,5.157417326,5.166444018,5.656414421,5.419957554,
AC125122.2,4.663628088,4.474001429,5.107768521,4.298206152,4.269158761,4.305706542,3.946819592,3.946819592,4.298781957,
AC125458.1,5.299176297,5.253266338,5.803546522,5.133345086,4.994921327,5.705524433,5.107096432,4.693849087,4.86477231,
AC126040.2,7.492634749,7.345509091,7.108487008,6.93871559,6.789639991,6.516528704,6.264132787,6.601328649,6.295445077,
AC126937.1,5.953671129,5.989514628,6.310291547,5.452837559,5.806528255,5.762291818,5.464877754,5.436989641,5.522305252,
AC126937.2,8.034046394,7.981223872,8.051273817,6.576869092,6.542648195,6.562418739,6.193688181,6.295513364,6.38077481,
AC127249.1,6.978446597,6.617228705,6.310291547,5.85796779,5.717103733,5.676112896,6.067198601,6.664307965,6.364137183,
AC127256.1,6.154178737,6.197895906,6.820568005,4.725018687,4.789397855,5.203988695,4.505148894,4.477965382,4.86477231,
AC131185.1,4.746238033,4.474001429,4.505485374,3.946819592,3.946819592,3.946819592,4.342841854,4.477965382,4.55346985,
AC131323.2,4.307977989,3.946819592,4.732107496,4.797297984,4.789397855,4.741308563,5.166444018,4.992106598,5.266819912,
AC131692.1,5.41845159,5.044690384,5.167146792,3.946819592,4.661754141,3.946819592,3.946819592,3.946819592,3.946819592,
AC131712.1,5.063780699,5.154490335,5.276289156,5.034786019,5.368777421,5.446737061,6.067198601,5.622588347,5.522305252,
AC132253.6,7.696777114,7.391353509,7.192679545,6.123519571,6.614523374,5.966471013,5.984943651,5.95136738,5.731005309,
AC132288.2,5.299176297,6.014390877,5.957371974,5.486885905,6.005526597,5.291197604,7.01754827,7.205652789,6.779338162,
AC132455.1,7.044559754,6.502772188,7.108487008,5.343966955,5.3996943,5.762291818,4.975930952,5.052653307,5.224813133,
AC133451.2,4.950627878,4.688333195,4.976533522,4.981283204,5.16162396,4.659186687,6.352613003,6.275167702,6.065058152,
AC133509.1,5.827006935,5.800235406,5.549601477,5.085345012,5.199167673,4.815017732,4.975930952,4.595538721,4.726269941,
AC133525.2,6.649045069,6.874128584,6.533963778,6.646406025,6.517825025,6.663869899,5.897041016,5.782956826,6.106372538,
AC134546.1,5.063780699,5.466009544,5.223174336,4.552486881,3.946819592,4.305706542,3.946819592,3.946819592,3.946819592,
AC134591.1,5.115554843,5.044690384,5.223174336,4.924342624,4.845814326,4.944524007,4.342841854,3.946819592,4.298781957,
AC136921.2,5.41845159,5.426639249,5.465727008,5.452837559,5.542622103,5.705524433,6.309104447,5.752532107,5.885118397,
AC137853.2,7.290795427,7.895163319,8.018967827,5.179093247,5.235365891,6.22222789,5.664126541,5.721332054,6.429490412,
AC138228.3,4.569162384,4.320624396,3.946819592,4.797297984,4.728435131,5.157417326,5.107096432,5.551883538,5.554479493,
AC138457.1,5.299176297,5.044690384,5.107768521,4.552486881,4.269158761,4.305706542,4.731640105,4.693849087,4.298781957,
AC138768.2,4.663628088,4.590723327,4.505485374,4.924342624,4.898500703,4.815017732,5.107096432,5.395934392,4.925893365,
AC140278.1,6.363802668,6.339861275,5.898077607,5.264789146,4.789397855,5.203988695,5.626893655,5.551883538,5.489205366,
AC142100.3,5.164693354,4.474001429,4.628953906,4.298206152,4.587560629,4.305706542,3.946819592,4.323450672,3.946819592,
AC142448.2,5.063780699,5.299310689,5.589360288,6.019459124,5.3996943,5.517031959,6.2410645,6.518304539,6.204287795,
AC144792.1,6.432563208,6.339861275,6.659272593,5.222839151,5.569182843,5.893737542,5.222443067,4.693849087,5.087128098,
AC144860.4,4.888069113,5.044690384,3.946819592,5.133345086,4.994921327,4.741308563,5.464877754,5.353288973,5.455114095,
AC145590.1,4.950627878,4.850183503,4.732107496,4.644512397,4.661754141,4.305706542,3.946819592,3.946819592,3.946819592,
AC147020.1,4.746238033,4.920025245,4.822187252,4.725018687,4.845814326,4.453070666,3.946819592,3.946819592,3.946819592,
AC148004.1,4.569162384,4.773650133,4.732107496,4.981283204,4.845814326,5.108542226,5.04383899,5.395934392,5.383652204,
AC150274.2,4.456258511,4.773650133,4.732107496,4.298206152,4.401737764,3.946819592,3.946819592,3.946819592,3.946819592,
AC151275.1,4.663628088,4.850183503,4.343081986,4.442542171,4.401737764,3.946819592,3.946819592,3.946819592,3.946819592,
AC153155.1,4.307977989,4.320624396,4.343081986,5.583348508,5.429768051,5.842811095,5.927022694,5.924817337,5.585786893,
AC154366.4,4.746238033,4.773650133,4.822187252,4.981283204,4.948052738,5.291197604,5.326058067,5.308895091,5.346102975,
AC154486.3,7.531301629,7.354797346,6.726063777,6.94965787,6.74789688,5.676112896,5.735300938,6.392848279,6.295445077,
AC154538.2,5.827006935,5.91184255,6.589075644,6.256573294,6.400146747,5.762291818,5.222443067,5.656414421,5.036497131,
AC154652.2,5.827006935,5.829085667,5.549601477,4.725018687,4.994921327,5.203988695,5.222443067,4.992106598,4.798659241,
AC154707.1,7.254172463,7.156351315,6.456836917,8.071394491,8.036817589,7.582772082,8.338075506,8.367629606,8.519087594,
AC157548.2,5.340411871,5.677543196,5.665065909,5.519944586,5.784774642,5.409872943,4.505148894,4.693849087,4.443350558,
AC157910.5,4.820378931,4.850183503,4.343081986,5.755423155,5.59515262,5.734238484,6.119270508,7.062883016,6.364137183,
AC157910.6,4.307977989,4.474001429,4.343081986,5.133345086,4.661754141,4.88231934,5.107096432,5.782956826,5.489205366,
AC158605.1,5.853381461,5.504053499,5.665065909,6.162925085,6.077180899,6.297502225,6.640767565,6.877801211,6.766924925,
AC158975.2,6.398620875,6.32048216,5.98601464,6.019459124,5.869593472,5.762291818,5.664126541,5.514854255,5.585786893,
AC161166.1,8.324478433,8.406583375,8.84543499,7.252423171,7.481437792,7.888919609,7.082076982,6.837649242,7.037996327,
AC161438.1,4.663628088,4.850183503,4.732107496,5.552079221,5.82790653,5.645963618,4.628545518,4.693849087,4.298781957,
AC161579.1,4.950627878,4.850183503,4.822187252,4.981283204,4.948052738,4.565287377,3.946819592,4.595538721,3.946819592,
AC162035.2,4.456258511,4.688333195,4.822187252,4.298206152,4.269158761,3.946819592,3.946819592,3.946819592,3.946819592,
AC162373.1,3.946819592,4.474001429,4.505485374,4.644512397,5.039457664,4.815017732,5.374307659,5.052653307,4.645639408,
AC163347.1,4.456258511,5.044690384,4.628953906,5.381467228,5.487594175,5.645963618,5.04383899,4.693849087,4.798659241,
AC164647.1,5.299176297,5.253266338,5.549601477,5.997603578,6.094492203,6.121682076,6.067198601,6.483627328,6.065058152,
AC165153.1,4.820378931,5.101163598,5.32684085,5.61380521,6.145089378,5.918448384,5.834846819,5.514854255,6.146418954,
AC165153.2,3.946819592,3.946819592,3.946819592,4.298206152,4.587560629,3.946819592,4.628545518,4.992106598,4.798659241,
AC165962.3,6.481932942,6.519721978,6.145678145,7.763502823,7.840748101,7.701224229,8.467877769,8.169497695,8.221375211,
AC166110.3,5.340411871,5.044690384,4.976533522,4.442542171,4.502841779,3.946819592,4.342841854,4.323450672,4.443350558,
AC166172.3,6.398620875,6.468225855,6.09460647,5.975369519,5.92964002,6.012753116,5.420515172,5.353288973,5.784537704,
AC166575.1,8.044737544,8.028174281,7.792914799,8.115240899,8.300738523,7.59722953,9.029736906,8.99202834,9.058235409,
AC166748.2,4.820378931,4.688333195,4.732107496,4.924342624,4.587560629,4.741308563,5.222443067,5.689309986,5.383652204,
AC171111.1,5.715497399,5.504053499,5.508431805,5.034786019,5.039457664,4.944524007,3.946819592,3.946819592,3.946819592,
AI182371,5.526132774,5.644825187,5.803546522,5.085345012,5.336957764,4.741308563,4.82166924,5.163166643,5.135195632,
AI413582,8.392935155,8.727257991,9.069651079,9.569036971,9.832622216,10.25841283,10.22875296,10.0106044,9.908798823,
AI480526,11.3006608,10.98844467,11.2120097,9.65548357,10.17029594,9.386559916,10.02035622,9.962496891,9.620012603,
AI506816,9.782339934,9.722256534,9.805057104,8.397450723,8.502184248,8.303484615,6.893334273,6.552121492,6.729003545,
AI838599,5.256269211,4.920025245,4.628953906,4.442542171,3.946819592,4.305706542,4.505148894,4.323450672,4.298781957,
AI849053,10.4375717,10.26317565,10.66642681,8.720822085,8.872336893,9.902668687,8.840108763,8.718887366,9.631806483,
AL592112.1,5.115554843,5.154490335,5.167146792,4.298206152,4.502841779,4.565287377,3.946819592,3.946819592,3.946819592,
AU020206,9.693699917,9.576378333,9.465947899,7.044470617,7.04276204,6.635640345,6.605685094,6.275167702,6.461019178,
AU021092,8.167172897,8.227305893,8.355266917,8.09591898,7.554954251,8.294676362,7.056620211,6.633178943,6.779338162,
AU022754,5.526132774,5.540872732,5.549601477,4.981283204,5.199167673,5.057049345,3.946819592,4.323450672,4.86477231,
AU022793,4.820378931,4.590723327,4.822187252,5.30511618,5.081941746,4.815017732,5.588454398,5.514854255,5.419957554,
AW046200,5.92933418,6.197895906,6.09460647,6.23836602,6.193807202,6.485054267,7.646545156,7.5555257,7.422073109,
AW112010,4.663628088,4.590723327,4.505485374,4.863311954,4.845814326,4.659186687,5.897041016,5.897699453,5.95559848,
AW121686,5.256269211,4.773650133,5.107768521,4.552486881,4.401737764,4.565287377,4.342841854,4.595538721,3.946819592,
AW209491,8.829235853,9.064249009,9.031396112,9.797923613,9.762428996,9.834564084,10.05724802,9.915890215,10.0232189,
AW495222,4.888069113,5.205081865,5.107768521,5.343966955,5.487594175,5.762291818,5.927022694,5.977375366,5.810455313,
AW551984,9.271905712,7.755508545,9.233050293,5.179093247,5.669803199,5.517031959,4.342841854,5.587768348,5.266819912,
Aacs,11.53643933,11.65265067,11.94177826,11.51867786,11.70433718,11.79638357,10.78048602,10.73101796,10.5047992,
Aadat,5.685953715,5.38582614,5.223174336,5.133345086,5.081941746,5.157417326,4.628545518,4.927153808,4.798659241,
Aaed1,8.978545342,8.910286167,8.570859424,9.757109501,9.557091284,9.461136365,9.979156112,9.914310415,9.882247018,
Aak1,12.37150902,12.32326661,12.25022658,13.23520083,13.14894524,13.06131727,13.74348397,14.21348086,14.08963211,
Aard,8.984096532,9.221069066,8.892447179,8.477928856,8.390075675,8.582000098,7.936772474,7.687909703,7.460656219,
Aass,5.8792114,5.709394492,5.549601477,6.309747452,6.023816292,6.621305267,8.756662564,8.164176329,8.583050085,
Abca12,5.115554843,5.253266338,5.107768521,4.797297984,5.081941746,5.203988695,4.82166924,4.477965382,4.55346985,
Abca2,12.34346692,12.55631518,12.93871238,13.56632916,13.70230151,13.68477349,13.83855734,14.42769526,14.17030197,
Abca5,10.16954752,10.10712381,9.715453245,10.83897352,10.6142183,10.31165666,10.85433549,11.34442103,11.1643842,
Abca6,5.526132774,5.466009544,4.732107496,5.90624332,5.270333086,5.332223242,5.664126541,6.212194678,6.106372538,
Abca8a,7.197394662,7.218864789,6.659272593,6.673264853,6.704855922,6.452833906,7.376945942,7.363601167,7.645974955,
Abca8b,7.956887051,8.484279111,8.208446134,9.491892906,9.308794584,9.429359493,10.19316536,10.60841268,10.69502595,
Abcb1a,8.749971564,8.755370795,8.51645533,9.934343786,9.418852896,9.694569363,10.19316536,10.44079046,10.75478211,
Abcc12,5.715497399,5.8848581,5.736270951,7.655205659,7.801107914,7.859299271,8.409422377,8.315811977,8.373916101,
Abcc3,6.497998577,6.807410805,7.145187199,6.673264853,6.554892574,6.500882442,5.802548311,6.44804235,5.731005309,
Abcd2,10.32733913,10.43902702,10.02043912,11.06814799,10.88227953,10.81184259,11.20384997,11.53324782,11.43625941,
Abcg1,9.894112484,9.980501859,10.27613971,11.55439688,11.52900039,11.68605268,12.07126616,12.25707348,12.13146513,
Abcg3,5.655667456,6.197895906,5.7703689,4.797297984,4.661754141,4.815017732,4.82166924,5.109496035,4.726269941,
Abhd12,11.52744636,11.55868506,11.81953148,12.33361843,12.34665897,12.5256184,12.76124983,12.60474547,12.78963927,
Abhd14b,8.676413744,8.573868771,8.852768321,9.207599391,9.154810095,9.292538271,10.22734619,9.762779281,9.750917195,
Abhd16a,11.45440949,11.54266315,11.82838317,12.70612095,12.69885258,13.10908721,13.25032891,13.2265173,12.88279135,
Abhd17c,10.86106407,10.93804027,10.61673175,10.06517067,10.15765652,9.982827368,9.782431718,9.626615951,9.568345124,
Abhd3,9.325347408,9.348719594,9.274575247,11.16317452,11.07399427,11.24999946,11.79280416,12.06865366,11.96203369,
Abhd6,9.106202246,9.294707126,9.244241152,9.96519687,10.12905521,10.37451886,10.80143439,10.76032728,10.84870248,
Abi3,7.335280215,7.683880872,8.101494765,9.488202336,9.307033969,9.822384333,10.50785135,10.74085405,10.48264719,
Abi3bp,8.017858579,8.247266627,7.845506527,9.358768068,9.258665527,9.203741272,9.721772837,9.601308466,9.824697307,
Abl1,12.18995428,12.15891877,12.42962506,11.54244032,11.51725319,11.62031781,10.96058893,11.36248768,11.12976317,
Ablim1,11.96338811,12.05156191,12.07614631,13.49033896,13.46037804,13.54796459,13.47836553,13.71905676,13.68880785,
Ablim2,9.883762396,9.930574802,10.37103371,11.4449477,11.48181652,11.68479214,11.6661601,11.73012893,11.65835924,
Ablim3,10.9558448,10.89845638,11.2492621,12.42448651,12.42682605,12.44501972,11.90306868,12.07184502,11.81540556,
Abracl,9.787108165,9.743444761,9.244241152,8.124805081,8.314849641,7.87714498,7.728817916,7.173966561,7.174855235,
Abtb2,10.3436119,10.27897943,10.57968395,10.18624884,10.24297087,10.39727505,9.253672416,9.520530144,9.449609818,
Acaa1b,5.655667456,5.677543196,5.957371974,5.085345012,5.717103733,5.48242828,5.326058067,5.109496035,4.726269941,
Acacb,7.838902853,7.569206639,7.917432947,7.841108488,7.286277642,7.822925469,8.668077979,8.537609536,8.583050085,
Acad11,9.23048212,9.187952031,9.274575247,10.20996291,10.19714882,10.26966856,10.27169586,10.44079046,10.35737509,
Acad8,10.13879362,9.992349451,10.14651622,10.45927872,10.40392796,10.78307132,11.2709249,10.75944781,11.16148223,
Acads,9.640238021,9.570461805,9.812591847,8.436336184,8.406636702,8.61772323,8.829010638,8.678462457,8.529947572,
Acap1,5.526132774,5.253266338,5.835858312,4.924342624,4.898500703,5.057049345,4.505148894,4.992106598,4.443350558,
Acat2,10.93595014,11.0089983,11.0179562,10.5487802,10.72643401,10.63862825,9.518196484,9.376475811,9.489050183,
Acbd4,8.137530192,8.352349355,8.754390727,9.704013803,9.597976295,9.999149683,10.99323286,10.59959417,10.54187254,
Accs,9.507839257,9.353322042,9.369608961,7.942050032,7.935292257,7.865272617,7.943668067,8.035995196,7.94623819,
Ace2,6.309823479,6.260600531,5.736270951,6.93871559,6.590981523,6.929973861,7.259611231,6.903940571,7.308100168,
Acer2,7.344011917,6.925294017,7.070803895,7.234735692,7.15004528,7.53098268,7.806606203,8.286739367,8.647615179,
Ache,10.18768992,9.849845176,10.3491847,10.7454902,10.45249585,10.9399446,11.16910552,11.35377401,11.055425,
Ackr1,10.42437215,10.73885907,11.09333462,12.76504265,12.76267069,12.50171716,11.62295372,11.33027689,11.39781445,
Ackr2,6.823483592,6.648248565,6.835711565,6.309747452,6.30095681,6.691532513,4.82166924,4.693849087,4.925893365,
Ackr4,7.395301827,7.278727647,7.388609435,8.345273114,8.339215267,8.469175336,9.217267182,8.866839698,8.938468664,
Aco2,13.15953989,13.14612691,13.43187524,13.93086579,14.04584006,14.13338462,14.34712935,14.3169222,14.2207279,
Acot1,10.91141755,10.70506565,10.72946771,8.385576855,8.648543771,8.793530032,7.752602464,7.731846303,7.773746249,
Acot11,7.554007146,7.691207594,7.931394268,10.28418065,9.969096238,10.52205309,11.2892411,11.64983145,11.6119216,
Acot12,5.559884198,5.504053499,5.465727008,4.863311954,5.16162396,5.002544992,3.946819592,4.693849087,4.645639408,
Acot13,8.956124076,8.913407691,9.230238944,9.66368624,9.731267546,9.938375777,10.62679085,10.20273732,10.29518193,
Acot2,8.320089583,8.324444588,8.231167867,7.4642626,7.390567277,7.429493546,7.485308909,7.226388512,7.299597402,
Acot5,5.063780699,5.154490335,5.627816665,5.997603578,5.869593472,6.142415778,5.956312051,5.841646536,5.522305252,
Acot7,11.44337955,11.58434703,11.89420403,13.06068623,13.09668621,13.37886418,13.32291494,13.1544257,13.08315977,
Acoxl,5.008974566,5.253266338,5.044477838,4.924342624,4.948052738,4.741308563,4.731640105,4.595538721,4.443350558,
Acp4,8.401267333,8.343107878,7.924430632,7.608107063,7.718367117,7.560806929,7.427229243,7.003865941,6.974998553,
Acp6,8.740159655,8.569915363,8.686228201,8.157786143,8.057967396,8.194041094,9.138582851,9.236782562,8.911059792,
Acr,6.253573838,5.91184255,6.145678145,5.728395679,5.039457664,5.057049345,5.04383899,5.353288973,5.307200871,
Acsbg1,11.05073884,11.24760252,11.61449789,13.04036292,13.04391616,13.41554884,13.54847088,13.53873545,13.48187466,
Acsl6,11.61450175,11.69494415,11.64751519,12.95374099,12.78401647,12.91615331,13.31366616,13.64254329,13.55909708,
Acsm3,8.509264342,8.97146596,8.231167867,8.056475814,8.041072598,7.721143286,7.736790205,7.680453585,7.498219167,
Acsm5,5.41845159,5.426639249,5.465727008,7.094501298,6.271213452,6.894937393,6.708358667,7.256932296,7.184140194,
Acss2os,6.449220282,6.396375746,6.789776609,7.161683196,7.436729301,7.523427913,7.568208314,7.5555257,7.527570964,
Acss3,7.420267639,7.307734833,6.242228612,6.905365043,6.704855922,6.368759657,7.970923006,7.23664331,7.957030611,
Acta2,7.468919598,7.705749125,7.87471253,9.396669244,8.5654788,8.872507413,9.083632754,8.905552286,8.897157169,
Actb,15.34222367,15.40768115,15.33688439,15.09316863,15.16619823,14.92297012,14.42258475,14.49844645,14.12148796,
Actc1,5.340411871,5.426639249,5.223174336,4.442542171,4.661754141,4.565287377,4.505148894,4.856833997,4.298781957,
Actg-ps1,4.820378931,5.253266338,5.32684085,4.725018687,4.661754141,4.305706542,4.505148894,4.477965382,3.946819592,
Actg1,7.838902853,7.504049397,7.169133329,6.800241504,7.173683514,6.834513109,6.513835819,6.585121911,6.204287795,
Actl10,6.363802668,6.086265615,6.693072236,5.929705679,6.830163988,5.966471013,5.326058067,5.163166643,4.645639408,
Actl6a,11.16257621,11.2339478,11.14422294,10.04647557,10.17994375,10.10976149,9.643757141,9.493271533,9.460989049,
Actr3b,9.452877471,9.582270676,9.436985089,10.4639821,10.52695526,10.86252488,11.08151419,10.96795723,11.05729969,
Actrt3,6.133367376,5.740430125,5.803546522,6.29225714,6.453712257,6.592178185,6.819230739,6.768040067,6.703132491,
Acvr1c,6.272588642,6.632826131,6.242228612,8.944827778,8.705834192,8.433525666,9.089842868,8.99202834,9.234384952,
Acvr2b,8.376124403,8.045391409,8.445420491,7.064697161,7.157968819,7.082792808,6.455602753,7.695327056,6.874841734,
Acy3,5.977552029,5.93826338,5.957371974,6.812321904,6.34436685,7.030106009,6.394756549,7.02777146,7.165508737,
Acyp1,8.859758404,8.916522462,9.005316358,9.676714204,9.712774066,10.11226464,10.11924213,9.821274553,9.823228719,
Acyp2,8.434121092,8.709404417,8.606017903,9.671842504,9.552641171,9.648741165,9.751442706,9.563502579,9.773906547,
Ada,6.810817878,6.874128584,7.083477477,5.381467228,5.487594175,5.517031959,5.769384503,5.721332054,6.295445077,
Adad2,5.455497463,5.253266338,5.867353683,5.381467228,5.039457664,5.789718124,4.975930952,4.595538721,4.298781957,
Adam11,11.65330999,11.84579179,12.28414762,13.22137981,13.33128833,13.3795136,13.56512965,13.71180141,13.43482246,
Adam12,8.759717023,8.577811339,8.570859424,8.265432504,8.019670046,8.07039815,7.35632265,7.296657205,7.088416726,
Adam19,10.15977744,10.32771719,10.37993504,11.28458664,10.93791784,10.94907383,9.291875926,9.895216562,9.430442478,
Adam22,12.24238265,12.39445766,12.17989374,13.75811966,13.61344098,13.4617874,13.01464102,13.38842758,13.36464575,
Adam23,11.0301097,11.17735009,10.96739252,12.8713524,12.75268639,12.49980696,12.79130798,13.34497588,12.96530861,
Adam33,5.655667456,5.466009544,5.835858312,5.222839151,5.16162396,5.157417326,5.107096432,5.21407975,5.036497131,
Adam8,7.128130526,7.23910214,7.398738751,6.274534659,6.907834608,6.516528704,6.331035229,6.295513364,6.065058152,
Adamts10,11.25206826,11.06265202,11.3677687,11.76073679,11.4598123,11.58471581,12.58576532,12.56553741,12.22588399,
Adamts12,9.64899613,9.617127734,9.325511837,8.602789805,8.328823436,7.996196345,5.802548311,6.275167702,6.204287795,
Adamts14,7.995986278,7.850110768,8.082867506,6.344056968,6.225314045,6.182925774,4.975930952,5.308895091,5.087128098,
Adamts17,8.779012157,8.852909459,9.002022929,7.925713273,7.916876654,7.76656789,6.040358578,6.052378219,6.476512905,
Adamts18,10.66004783,11.01844241,10.91324118,12.08614557,12.19911632,11.81493931,9.639531733,9.720011361,9.714939126,
Adamts19,8.152428125,8.079217231,7.673241651,6.06208957,6.094492203,5.942686312,4.342841854,4.595538721,3.946819592,
Adamts2,8.489867528,8.793150477,9.181587074,10.06145098,9.651671098,9.699572611,9.666778071,9.960967362,9.609826193,
Adamts20,9.36629323,9.187952031,9.021671465,8.636559735,8.27209328,8.217540277,7.22584678,8.231860529,8.030382346,
Adamts4,10.07264441,10.27170689,10.53256492,11.40686388,11.47986545,11.62602104,10.60961721,11.42981213,10.9477008,
Adamts5,8.532200242,8.458844422,8.202709035,8.25241009,7.718367117,7.674225419,7.513482251,7.316109106,7.299597402,
Adamts6,10.28863974,10.14741704,9.929815218,9.288352467,9.460625957,9.031835917,7.880377863,7.951959125,7.962396464,
Adamts7,8.405415371,8.458844422,8.355266917,7.054620303,6.789639991,6.941460069,6.217588257,6.168484657,6.106372538,
Adamts9,9.054379773,8.748393917,8.79302811,8.455391294,8.201678195,8.194041094,7.004278664,7.563663,7.437632369,
Adamtsl2,8.297941833,8.090317398,8.530250565,7.668381472,7.658566592,7.835153183,6.373849679,6.027859263,6.364137183,
Adamtsl3,8.997881599,8.846390779,8.978755583,7.952838529,7.860163483,7.239247164,7.345897381,6.664307965,7.146627748,
Adamtsl4,6.154178737,6.109365991,6.395971565,6.992590775,6.579057258,6.822107021,8.424260665,9.070769044,8.607175749,
Adamtsl5,5.62459408,5.540872732,6.014031034,6.360888194,5.92964002,6.368759657,7.397273598,7.445273325,7.193364437,
Adap1,11.02541039,11.03786174,11.3671294,12.05687115,12.14572418,12.54172223,12.1726748,12.12333708,12.21332862,
Adarb1,12.13523699,12.27710867,12.40461073,13.15908834,13.06840177,13.19423475,13.54973753,13.97504134,13.78036453,
Adcy1,13.5294707,13.74955025,13.82898414,15.89860546,15.68465265,15.74954668,15.67957271,16.44563409,16.27060812,
Adcy7,8.513112494,8.379722292,8.566403552,7.668381472,7.624859402,7.485040163,7.620908448,7.665423397,7.584518332,
Adcy9,8.769396928,8.643232386,9.008602272,9.540812263,9.334948888,9.677765344,10.08080922,10.74263525,10.54276497,
Adcyap1r1,13.45354558,13.41597742,13.65842522,13.04193645,13.20115465,13.07164175,11.96007108,12.29973818,12.2473911,
Add3,11.54209034,11.74525009,11.61880089,12.9223051,12.80442755,12.810891,12.7238347,12.77300721,12.79114201,
Adgb,6.090724588,5.740430125,6.170486482,5.381467228,5.081941746,5.332223242,5.420515172,5.721332054,5.181007278,
Adgra3,11.14597236,11.03356887,11.01060653,9.843402374,10.00427786,9.803919596,9.803356759,9.445933712,9.391325691,
Adgrd1,6.112220008,6.038795502,6.09460647,5.133345086,5.515437786,5.705524433,5.769384503,5.308895091,5.455114095,
Adgre1,8.311271434,8.257143848,8.247976152,7.370405683,7.481437792,7.371684926,7.069406245,6.890932124,6.608558599,
Adgrf2,5.491362539,5.154490335,4.628953906,5.381467228,5.336957764,5.248511745,5.275531295,6.212194678,5.885118397,
