"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1cf",6.56571874398514,2.41805463092379,0.977749887031062,2.47308096170301,0.0133953792716001,0.0244033216826269
"A2m",2064.51893944117,2.67287138999635,0.22133249865546,12.0762717008726,1.40967877677577e-33,1.92659861645816e-32
"AA387200",19.5225515716051,-2.14109544265676,0.535524725725147,-3.99812621118013,6.38459067943088e-05,0.000166338465961363
"AA414768",102.089245172339,0.748574091525063,0.237312726078003,3.15437820759352,0.0016084049645008,0.00343326047933584
"AA474408",54.3917987141545,1.07630787524226,0.304417115890185,3.53563521582843,0.00040679599982783,0.000951233933843982
"AA914427",32.3884242342586,1.09187406650915,0.360372781298256,3.02984610151642,0.0024467838190928,0.00508418743662983
"AA986860",112.30231704688,1.84686305503969,0.23492457841213,7.86151482115133,3.79515515977341e-15,2.25647156312546e-14
"AB041806",78.0468645577117,-0.632875113477095,0.275346364407016,-2.29846911122306,0.0215351039690764,0.0376296678014264
"AC079441.1",246.841488275711,2.27315334959346,0.208823795162263,10.8855092295739,1.3514119282348e-27,1.47215070931513e-26
"AC093020.1",58.5286717738028,-5.61342362404295,0.580945651072767,-9.6625624336412,4.34848490223476e-22,3.75271169267681e-21
"AC098880.1",5.59482165047407,-3.38794419014829,1.11219336697321,-3.04618269696073,0.00231766960375641,0.00482765346383429
"AC102055.1",68.4204376811351,1.2627028492719,0.380319091518878,3.32011428674024,0.000899806038644298,0.0020033506038422
"AC102132.1",80.0389628665872,1.008688914162,0.345382556285927,2.92049756365505,0.0034947292967802,0.00709165823776011
"AC106834.1",9.03606350018656,-2.73241911537213,0.841152969935103,-3.24842117074489,0.00116047358901494,0.00253737468483221
"AC107792.1",4.39386035468495,-2.76874805999312,1.03489483321969,-2.67539074611009,0.00746421972278613,0.014321033007526
"AC107792.3",8.96525341176178,-3.36708796340819,0.797356632669734,-4.22281301170644,2.41271981572051e-05,6.61077484018445e-05
"AC109619.1",89.4694454898359,1.13258677660954,0.313838574859151,3.60881952487148,0.000307593495526295,0.000730775360978964
"AC110913.1",9.20174151089793,-1.85491510244082,0.688154763247107,-2.69549119109236,0.0070284936178657,0.0135474690669566
"AC113458.1",263.821662233408,5.2404649215893,0.312205309124153,16.7853164838569,3.12558654244201e-63,1.08885229141806e-61
"AC113599.1",12.8256492361728,-1.84168398883504,0.574659705154849,-3.20482534674808,0.00135144458414484,0.00292495994057974
"AC113961.1",8.10603742865642,4.06984055275814,1.01727063096563,4.00074515952053,6.31433308995611e-05,0.000164759501445354
"AC115119.1",23.5468097978454,2.6351119716496,0.514698983615834,5.11971473721895,3.05998162967347e-07,1.02079121396377e-06
"AC115752.1",19.0583515331269,-1.55692044490582,0.536220088925694,-2.90351010165448,0.00369005066442704,0.00746051934641356
"AC117816.1",3.59584335448575,3.83371871081488,1.56505982531752,2.44956687840166,0.0143028145638817,0.0258714681154456
"AC121821.1",122.291505284751,-0.508804215502264,0.20927077519453,-2.43131997303158,0.0150439223794236,0.0270743020576448
"AC121967.1",5.46173695270638,-2.08928869197649,0.882023643406004,-2.36874454284302,0.0178485766798888,0.0316644360762525
"AC122117.2",50.226582453488,3.99871652938029,0.505014397115574,7.91802481715224,2.41313207922639e-15,1.45864605497147e-14
"AC122211.2",5.59985858516683,-2.54928448940195,0.983085267324923,-2.59314687558977,0.00951021463565788,0.0179123208463732
"AC122399.1",144.280041006757,0.936103738199049,0.224541189619315,4.1689622282046,3.05989688357264e-05,8.28691730962795e-05
"AC122442.1",528.426831012536,0.934355587296915,0.129295377422785,7.22651966312492,4.95528908901921e-13,2.59150688570949e-12
"AC122487.1",26.2952148470429,-1.0371520420293,0.452201429381887,-2.2935620602681,0.0218156667641607,0.03804980399144
"AC122487.2",8.84750287073613,3.0860126966618,0.813381477772452,3.79405332060577,0.000148207825407183,0.000367132140429636
"AC122861.4",155.863560838979,-2.00612436825245,0.554570829627172,-3.61743579192784,0.000297536108299312,0.000708589242455944
"AC124108.1",211.570248180984,-0.74182648755102,0.177062795978588,-4.18962370638679,2.79417422177464e-05,7.60468016034647e-05
"AC124316.1",2.78360451614955,3.97873223920053,1.53110124314612,2.59860819590545,0.00936025419292181,0.0176512968485611
"AC124502.1",248.479733591166,0.511954815595808,0.192313903988305,2.66207905397699,0.00776596370024545,0.0148615471259181
"AC124512.1",6.60476932622674,-2.49604223326747,0.982934099370103,-2.53937902334146,0.0111049443683839,0.0205955454550535
"AC125059.1",57.722246082404,-0.908346111753231,0.291633120709092,-3.11468776092589,0.00184139719302041,0.00389596555340338
"AC125059.4",283.608256797262,0.930307192282726,0.169710042082424,5.48174510398684,4.21150728223947e-08,1.5195609661346e-07
"AC125093.1",120.557379889153,-0.648975843128341,0.193271632295252,-3.35784323556045,0.000785531494334859,0.00176876699753279
"AC125101.1",9.89861315565503,2.35938741988244,0.732130684849327,3.22263151744282,0.00127018839435899,0.00275994346890376
"AC125122.2",2.23094393501508,-3.86578910978085,1.63347890730708,-2.36659873138729,0.0179523852053892,0.0318353641653847
"AC125458.1",13.7796017277453,-1.44008005762958,0.647455575262836,-2.22421446760263,0.0261340181178696,0.0447270592813349
"AC126040.2",88.919637142369,-1.22316466497732,0.255732540620039,-4.78298405831219,1.72711827977568e-06,5.30345548403865e-06
"AC126937.1",28.3856188117936,-1.10158628844498,0.383895358372094,-2.86949624271638,0.0041112621702117,0.00825055787038721
"AC126937.2",115.577303246246,-2.18006026422206,0.204571783347237,-10.6567006874143,1.6225156771199e-26,1.68674437323e-25
"AC127256.1",23.0224511326128,-3.94478217940705,0.63041440262034,-6.25744298196618,3.9134065896189e-10,1.66754494470281e-09
"AC131323.2",6.151336662035,2.65769413716031,0.939535962551114,2.82873061074096,0.00467330181092032,0.00925766066060229
"AC131692.1",4.71425633177525,-6.06569619510161,1.5428846242399,-3.93139972996353,8.44527186698945e-05,0.000216392661016977
"AC131712.1",18.0187600270991,1.23997061160467,0.499279046000561,2.48352223378363,0.0130090213102633,0.0237679539512141
"AC131756.1",37.689481644483,0.996023794258452,0.365462269306024,2.72538064230215,0.00642273939441665,0.0124487522950712
"AC132253.6",75.3935840764711,-2.15526189618973,0.31420424068735,-6.85942968648324,6.91359970072421e-12,3.35460906456402e-11
"AC132288.2",50.8978506473136,1.79033925376636,0.401436995826117,4.45982625513131,8.20261211861584e-06,2.36278415229113e-05
"AC132307.1",173.237257020364,-0.87791731578019,0.253105188303689,-3.46858680244365,0.000523203475549796,0.00120755588529408
"AC132307.3",79.230060771987,0.691942092973811,0.245961024274721,2.81321845611181,0.00490483168532926,0.00968372390337386
"AC132307.5",695.041408129472,-0.792403164010009,0.225099185157784,-3.52024003753976,0.000431156412271676,0.00100489349501331
"AC132455.1",40.5978099004495,-3.14695915137976,0.420928393620402,-7.47623396063351,7.64827432552522e-14,4.2060580778581e-13
"AC132910.1",184.616382346471,-0.850791591385643,0.195675097156153,-4.34798093242643,1.37396545932802e-05,3.86003791815821e-05
"AC133451.2",20.7738455642055,2.83107202616832,0.517394944345795,5.47178138694027,4.45534226612572e-08,1.60448718318072e-07
"AC133509.1",13.8380743041358,-2.35537478480045,0.593842453774878,-3.96632940239965,7.29879738672159e-05,0.0001885449022266
"AC133525.2",59.5057322464565,-1.12336890050566,0.281928096664336,-3.98459363857991,6.75956988700356e-05,0.000175358446764667
"AC134546.1",5.00545751399867,-6.16313069620562,1.45193282279156,-4.24477675513668,2.18811156239646e-05,6.0263091916921e-05
"AC134591.1",6.24867240237406,-3.98180082133944,1.19863233048414,-3.32195346318678,0.00089389601265714,0.00199149111668721
"AC136921.2",25.5874332245284,1.0384699736745,0.4077435947399,2.54687010923358,0.0108693882460762,0.0202003764137746
