"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"369","AI854703",728.020335415281,0.949666582139967,0.145191911146239,6.54076783370838,6.1203781321555e-11,2.77121630546139e-10
"422","Aatf",996.191911020832,-0.166009202012247,0.131023347449044,-1.26702000249848,0.20514813777235,0.277003536764279
"428","Abca17",7.80911614890728,-0.920394385708677,0.680501745773077,-1.35252318076432,0.176208008360536,0.24339461909001
"432","Abca5",1581.78371120744,1.14724246800817,0.183162622394331,6.26351846796705,3.76386555266099e-10,1.60743520099883e-09
"455","Abcc8",2145.04278993751,0.966543707918867,0.159114659620273,6.07451073474641,1.24366316641195e-09,5.09473145139977e-09
"465","Abcg1",2874.2349835106,2.129031638807,0.127732206705436,16.6679312424061,2.24221507349811e-62,7.60926666095679e-61
"486","Abhd3",2261.6314380161,2.68824153948814,0.11477946852388,23.4209268788246,2.61601520863618e-121,4.5106444051939e-119
"493","Abi3",802.698725290375,3.0319310626236,0.209352445128635,14.4824248924375,1.56477890750563e-47,3.31399205348898e-46
"497","Ablim1",9459.78862602784,1.60882239164648,0.100825801176815,15.9564553206489,2.56914335228332e-57,7.62700469973501e-56
"540","Acer3",660.327987278174,0.610615066473634,0.184454200259202,3.31038851712552,0.000931665563721159,0.00206954660786512
"541","Ache",1694.20381203178,1.07533326624199,0.168855476542287,6.36836475939053,1.91054126016792e-10,8.35372420877725e-10
"605","Actn1",1280.71542770188,-0.270891671259272,0.106772310997997,-2.53709663795096,0.011177609422672,0.0207145579030518
"661","Adamts2",711.63268781086,0.952738438948411,0.197957811711428,4.81283577905609,1.4880356244755e-06,4.60576031002661e-06
"674","Adamtsl5",69.5135257974901,2.30814232801574,0.306275253445796,7.53616984084621,4.83976160497716e-14,2.69278782910561e-13
"675","Adap1",3903.67730814771,1.0282114867221,0.151542789402412,6.78495816776705,1.16120152733231e-11,5.55385544173791e-11
"686","Adcy1",47723.9423616674,2.46200574341188,0.176925420811903,13.9155002831919,5.10018170787963e-44,9.7601010934423e-43
"736","Adora1",6854.10873428163,2.54389090091764,0.144207798847724,17.6404530215725,1.20491114922806e-69,4.98010491944865e-68
"750","Adra2c",828.707905900935,-2.17497452012006,0.197773778365168,-10.9972845647121,3.93812513856361e-28,4.39371216439743e-27
"779","Agap2",7313.51141005244,0.519507805035823,0.128658422285158,4.03788415720184,5.39354744034008e-05,0.000141926706962548
"829","Aifm3",4207.65830426398,3.45285654127919,0.119276778913031,28.9482711785568,2.95046677043864e-184,1.43898479346822e-181
"902","Aldh1l2",635.449672886783,-0.882695066685563,0.165517238953445,-5.33294943938643,9.66302238693069e-08,3.37592697799646e-07
"951","Alox8",114.241046544109,1.55056380140389,0.237893953740211,6.5178781428685,7.13088832615711e-11,3.20833589160522e-10
"973","Amer3",2387.88270103129,0.487162040551702,0.157127600006875,3.10042309899971,0.00193244386286407,0.00407596895330406
"1019","Ank1",10955.6303172837,2.93400599341713,0.165775247130483,17.6986977501397,4.29115425457762e-70,1.80418726910443e-68
"1020","Ank2",20727.4088882082,1.37175842739674,0.168786364873117,8.1271874563324,4.39365642606818e-16,2.76649631844278e-15
"1076","Anks1b",7340.5587528204,1.29438750945747,0.120199250912721,10.7686819978384,4.83878272904321e-27,5.13669285974923e-26
"1101","Anxa11",136.194589007079,1.27881852451591,0.295336310161433,4.33004165257195,1.49081140417549e-05,4.16841124803861e-05
"1124","Ap1m2",22.5017773316956,-1.8661927925011,0.449516673763763,-4.15155410560331,3.30225172056584e-05,8.90090586926557e-05
"1171","Apln",770.556607754074,0.493021968553656,0.1674276850929,2.94468604926417,0.0032328251567048,0.00659310936976714
"1245","Arg1",78.7665295868179,-0.697135266177306,0.311037244202377,-2.24132408311756,0.0250050900681908,0.0429715984560573
"1261","Arhgap24",192.264072093117,-0.751415693413437,0.198215690210702,-3.7908991594696,0.000150102892105688,0.000371503025698723
"1263","Arhgap26",5161.73584962464,2.07409279984244,0.12616699535242,16.4392660223771,1.00124191409479e-60,3.27417614436744e-59
"1285","Arhgap9",45.884233550581,-1.55944212696643,0.376098374529402,-4.14636763298354,3.37791310780625e-05,9.09479128552882e-05
"1294","Arhgef15",790.010698462631,0.249065718940838,0.134460417447984,1.8523348630625,0.0639777524297479,0.0999451115563098
"1308","Arhgef4",2726.11957202453,0.445761302361213,0.121131344045531,3.679983128014,0.000233249385728096,0.000563721791643579
"1374","Arntl",1739.25927541117,0.435740166235243,0.133504977507811,3.26384959099934,0.00109909496495545,0.00241554667848455
"1445","Asic2",2470.26936798628,0.675500265663095,0.138544197433275,4.87570232588359,1.08422003134929e-06,3.3990148641198e-06
"1446","Asic3",14.751170101843,0.198098084295114,0.507534620151091,0.390314426700864,0.696304056675014,0.757884986765446
"1516","Atoh7",333.173217756995,4.65416284738134,0.285218807687308,16.3178679734326,7.36636967166563e-60,2.36360771231828e-58
"1517","Atoh8",213.329039125825,-0.105451138478242,0.248493974727635,-0.42436094715706,0.671302597108516,0.736788985423143
"1522","Atp11a",2671.10922997121,0.543091930026153,0.11734068378707,4.62833445739643,3.68618352423102e-06,1.10005511815775e-05
"1533","Atp1a3",73915.7021234134,1.3089479457563,0.162743631195888,8.04300565335656,8.76612820353999e-16,5.42165972588506e-15
"1535","Atp1b1",42433.2860846861,2.14593566327445,0.105807212329262,20.2815631943549,1.87090184182468e-91,1.3306789349978e-89
"1545","Atp2b3",6425.59117995703,2.68410473636,0.168336724889445,15.9448553969598,3.09355381772184e-57,9.16787563689442e-56
"1546","Atp2b4",2240.64457571472,0.711535961609912,0.177691846779562,4.00432532221143,6.21947270290284e-05,0.000162383602077931
"1614","Atxn1",1271.78787400934,1.49935360778693,0.165896568053902,9.03788200910688,1.59736659651808e-19,1.22218950258017e-18
