"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2","A1cf",6.56571874398514,2.41805463092379,0.977749887031062,2.47308096170301,0.0133953792716001,0.0244033216826269
"500","Abr",9669.77284299769,0.00427462442449364,0.106490900443708,0.0401407482393602,0.967980915568184,0.977616067848109
"506","Abtb2",1062.94245944798,-1.02599470042929,0.134484120767193,-7.6291140885354,2.36372387409268e-14,1.33560961703946e-13
"652","Adamts1",1097.24854391644,-0.352635133820435,0.165425553627782,-2.13168477352589,0.0330327693874106,0.0552379872103349
"654","Adamts12",348.73612088484,-4.08634745485683,0.235620708560738,-17.3429045342313,2.23169198666052e-67,8.69748452335504e-66
"670","Adamtsl1",188.917085458203,0.18270652727274,0.219831590047163,0.831120437392741,0.405905595318327,0.492452630567437
"680","Adarb2",706.970934066963,-0.174869625134966,0.123796318971136,-1.41255916644613,0.157785382456029,0.220988085918031
"693","Adcy7",220.11244246385,-0.972822473679232,0.154663533062387,-6.28992791265686,3.17613427133843e-10,1.36531382552876e-09
"715","Adgrg1",4723.75524890308,-2.14302713589533,0.136322162556243,-15.7203135257715,1.09779104011113e-55,3.05698092246281e-54
"882","Akr1e1",1032.54834866862,0.415573543720318,0.124402458672014,3.34055731821164,0.000836104200269847,0.00187104073133276
"1172","Aplnr",820.413011287991,-5.08924186538004,0.179110818327947,-28.4139278290929,1.36071258406131e-177,6.11246416050699e-175
"1267","Arhgap28",199.243408408941,-3.70805374628022,0.243735079252442,-15.21345945628,2.87917486116447e-52,7.17481969052227e-51
"1271","Arhgap32",2908.17802262644,0.552802058874668,0.155917151657086,3.54548587502718,0.000391889990318642,0.000918769693000855
"1426","Asb4",50.9222767039261,-0.601791784454859,0.321327808789273,-1.87282820843407,0.0610921113590515,0.0958054516214064
"1459","Aspm",777.060180587302,-7.2895913293379,0.317726366133573,-22.9429852424439,1.73133096125586e-116,2.56989734857718e-114
"1521","Atp10d",97.6311663330731,-0.268886024651184,0.262005012292597,-1.02626290351615,0.304767678107521,0.387948118217404
"1612","Atrnl1",3167.53667622476,0.230559443108509,0.139634150242837,1.65116801804962,0.0987042716206068,0.14692029268955
"1662","B3gnt5",953.024766816599,0.355209228609746,0.238622107622666,1.48858474241389,0.136596751824967,0.195187221969881
"1786","Basp1",10074.99661782,-6.01554548347304,0.132702759559412,-45.330975056173,0,0
"1791","Baz1a",322.924383329112,-4.25116873429323,0.192546029327003,-22.0787141087881,5.06287936483652e-108,5.7234007124344e-106
"1820","Bcat1",3065.1294212926,0.43476519604656,0.125946853140932,3.4519734729701,0.000556502435242651,0.0012802556023709
"1898","Bicra",1112.0905820208,-0.548494205648566,0.174947815843544,-3.13518750150664,0.00171744300706599,0.0036499940401664
"1942","Bmpr1b",633.193097003524,0.456075472706188,0.15292137279758,2.98241811698807,0.00285981136824277,0.00587943876380876
"1959","Bok",881.282451802721,-1.98472086335152,0.158674895203969,-12.5080962605978,6.74207110754795e-36,9.95563614237401e-35
"2025","Btbd1",1583.23482565519,0.0685108854366074,0.142605385267264,0.480422848745915,0.630926750585123,0.703135054677029
"2157","Cachd1",966.866517845447,-0.858740159851683,0.125786569247897,-6.8269622503123,8.67315056839284e-12,4.18340435723272e-11
"2283","Carhsp1",2300.56218178423,-1.47196517371845,0.132490492735016,-11.1099682953283,1.12199344096687e-28,1.28281500584759e-27
"2386","Ccdc121",23.1334334125182,1.14710445265352,0.420677804409692,2.72680051248051,0.00639516893214016,0.0123995381271732
"2392","Ccdc13",144.624421213801,1.41739874962398,0.245797594874221,5.7665281482892,8.09211994147225e-09,3.11389737152686e-08
"2399","Ccdc141",499.032851917361,0.106544926020659,0.183817760259087,0.579622588538159,0.562169156800195,0.640859323265615
"2595","Cd163l1",1.44845047616008,-1.92286156045792,1.91426167817665,-1.0044925322276,0.315141268948249,0.399088796985677
"2616","Cd24a",2771.08269016183,-4.81451052085135,0.219539721868419,-21.9300201342922,1.34367964690846e-106,1.47978139178887e-104
"2703","Cdc42ep4",4096.84918408693,1.87867672604493,0.134100973151456,14.0094190362297,1.36517158788834e-44,2.67548553447233e-43
"2773","Cdk6",544.0665021444,-5.27698717654309,0.281666149385804,-18.7349001221836,2.57123797984555e-78,1.35466149123344e-76
"2826","Celf2",11526.8240734796,-1.28196262594116,0.185293618018097,-6.91854711270173,4.56299047810016e-12,2.23693990411171e-11
"2935","Cfap61",93.7511857379118,-1.41833629502614,0.222797574098199,-6.36603114179781,1.93982063556652e-10,8.47523374689544e-10
"2989","Chdh",367.104529190115,1.01673361904627,0.21038834346594,4.83265185844703,1.34726270546491e-06,4.18826705195519e-06
"3064","Chsy1",809.924441959046,-0.759018110823814,0.139184747925514,-5.45331383026258,4.94397027552522e-08,1.77334676619491e-07
"3173","Clic4",6005.0125304204,-0.10857182317261,0.0935439607727767,-1.16065026834107,0.245784153891058,0.322733500532336
"3180","Clip4",948.604921782483,0.648125921435301,0.14524528602312,4.46228541511588,8.10901176065471e-06,2.33661091752829e-05
"3273","Cnpy1",10153.5843727371,1.01044563227553,0.192866128296043,5.23910362697036,1.61358417704376e-07,5.53201082589616e-07
"3523","Crebzf",2441.77665033683,-0.215262894616544,0.138721148543743,-1.55176695749938,0.120717994848343,0.17516628460228
"3569","Crybg3",797.944609112568,-1.62955712479465,0.153825480907265,-10.5935448092441,3.19267747253698e-26,3.28703283813066e-25
"3671","Cttnbp2",1922.69379773188,0.447432307880472,0.135550780086101,3.30084642520144,0.000963936302365548,0.00213776701070286
