cluster,p6_1,p6_2,p22_1,p22_2
C1,3.559337299,3.504453844,4.125002911,3.048875787
C1,8.390408361,9.348120932,7.052314381,7.887007149
C1,8.588658884,8.99298553,6.958396851,6.858823959
C1,8.588658884,8.99298553,6.958396851,6.858823959
C1,10.13198653,10.41638587,8.302316083,8.08652775
C1,3.559337299,4.643678264,5.43536866,3.802130128
C1,3.018817099,3.766574302,4.544729774,3.496036774
C1,8.588658884,8.716002646,9.556319035,9.668152966
C1,10.49166375,10.86704551,7.9482091,8.153795133
C1,9.111223908,9.330886589,7.021684666,6.968522856
C1,5.320143335,4.389257932,4.764896313,4.113678139
C1,9.988964039,10.43666687,8.082756644,8.110629139
C1,8.879979255,10.09387684,8.250480205,8.293692721
C1,9.669366241,10.03523427,8.600255259,8.558943072
C1,9.505261093,10.22908886,7.799799382,8.240079782
C1,6.698150565,6.499118934,6.857916747,6.610588587
C1,10.48883124,11.17896493,8.364595759,8.265347398
C1,7.869506898,7.820372286,8.0426785,8.318045908
C1,8.959887056,9.194615214,7.551050988,7.225753272
C1,10.35679872,10.89589684,8.799760491,9.257750793
C1,10.46164126,11.0420477,8.661072843,8.881899088
C1,10.75123508,11.02138257,7.817724232,8.098628803
C1,6.003728619,4.906022134,6.193480141,6.034827462
C1,9.557563746,10.61721167,9.196592964,9.710811466
C1,8.905694752,9.286877793,7.500147726,7.649892442
C1,9.699080399,10.11164547,8.006672281,8.114607158
C1,10.9548196,11.47603123,8.31918875,8.149923917
C1,6.86501315,7.024482702,7.302088309,7.469003997
C1,4.969228656,4.240729754,4.65931349,4.113678139
C1,9.519209851,9.7606395,7.700242809,7.682424771
C1,10.01676029,10.91986678,9.019542746,9.243292676
C1,9.832422179,10.25444596,8.289530751,8.514477858
C1,10.41912688,10.95051445,9.344001877,9.296779265
C1,10.13742274,10.99358857,9.565185063,9.939884998
C1,10.62534627,11.31664662,9.040040186,9.153361851
C1,9.651746066,10.32903332,10.48604558,10.94640745
C1,8.064805283,8.064157335,9.728788349,10.11287968
C1,11.86118099,12.23076901,8.458965963,8.368886315
C1,10.53212232,11.35124599,9.19887357,9.44785623
C2,2.239414547,2.239414547,2.873919726,2.815492623
C2,6.15502764,6.245970643,5.233645547,5.693193238
C2,4.829246579,4.457599943,4.483515643,3.802130128
C2,2.239414547,2.239414547,3.480091316,3.048875787
C2,4.050557784,3.147787115,3.321728944,3.96799226
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,3.018817099,3.504453844,3.129791839,2.239414547
C2,3.329026725,3.147787115,3.616765873,3.048875787
C2,3.329026725,3.147787115,3.737910156,2.239414547
C2,5.419940023,5.768186841,4.039290574,3.370081115
C2,2.239414547,2.886944729,2.873919726,2.815492623
C2,3.018817099,2.239414547,2.239414547,2.815492623
C2,3.559337299,3.504453844,4.205193356,3.496036774
C2,5.096293985,5.960928774,4.8147568,5.328075415
C2,2.239414547,2.239414547,2.239414547,2.239414547
C2,3.559337299,3.147787115,2.873919726,2.239414547
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,4.969228656,4.998318318,4.41932272,4.244046675
C2,3.559337299,2.239414547,2.873919726,3.048875787
C2,4.58791829,4.85744028,4.125002911,4.304528635
C2,3.559337299,3.343282645,2.239414547,2.815492623
C2,3.018817099,2.239414547,2.239414547,3.048875787
C2,2.239414547,2.886944729,2.239414547,2.239414547
C2,6.416713375,6.646043217,6.822800227,6.986019382
C2,3.329026725,4.457599943,4.90932638,4.180548944
C2,3.908780733,3.877596741,2.873919726,3.370081115
C2,3.747622097,3.343282645,2.239414547,3.224599095
C2,3.747622097,3.979001655,4.280601186,4.417598919
C2,5.600546039,4.700363643,4.41932272,4.521666007
C2,4.050557784,3.643452153,3.616765873,2.815492623
C2,2.239414547,2.239414547,2.239414547,2.239414547
C2,2.239414547,2.886944729,3.129791839,3.048875787
C2,3.559337299,2.239414547,2.239414547,3.048875787
C2,2.239414547,2.239414547,2.239414547,2.239414547
C2,2.239414547,3.766574302,2.239414547,3.60800778
C2,3.747622097,3.766574302,3.321728944,3.802130128
C2,4.58791829,3.766574302,4.483515643,3.60800778
C2,7.788863099,8.095118473,7.55817827,7.687776137
C2,5.682877603,5.632942021,5.19700957,4.618152493
C2,3.329026725,3.147787115,2.239414547,2.239414547
C2,3.018817099,2.886944729,3.129791839,2.239414547
C2,5.642309649,5.742149099,5.975569045,6.132657293
C2,2.239414547,2.886944729,2.873919726,2.239414547
C2,3.559337299,2.886944729,3.480091316,3.224599095
C2,4.292990685,4.389257932,3.480091316,4.043002559
C2,4.753486901,4.906022134,4.41932272,4.362294576
C2,2.239414547,2.239414547,2.873919726,3.048875787
C2,6.440433991,6.574459831,6.430052392,6.729705052
C2,2.239414547,2.239414547,2.239414547,2.239414547
C2,3.747622097,3.147787115,4.125002911,4.570782057
C2,3.559337299,3.147787115,3.129791839,3.048875787
C2,3.559337299,3.147787115,2.873919726,2.239414547
C2,8.809075152,9.386161472,8.408616588,8.863109247
C2,3.329026725,3.343282645,2.239414547,2.815492623
C2,6.933380946,7.578847871,6.846306276,6.708769258
C2,3.018817099,2.239414547,2.239414547,2.239414547
C2,6.486729801,6.865770279,6.659858253,6.887043027
C2,7.247091642,7.432926269,7.713070005,7.810586594
C2,2.239414547,3.343282645,2.873919726,3.224599095
C2,3.329026725,3.147787115,3.616765873,3.496036774
C2,3.747622097,3.877596741,4.483515643,4.113678139
C2,3.559337299,3.343282645,3.847216168,4.113678139
C2,7.807177884,8.100214636,7.400559062,7.290524768
C2,2.239414547,2.239414547,4.764896313,4.618152493
C2,3.559337299,3.147787115,3.129791839,2.815492623
C2,5.798056182,6.514506846,6.156251838,6.310274043
C2,7.192373517,7.850931088,6.366350325,6.552996494
C2,2.239414547,2.886944729,2.873919726,2.239414547
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,4.050557784,3.147787115,3.847216168,4.66390504
C2,7.247091642,8.120421055,7.738386904,8.14604228
C2,3.747622097,3.504453844,3.480091316,2.815492623
C2,4.969228656,5.742149099,3.616765873,3.60800778
C2,7.742031366,8.245281216,8.344133273,8.561859238
C2,3.018817099,3.766574302,4.039290574,3.709312671
C2,2.239414547,2.239414547,3.129791839,2.239414547
C2,2.239414547,2.886944729,2.873919726,3.60800778
C2,3.018817099,2.886944729,3.129791839,2.239414547
C2,9.238094565,9.681269534,8.205813149,8.341994645
C2,6.949976914,6.841596742,6.990388727,7.269256356
C2,4.050557784,3.147787115,3.321728944,3.048875787
C2,8.578035396,8.836918698,6.947572815,7.35250793
C2,3.329026725,2.886944729,3.321728944,3.048875787
C2,4.050557784,2.239414547,3.847216168,2.239414547
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,4.90102179,5.385442552,4.351817253,4.708153221
C2,5.155712327,5.243200173,6.520595245,6.238925734
C2,8.588658884,8.91127564,7.892921646,8.094606393
C2,3.329026725,3.147787115,3.737910156,3.048875787
C2,8.76760454,9.360912897,8.511291929,8.665810603
C2,3.018817099,3.147787115,3.129791839,3.048875787
C2,5.938414594,6.048332534,5.611783537,5.328075415
C2,4.17760713,4.584494734,3.737910156,3.709312671
C2,6.949976914,6.924483926,6.505896039,6.810525468
C2,5.034219153,4.95294332,5.611783537,5.11866294
C2,6.575067686,6.740620487,6.810901495,6.95081091
C2,2.239414547,2.886944729,3.616765873,2.239414547
C2,8.365913114,8.725925988,9.094950999,9.28976127
C2,8.243516555,8.745570172,7.232489783,7.398937931
C2,6.368061365,6.632009159,6.058705572,6.132657293
C2,3.018817099,2.239414547,2.873919726,2.815492623
C2,5.722317535,5.205261829,4.483515643,4.832835329
C2,4.050557784,3.343282645,3.321728944,2.239414547
C2,3.559337299,3.643452153,3.737910156,4.113678139
C2,3.329026725,2.886944729,3.616765873,2.815492623
C2,3.559337299,3.343282645,3.847216168,3.370081115
C2,3.747622097,3.147787115,2.239414547,2.815492623
C2,8.209502451,8.562024043,9.077705059,9.307242652
C2,4.829246579,4.95294332,5.718250592,5.929797921
C2,3.908780733,2.886944729,2.239414547,3.048875787
C2,7.663783789,8.011030505,8.58638476,8.652193324
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,6.755950745,6.935944414,6.914603258,6.994688493
C2,6.368061365,6.865770279,8.214857936,8.52048636
C2,8.772271708,9.15599191,9.50009899,9.761151719
C2,3.329026725,2.886944729,2.873919726,2.239414547
C2,7.825262875,7.90435564,7.392605467,7.372590041
C2,6.509329256,6.727484669,7.400559062,7.61098591
C2,7.663783789,8.100214636,8.79675216,9.252345967
C2,5.971445401,5.960928774,6.017742475,6.163833733
C2,7.192373517,7.40022795,7.805799133,8.102640023
C2,3.018817099,2.886944729,2.239414547,3.048875787
C2,7.458910562,7.744274323,7.898546789,8.261764733
C2,9.476952312,10.01918512,9.016959964,9.293274535
C2,7.061078668,7.366770097,8.017051856,8.283128411
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,3.018817099,3.643452153,3.129791839,3.496036774
C2,6.238673246,6.264311938,7.400559062,7.559368262
C2,7.192373517,8.105292851,8.953543858,9.191516643
C2,7.79804958,8.434690871,7.661061653,7.775834882
C2,3.018817099,2.239414547,3.129791839,2.239414547
C2,5.320143335,4.85744028,6.947572815,7.210955176
C2,3.329026725,2.886944729,3.129791839,2.239414547
C2,8.73927987,9.275662562,8.881543019,9.206500395
C2,3.559337299,3.504453844,3.616765873,2.239414547
C2,7.423723025,7.744274323,8.627602376,8.84885447
C2,4.17760713,3.147787115,3.737910156,3.370081115
C2,4.292990685,4.584494734,4.862858272,4.983140055
C2,6.291839064,6.245970643,6.880860175,7.118822534
C2,7.178362761,7.67763848,6.491044695,6.887043027
C2,5.798056182,5.915133007,8.241656797,7.839721135
C2,3.329026725,2.239414547,2.873919726,3.224599095
C2,8.109759179,8.338788547,7.43968134,7.93279121
C2,8.540224578,8.806068362,8.481624236,8.836866922
C2,8.117117095,8.28610041,7.937319936,8.52048636
C2,3.908780733,2.886944729,3.616765873,2.239414547
C2,2.239414547,2.239414547,2.873919726,2.239414547
C2,5.467303916,5.545132629,6.1749871,6.163833733
C2,7.014510013,7.789151571,8.71306068,8.939087708
C2,5.467303916,5.351210713,6.846306276,7.011871566
C2,8.700627051,9.180252391,8.763239659,8.853621733
C2,5.971445401,5.891671248,3.616765873,4.304528635
C2,4.829246579,4.31713194,4.8147568,3.88798429
C2,5.834464261,5.632942021,6.058705572,6.132657293
C2,3.747622097,2.886944729,3.616765873,3.048875787
C2,8.438184926,9.350260819,7.732099249,7.900895689
C2,7.061078668,6.980894553,8.352353142,8.643960814
C2,4.292990685,3.766574302,3.616765873,3.370081115
C2,3.747622097,3.343282645,2.873919726,3.048875787
C2,4.050557784,3.147787115,3.847216168,3.496036774
C2,5.155712327,4.906022134,5.46634483,5.756136588
C2,2.239414547,3.147787115,3.129791839,2.239414547
C2,3.559337299,3.504453844,3.737910156,3.370081115
C2,7.363096894,7.233888567,8.637725324,8.974533253
C2,4.969228656,4.643678264,5.46634483,5.627327367
C2,6.553487689,6.865770279,7.647760919,7.616608713
C2,6.31769969,6.544796341,6.430052392,6.505199045
C2,6.949976914,7.868960166,7.072377888,7.450230538
C2,2.239414547,4.457599943,3.129791839,3.224599095
C2,4.17760713,2.886944729,4.280601186,3.496036774
C2,8.645729235,9.075497152,8.99350443,9.176375615
C2,3.908780733,3.343282645,4.205193356,3.224599095
C2,9.08894996,9.704873613,9.913694875,10.2556756
C2,7.895415818,8.208001286,6.903443298,6.941872479
C2,6.933380946,7.107887388,6.633065257,7.225753272
C2,7.945877202,8.069363915,7.95901663,8.106640114
C2,3.559337299,2.886944729,3.480091316,2.239414547
C2,4.398852556,4.31713194,3.947110142,3.709312671
C2,7.515711419,7.40022795,6.366350325,6.541195535
C2,6.416713375,6.514506846,6.058705572,6.310274043
C2,3.329026725,3.504453844,2.239414547,3.048875787
C2,9.251526442,9.494610881,8.582896192,8.780403543
C2,4.829246579,4.584494734,5.304158443,4.832835329
C2,9.136782801,9.506172554,9.601838565,9.824437301
C2,8.243516555,8.82465763,9.390635923,9.650456073
C2,3.329026725,3.877596741,3.847216168,2.815492623
C2,5.971445401,6.300304439,8.470339597,8.817477177
C2,6.15502764,6.865770279,6.869434219,6.932878159
C2,7.713184066,8.532172032,7.793774553,7.820363684
C2,6.811515942,7.233888567,6.798903458,6.324126896
C2,8.236777619,9.01203405,9.586243817,9.984030523
C2,7.192373517,8.074551762,9.001365396,9.560019919
C2,8.670942106,9.192231319,9.962830038,10.21643057
C2,3.018817099,3.343282645,3.129791839,2.239414547
C2,3.329026725,2.886944729,3.480091316,3.496036774
C2,8.414494483,8.752059225,8.920758682,9.000557264
C2,3.747622097,3.147787115,3.480091316,3.048875787
C2,3.559337299,3.504453844,4.205193356,2.815492623
C2,3.908780733,3.877596741,3.737910156,3.370081115
C2,7.526807727,8.037838611,8.835379405,8.981083405
C2,4.050557784,3.343282645,4.351817253,3.370081115
C2,5.212699308,5.351210713,6.846306276,7.134593312
C2,7.85197191,7.844870935,8.192138694,8.487125453
C2,3.018817099,3.504453844,5.526328243,4.708153221
C2,6.637927242,6.499118934,6.333405224,6.541195535
C2,8.561951986,8.695948763,9.128836374,9.540936376
C2,5.760691418,4.95294332,5.817286739,5.604673741
C2,7.273690183,7.383596167,5.793167055,6.148330476
C2,8.250224145,8.351665194,7.9482091,8.276042294
C2,8.160493104,8.268101042,9.514818456,9.780055042
C2,8.384323445,8.896707745,9.420256883,9.712124429
C2,5.155712327,5.483408964,5.496655154,5.714485922
C2,3.908780733,3.504453844,3.321728944,3.048875787
C2,7.338113418,7.636126076,7.072377888,7.33896259
C2,4.496764216,4.072526908,3.616765873,3.048875787
C2,7.994631865,8.658443084,9.310648094,9.662730854
C2,7.623006924,7.826536094,7.953622993,8.176806672
C2,8.39646771,8.796683107,8.600255259,8.932343595
C2,6.5315783,6.3865178,7.572327934,8.04960301
C2,3.329026725,3.504453844,3.947110142,3.496036774
C2,4.292990685,3.877596741,3.947110142,3.370081115
C2,3.747622097,2.886944729,3.129791839,3.048875787
C2,8.42638835,9.15599191,9.462629513,9.778802498
C2,7.653697232,8.576721493,8.164394484,8.73461948
C2,8.87564841,9.360912897,8.420392671,8.511464194
C2,6.126022309,5.385442552,5.909874499,6.224219269
C2,7.663783789,8.501689043,8.428190308,8.726845489
C2,5.419940023,5.768186841,6.366350325,6.687523896
C2,9.409653363,9.741202631,9.820504311,10.03528158
C2,6.416713375,6.189493005,6.247567096,6.116810384
C2,4.17760713,4.643678264,5.159385896,4.708153221
C2,6.949976914,7.167414805,8.661072843,9.114170363
C2,6.949976914,7.224578163,6.857916747,7.070446099
C2,8.010523785,8.725925988,9.230429159,9.257750793
C2,9.696627462,10.04715504,9.589723915,9.782556873
C2,7.164214309,7.40022795,7.101958251,7.372590041
C2,5.682877603,4.998318318,4.862858272,4.304528635
C2,7.954118342,8.482304718,9.814568028,10.15693259
C2,8.799961954,9.21119307,9.214737649,9.618604288
C2,7.091307755,6.766537318,6.786804436,6.35143715
C2,6.15502764,6.352652294,6.211737196,6.282159838
C2,7.247091642,7.424821009,8.259249952,8.401810707
C2,4.829246579,3.504453844,4.205193356,3.88798429
C2,4.398852556,4.31713194,2.873919726,2.815492623
C2,6.265502901,6.499118934,7.130942899,6.780747818
C2,4.050557784,3.979001655,2.873919726,3.224599095
C2,8.42638835,8.716002646,9.556319035,9.7432823
C2,9.118572777,9.773453431,8.630984593,8.732032802
C2,7.548747214,7.832673657,8.285243658,8.822349104
C2,6.15502764,6.282421258,8.787689336,9.237833302
C2,8.289827382,8.665335242,9.836704249,10.16749953
C2,7.559592942,8.222094447,9.675743117,10.15982217
C2,8.753511733,9.123830702,9.906736244,10.06024011
C2,4.292990685,3.643452153,3.847216168,3.496036774
C2,8.943428304,9.375694885,9.692024394,9.987287612
C2,6.126022309,6.245970643,6.505896039,6.644066707
