Cluster,p7_1,p7_2,p7_3,p60_1,p60_2,p60_3
C1,5.191626018,5.052938162,4.929828066,4.78645927,4.831996217,4.862944323
C1,1.777484563,2.028941864,3.255566421,1.32614153,-1.198538816,-0.202410215
C1,6.128568322,5.961854707,5.776739335,5.692766678,5.733497387,6.177661732
C1,3.571036608,3.757623189,4.764983708,-0.156868265,0.042943207,1.683734349
C1,5.801699024,6.048248177,6.259556926,2.909914295,2.63583161,2.820698663
C1,6.363600672,6.218826179,6.817613634,3.161084605,2.211646358,1.475507388
C1,6.261879254,6.290826467,5.776739335,2.909914295,2.884232875,4.031050583
C1,5.212095099,5.594064104,6.107418135,1.553199444,1.100313294,1.475507388
C1,1.498670054,0.350630963,0.190354273,1.32614153,2.053871551,-0.202410215
C1,3.481858693,3.711729869,4.764983708,0.20334136,0.342892318,-0.615879239
C1,0.967673239,2.290639018,2.752448791,-2.345563936,1.708718636,0.748917179
C1,1.191163679,0.653565387,-0.167997517,-0.579165711,-0.690024527,1.251741235
C1,4.308439317,4.132796385,3.851752436,1.553199444,1.886555137,2.230545466
C1,2.739544347,2.747448877,3.937359902,1.080825804,1.886555137,2.54235952
C1,6.343876233,6.413406473,6.052688064,3.494059992,3.843089825,3.504761002
C1,5.859164202,6.142734752,5.560874657,4.479516947,3.68079783,3.869065755
C1,3.656826881,4.132796385,5.224809086,1.96063623,2.360740204,3.187258255
C1,6.14019363,5.649526084,5.636016523,2.144268054,1.100313294,1.683734349
C1,3.819148119,3.134185241,1.744544939,1.553199444,0.342892318,0.463850475
C1,4.905217758,4.844047594,4.647427631,3.873615612,4.066218432,4.031050583
C1,4.308439317,4.611974173,5.270112268,2.630260422,3.316300856,3.601525353
C1,-0.132469119,0.653565387,2.295481976,-0.579165711,1.519269432,-0.615879239
C1,1.94943877,1.059659903,1.307999939,2.144268054,2.63583161,2.685333905
C1,1.94943877,1.935877299,2.752448791,2.144268054,2.763095286,1.683734349
C1,1.297147143,1.529876377,0.798527262,1.764119994,-0.294352584,1.01040625
C1,2.860548854,2.451963967,3.472151213,1.553199444,0.042943207,0.748917179
C1,0.967673239,0.505725822,-0.167997517,1.32614153,1.886555137,0.150200239
C1,7.790893575,7.847506785,7.983925958,6.456084043,6.521626584,6.579636519
C1,7.786737538,7.806041666,7.975373096,6.456084043,6.556215189,6.579636519
C1,4.430145117,4.581085976,3.472151213,2.478006692,2.360740204,3.297979537
C1,4.681009646,4.419541764,4.647427631,4.544562615,4.975322356,4.390174561
C1,-0.132469119,0.014331198,-2.345563936,0.81455324,2.211646358,2.059917924
C1,-1.204946463,1.059659903,-1.127639726,2.316342015,2.63583161,1.683734349
C1,0.029636682,0.9300212,1.744544939,-2.345563936,1.100313294,-0.615879239
C1,3.77966061,4.385714906,4.321467268,3.494059992,4.332206639,3.783398633
C1,4.600634841,4.977041883,4.019770847,3.494059992,3.109976061,3.187258255
C1,3.389046378,2.529066795,2.295481976,5.054209486,4.203282094,4.45535179
C2,1.081419308,1.935877299,4.175844789,5.89430246,5.065663443,3.297979537
C2,6.660043762,6.610477217,6.55838896,9.143303871,9.249898748,8.984841322
C2,4.627766964,4.702023752,4.876311143,6.940050583,6.978331177,6.916487488
C2,1.498670054,2.603947073,2.752448791,3.388291474,3.413024574,3.403691102
C2,5.15006593,5.352901179,4.249879888,7.307357292,7.595587804,7.815608387
C2,2.860548854,4.132796385,4.586102587,5.199692675,5.020985092,4.639728284
C2,2.111460363,1.529876377,2.456871611,5.503199145,5.794133741,5.158531798
C2,4.488502587,4.924858056,3.937359902,8.853850837,9.053074969,8.872161373
C2,10.59840216,10.59211632,9.975388177,12.6086918,12.62001728,11.86106174
C2,10.59840216,10.59211632,9.975388177,12.60897076,12.62001728,11.86106174
C2,6.612368939,6.35910568,6.753185329,7.543495888,8.055951883,7.988222823
C2,6.652215953,6.655441181,5.874562679,7.066640839,7.279139786,7.332399869
C2,2.676789102,3.617023385,2.888255989,5.955915393,6.16066068,5.571581291
C2,6.554478227,6.601297901,5.742702292,9.543570793,9.833327566,9.464520159
C2,5.406183936,5.946934897,5.270112268,8.680080216,8.602576221,8.084808102
C2,2.97593071,2.676708664,3.255566421,7.307357292,7.180537517,7.117593274
C2,8.568924529,8.58086597,8.193213385,9.739325676,9.73722614,9.619324951
C2,4.928709451,4.702023752,5.672361519,4.479516947,5.275592938,4.966222792
C2,6.185726115,6.168577404,5.810048217,8.368710139,8.724834801,8.318406752
C2,3.031646348,1.935877299,1.534267771,4.271615701,4.453851512,5.112106338
C2,4.145977512,4.517928956,2.123750079,8.981202699,8.907630666,8.491039254
C2,2.264454147,2.948426531,4.321467268,7.627019446,7.965808406,7.666289706
C2,2.918915261,2.883224682,2.456871611,9.611204845,9.819452439,9.580984902
C2,8.612353094,8.68968329,7.660585152,11.18578737,11.18650454,10.94225441
C2,5.51390681,5.219884595,4.019770847,8.635640995,8.545081682,8.318406752
C2,5.291987238,5.556056514,6.374282944,9.568316907,9.511084173,9.403648443
C2,1.777484563,0.653565387,1.744544939,1.553199444,3.763418957,2.230545466
C2,5.967852701,5.805397323,5.598861019,9.349495865,9.441345582,9.037615626
C2,4.857425603,5.287479917,4.019770847,8.140996196,8.282180921,8.123567971
C2,2.189033567,2.028941864,2.752448791,7.596073672,7.632047834,7.453150106
C2,2.546454163,2.290639018,1.940540907,6.649391875,6.638893985,6.485238787
C2,1.687467601,1.303792928,0.798527262,2.478006692,3.413024574,2.391041593
C2,4.881458414,4.280920184,3.669965431,9.124156635,9.330564225,9.155133019
C2,5.291987238,5.477473428,5.874562679,5.542825089,4.975322356,4.580028462
C2,4.707136072,4.642418728,4.522953198,8.680080216,8.375170336,8.284106729
C2,3.481858693,3.361301768,2.888255989,8.320156784,8.223536398,8.0128471
C2,3.191467492,2.118987418,2.456871611,8.076642886,8.332490643,7.824598777
C2,3.389046378,3.011940327,3.016995202,7.467670533,7.81393703,7.61741194
C2,5.87319551,5.821798117,5.441732976,7.478667773,7.788887914,7.760837645
C2,3.242445326,3.361301768,4.39075405,1.764119994,2.884232875,4.031050583
C2,5.064342928,4.672431463,3.669965431,7.307357292,7.676776586,6.930701362
C2,5.742006415,6.048248177,5.032901517,6.204143354,6.333411616,6.523820866
C2,3.13936982,3.467059029,3.139257059,7.377579537,7.342235328,7.343671963
C2,5.406183936,4.672431463,4.929828066,7.585659565,7.788887914,7.526555887
C2,7.516624904,7.641599307,6.595999722,11.419298,11.54160683,11.40398917
C2,5.859164202,5.885682589,5.90580822,7.627019446,7.822220212,7.851337332
C2,4.681009646,4.581085976,5.357801031,8.680080216,8.959301134,7.167473849
C2,4.276907126,4.132796385,3.255566421,8.629981548,8.652823518,8.589909583
C2,7.563283926,7.49607718,6.833269715,9.241898494,9.40910726,9.103428565
C2,5.801699024,5.755123619,5.522037425,9.736929292,9.756180183,9.424259707
C2,5.548431586,5.374237503,5.224809086,8.744078439,9.067447708,8.532603936
C2,7.464106578,7.269245069,7.10379327,8.805103272,9.02011875,8.617690532
C2,6.63642069,6.515658636,6.210728752,7.025515971,7.362839627,7.27507783
C2,7.97725646,7.949775301,7.650574235,10.03971647,10.23993149,9.87920637
C2,2.61244816,2.883224682,4.321467268,5.955915393,5.501550973,5.064611932
C2,2.111460363,2.372527614,1.940540907,6.0436641,6.449568327,6.074977899
C2,1.399584791,0.9300212,1.307999939,5.152330592,5.353883212,4.45535179
C2,5.107649587,4.898267369,5.131088228,7.697551294,7.958098749,7.92950115
C2,3.819148119,3.617023385,3.255566421,6.594331656,6.065216103,6.295924211
C2,2.264454147,2.20617105,3.937359902,5.291258637,6.014913932,5.376071329
C2,4.857425603,4.517928956,4.321467268,7.489608883,7.703175529,7.420901855
C2,3.73946095,3.414788638,3.573223391,7.039335718,6.990916415,6.485238787
C2,4.857425603,5.374237503,5.522037425,8.164518432,8.048605227,7.577500597
C2,8.668984198,8.797709852,8.147107443,9.427618529,9.436028182,9.099651901
C2,0.849653841,1.529876377,1.744544939,1.080825804,2.360740204,3.504761002
C2,2.031631886,1.303792928,2.60890634,4.479516947,4.512177605,5.334395715
C2,3.341197963,2.676708664,3.016995202,6.497100698,6.373289282,6.074977899
C2,2.676789102,1.935877299,2.752448791,6.575454878,6.521626584,5.644092135
C2,3.77966061,2.676708664,4.019770847,5.692766678,6.040290085,6.226230982
C2,7.740472024,7.768477622,7.036864421,11.12564133,11.12478547,11.17982216
C2,6.38303219,6.68170728,6.107418135,8.320156784,8.617846865,8.338619334
C2,3.435922401,4.517928956,4.249879888,6.73639058,6.638893985,7.179735075
C2,3.242445326,0.653565387,4.876311143,1.553199444,3.595016572,-1.146936984
