"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"30261",117400,117400,"2.748317891",560.1674779,1.359269354,0.4030455,3.372496042,0.000744902,0.006691399,2.1744831,"Not Sig","Unchanged","Adgrg1","Promoter"
"31165",121324,121324,"1.439146567",27.48821679,-1.266158478,0.66890967,-1.892869148,0.058375273,0.160201014,0.795334739,"Not Sig","Unchanged","Arhgap32","Promoter"
"31166",121325,121325,"2.100608281",126.068992,-1.716859958,0.514675647,-3.33580959,0.000850514,0.007355958,2.133360785,"Not Sig","Unchanged","Arhgap32","Promoter"
"31282",121875,121875,"1.557368631",36.08848339,0.340715401,0.550512519,0.618905819,0.535978405,0.704506746,0.152114844,"Not Sig","Unchanged","Grik4","Promoter"
"31283",121886,121886,"3.257911385",1810.970537,1.391832927,0.669942385,2.077541232,0.037751634,0.117369521,0.930444669,"Not Sig","Unchanged","Grik4","Promoter"
"31359",122107,122107,"2.078893382",119.9204865,1.854670117,0.431312546,4.300060675,1.71e-05,0.000399904,3.398044294,"Not Sig","Unchanged","Phldb1","Promoter"
"31360",122108,122108,"1.904237566",80.21167136,0.309896404,0.460067686,0.673588721,0.500572826,0.676317862,0.169849143,"Not Sig","Unchanged","Phldb1","Promoter"
"31361",122109,122109,"1.349851593",22.37956256,-0.22243188,0.653829904,-0.340198389,0.733707131,0.846598033,0.072322745,"Not Sig","Unchanged","Phldb1","Promoter"
"31362",122110,122110,"2.337753554",217.6474354,0.30908047,0.528106184,0.585261979,0.558371576,0.722060593,0.141426356,"Not Sig","Unchanged","Phldb1","Promoter"
"31363",122111,122111,"1.836439177",68.61817726,1.013070265,0.455577017,2.223708019,0.026168095,0.089938186,1.046055874,"Not Sig","Unchanged","Phldb1","Promoter"
"31364",122112,122112,"2.207139927",161.1164658,1.580953453,0.424719413,3.722347994,0.000197379,0.002508053,2.60066321,"Not Sig","Unchanged","Phldb1","Promoter"
"31365",122113,122113,"2.360551501",229.3778622,0.763596593,0.431950563,1.767787004,0.077096518,0.194965423,0.710042404,"Not Sig","Unchanged","Phldb1","Promoter"
"31366",122114,122114,"2.183236859",152.488418,0.014048802,0.462219069,0.030394251,0.97575263,0.987439792,0.005489376,"Not Sig","Unchanged","Phldb1","Promoter"
"31367",122115,122115,"2.172730589",148.8437453,0.985074788,0.432732193,2.276407447,0.022821634,0.0814638,1.089035337,"Not Sig","Unchanged","Phldb1","Promoter"
"31368",122116,122116,"2.825978661",669.8516959,2.126409785,0.440722691,4.824824836,1.4e-06,5.86e-05,4.231896013,"Sig","Up","Phldb1","Promoter"
"31369",122117,122117,"1.719573236",52.42920066,-3.152153397,0.502943233,-6.267413878,3.67e-10,9.63e-08,7.016301215,"Sig","Down","Phldb1","Promoter"
"31370",122118,122118,"2.811156322",647.3755926,1.174409574,0.523765509,2.242243051,0.024945668,0.086918627,1.06088714,"Not Sig","Unchanged","Phldb1","Promoter"
"31951",124502,124502,"2.899522897",793.4560892,0.616484256,0.7062983,0.87283837,0.382751182,0.573094259,0.241773942,"Not Sig","Unchanged","Prtg","Promoter"
"32145",125312,125312,"2.332828381",215.1931194,-0.702707425,0.419941037,-1.673347837,0.09425884,0.224507331,0.648769473,"Not Sig","Unchanged","Plscr1","Promoter"
"32218",125675,125675,"1.675835302",47.40621724,-0.164043434,0.621930584,-0.26376486,0.791961113,0.883989838,0.053552728,"Not Sig","Unchanged","Nme9","Promoter"
"32219",125676,125676,"1.4618685",28.96466435,1.301775172,0.644562004,2.019627535,0.043422037,0.129599467,0.887396784,"Not Sig","Unchanged","Nme9","Promoter"
"32220",125677,125677,"1.011479416",10.26784764,1.369967196,0.835694991,1.639314834,0.101147708,NA,NA,"Not Sig","Unchanged","Nme9","Promoter"
"32286",125989,125989,"2.378332899",238.9642307,-0.365972808,0.322396907,-1.135162283,0.256307329,0.44207438,0.354504653,"Not Sig","Unchanged","5830418P13Rik","Promoter"
"32287",125990,125990,"1.291267978",19.55545738,0.038948976,0.632068718,0.061621426,0.950864314,0.974507211,0.011214943,"Not Sig","Unchanged","5830418P13Rik","Promoter"
"32607",126680,126680,"3.161224331",1449.520396,0.947805209,0.455887048,2.079035176,0.037614117,0.117069243,0.93155719,"Not Sig","Unchanged","Mlh1","Promoter"
"32661",127054,127054,"2.610320214",407.6807585,-0.060524333,0.464702657,-0.13024314,0.896374064,0.945029068,0.024554833,"Not Sig","Unchanged","Rbms3","Promoter"
"32662",127070,127070,"1.723573583",52.91436433,-0.971225521,0.44563411,-2.179423655,0.02930021,0.097726336,1.009988385,"Not Sig","Unchanged","Rbms3","Promoter"
"32663",127071,127071,"1.885023724",76.7403409,-0.966816805,0.404429584,-2.390568946,0.01682229,0.065141555,1.186141877,"Not Sig","Unchanged","Rbms3","Promoter"
"32774",127512,127512,"1.323904004",21.08162114,-1.239243897,0.591391911,-2.095469812,0.036129249,0.113659298,0.944395031,"Not Sig","Unchanged","Ccdc13","Promoter"
"32775",127513,127513,"1.63844186",43.49525282,0.059568172,0.509052133,0.117017822,0.90684593,0.950580399,0.022011145,"Not Sig","Unchanged","Ccdc13","Promoter"
"32776",127516,127516,"2.109992203",128.8226425,0.031196876,0.413401172,0.075463928,0.939845597,0.96891289,0.013715267,"Not Sig","Unchanged","Ccdc13","Promoter"
"32777",127517,127517,"2.301067657",200.0173443,1.193462637,0.352689851,3.3838871,0.000714674,0.006483792,2.188170944,"Not Sig","Unchanged","Ccdc13","Promoter"
"32778",127518,127518,"2.398338316",250.2293891,-1.462634263,0.450732613,-3.245015384,0.001174443,0.009270777,2.032883862,"Not Sig","Unchanged","Ccdc13","Promoter"
"32994",128170,128170,"1.453046728",28.38224393,-0.39897077,0.69810078,-0.571508844,0.567654767,0.729032277,0.137253243,"Not Sig","Unchanged","6030498E09Rik","Promoter"
"33928",131322,131322,"2.625128252",421.8210531,-1.274330564,0.477914633,-2.66643973,0.007665935,0.044053073,1.356023794,"Not Sig","Unchanged","Vwa3b","Promoter"
"33929",131331,131331,"2.163135012",145.5911621,-0.699842725,0.393389591,-1.779006717,0.075238661,0.214173087,0.669235103,"Not Sig","Unchanged","Vwa3b","Promoter"
"33930",131332,131332,"1.630365261",42.69384419,-1.205035685,0.46510564,-2.590885989,0.00957292,0.051569032,1.287611021,"Not Sig","Unchanged","Vwa3b","Promoter"
"33931",131337,131337,"1.51051824",32.39800294,0.778615591,0.544814299,1.42913942,0.152964165,0.340413858,0.467992768,"Not Sig","Unchanged","Vwa3b","Promoter"
"33932",131339,131339,"1.535438569",34.31141024,0.950723259,0.682365802,1.393275068,0.163536627,0.355051674,0.449708435,"Not Sig","Unchanged","Vwa3b","Promoter"
"34017",131879,131879,"2.650148503",446.8363575,-0.488030099,0.587089035,-0.831271017,0.405820544,0.617865338,0.209106168,"Not Sig","Unchanged","Pou3f3","Promoter"
"34018",131880,131880,"2.714428091",518.117297,1.713803758,0.738457976,2.320787117,0.020298336,0.087740193,1.056801414,"Not Sig","Unchanged","Pou3f3","Promoter"
"34019",131881,131881,"1.92890873",84.90020332,2.484612049,0.739732434,3.358798308,0.000782822,0.008801029,2.055466555,"Sig","Up","Pou3f3","Promoter"
"34664",135307,135307,"1.450208652",28.19737315,-0.313457822,0.665251645,-0.471186843,0.637507314,0.797071827,0.098502541,"Not Sig","Unchanged","Prlh","Promoter"
"34665",135308,135308,"1.803616572",63.62335576,-1.492320538,0.502723992,-2.968468907,0.002992874,0.022533888,1.647163864,"Not Sig","Unchanged","Prlh","Promoter"
"34666",135310,135310,"2.042203188",110.2054794,-1.418240728,0.415372107,-3.414386051,0.000639259,0.007626296,2.117686335,"Not Sig","Unchanged","Rab17","Promoter"
"34667",135311,135311,"1.583418637",38.31939445,-1.077964697,0.544791053,-1.978675477,0.047852556,0.15837644,0.800309425,"Not Sig","Unchanged","Rab17","Promoter"
"34770",135730,135730,"2.924454268",840.3385131,0.516392679,0.567625168,0.909742393,0.362958382,0.578474653,0.237715665,"Not Sig","Unchanged","Bok","Promoter"
"34771",135731,135731,"1.900858564",79.59001093,0.727606894,0.418350915,1.739226251,0.081994974,0.226584395,0.644770003,"Not Sig","Unchanged","Bok","Promoter"
"34849",136316,136316,"1.699372953",50.04641276,-0.926656892,0.454021615,-2.040997301,0.041251095,0.143054683,0.844497921,"Not Sig","Unchanged","Gli2","Promoter"
