"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"19542",77006,77006,"2.47077098",295.6453002,0.713327307,0.641594671,1.111803666,0.266222575,0.453272183,0.343640932,"Not Sig","Unchanged","Sema6c","Promoter"
"19574",77059,77059,"3.039807152",1095.991413,1.121549224,0.288207051,3.891470452,9.96e-05,0.001508849,2.821354342,"Not Sig","Unchanged","Ciart","Promoter"
"19587",77085,77085,"1.926603275",84.45070405,1.746780894,0.564917498,3.09209911,0.001987465,0.013617893,1.865890085,"Not Sig","Unchanged","Mtmr11","Promoter"
"19588",77086,77086,"2.013310785",103.1123737,1.614799594,0.477566072,3.381311381,0.000721407,0.006527419,2.185258495,"Not Sig","Unchanged","Mtmr11","Promoter"
"19589",77087,77087,"2.10802051",128.2391144,0.27828652,0.504545103,0.551559254,0.581250359,0.73969134,0.130949466,"Not Sig","Unchanged","Mtmr11","Promoter"
"19621",77158,77158,"2.517239059",329.0326986,2.093497269,0.358984194,5.831725471,5.49e-09,7.76e-07,6.110108362,"Sig","Up","Ankrd34a","Promoter"
"19622",77159,77159,"2.146388456",140.0839748,0.706887487,0.402438424,1.756510924,0.079001208,0.198326626,0.702618977,"Not Sig","Unchanged","Ankrd34a","Promoter"
"19623",77160,77160,"2.158982269",144.2056475,-0.017159485,0.46217187,-0.03712793,0.970383003,0.984968299,0.006577747,"Not Sig","Unchanged","Ankrd34a","Promoter"
"19686",77526,77526,"2.212465572",163.1043606,-0.773632107,0.336413899,-2.299643711,0.021468414,0.077895918,1.1084853,"Not Sig","Unchanged","Nhlh2","Promoter"
"19687",77527,77527,"2.899125104",792.7296539,1.533025645,0.557991841,2.747397961,0.00600702,0.0305155,1.515479505,"Not Sig","Unchanged","Nhlh2","Promoter"
"19710",77635,77635,"2.249533245",177.6369241,1.234956311,0.428793475,2.880072538,0.003975837,0.022616624,1.645572214,"Not Sig","Unchanged","Syt6","Promoter"
"19711",77636,77636,"1.572072899",37.3312815,1.326318614,0.477404766,2.778184697,0.005466354,0.028544513,1.544477357,"Not Sig","Unchanged","Syt6","Promoter"
"19712",77637,77637,"2.907866899",808.8479678,1.718951514,0.629200285,2.731962388,0.006295833,0.031613035,1.500133806,"Not Sig","Unchanged","Syt6","Promoter"
"19759",77864,77864,"2.777493857",599.0924641,1.665852215,0.546780997,3.046653461,0.002314043,0.015219232,1.817607275,"Not Sig","Unchanged","Kcna2","Promoter"
"19760",77865,77865,"1.674283683",47.23714953,1.414967619,0.630663628,2.243616972,0.024857056,0.08671041,1.06192876,"Not Sig","Unchanged","Kcna2","Promoter"
"19765",77903,77903,"2.993243505",984.5629869,2.46966392,0.605266925,4.080288907,4.5e-05,0.000830401,3.080711959,"Sig","Up","Kcnc4","Promoter"
"19766",77904,77904,"2.253296198",179.18275,0.853915271,0.370657466,2.303785434,0.021234691,0.077288249,1.111886531,"Not Sig","Unchanged","Kcnc4","Promoter"
"19767",77909,77909,"2.275321208",188.5042768,-1.546830541,0.599328274,-2.580940379,0.00985316,0.043949534,1.357045721,"Not Sig","Unchanged","Slc6a17","Promoter"
"19768",77910,77910,"1.67736156",47.57311181,-1.771212839,0.741743354,-2.387905238,0.01694471,0.065480608,1.183887297,"Not Sig","Unchanged","Slc6a17","Promoter"
"19769",77911,77911,"1.879451365",75.76198852,1.975347331,0.78103532,2.529139566,0.011434255,0.049022822,1.309601692,"Not Sig","Unchanged","Slc6a17","Promoter"
"19770",77912,77912,"2.404447881",253.774442,0.391756863,0.609905016,0.642324383,0.520662586,0.692560137,0.159542509,"Not Sig","Unchanged","Slc6a17","Promoter"
