"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"27855",108617,108617,"1.951952133",89.52660848,0.229528426,0.40020022,0.573533983,0.566283197,0.72804432,0.137842182,"Not Sig","Unchanged","Ntrk3","Promoter"
"28137",109728,109728,"3.173546179",1491.23531,1.264221024,0.381437695,3.314357866,0.000918539,0.00777843,2.109108041,"Not Sig","Unchanged","Gdpd5","Promoter"
"28138",109729,109729,"2.142760482",138.9186271,0.820486368,0.385061454,2.130793303,0.033106174,0.106615449,0.97217986,"Not Sig","Unchanged","Gdpd5","Promoter"
"28139",109730,109730,"2.038054356",109.157695,1.808309427,0.51786671,3.491843352,0.000479699,0.004834422,2.31565546,"Not Sig","Unchanged","Gdpd5","Promoter"
"28140",109735,109735,"1.232159204",17.0670792,0.442846266,0.61458754,0.720558483,0.471181205,0.651377485,0.186167257,"Not Sig","Unchanged","Gdpd5","Promoter"
"28141",109736,109736,"2.12203348",132.4443633,0.527709856,0.42530221,1.240787948,0.214684095,0.393315282,0.405259179,"Not Sig","Unchanged","Gdpd5","Promoter"
"28142",109739,109739,"1.482174432",30.35109973,0.741818431,0.535140586,1.38621224,0.165682105,0.330651919,0.480628952,"Not Sig","Unchanged","Gdpd5","Promoter"
"28143",109740,109740,"2.50602515",320.6455001,0.704571303,0.361078091,1.951298957,0.051021493,0.145563472,0.836947595,"Not Sig","Unchanged","Gdpd5","Promoter"
"28404",110528,110528,"3.32948473",2135.427004,1.330289135,0.430942033,3.086932887,0.002022333,0.013797949,1.860185449,"Not Sig","Unchanged","Arntl","Promoter"
"28408",110564,110564,"2.840114261",692.0130133,1.404690555,0.466763509,3.009426673,0.002617413,0.016667399,1.778132166,"Not Sig","Unchanged","Spon1","Promoter"
"29278",113724,113724,"1.596381732",39.48041708,-0.210287111,0.562588072,-0.37378523,0.708564109,0.829941538,0.080952499,"Not Sig","Unchanged","Gas6","Promoter"
"29279",113725,113725,"2.976852005",948.0953243,2.758199218,0.480783082,5.736889089,9.64e-09,1.19e-06,5.922989201,"Sig","Up","Gas6","Promoter"
"29359",114077,114077,"3.086708994",1220.981249,2.323342699,0.628881713,3.694403336,0.000220404,0.002716103,2.566053825,"Sig","Up","Ank1","Promoter"
"29360",114087,114087,"2.23030352",169.9430939,-0.769059605,0.52194713,-1.473443497,0.140631489,0.295750735,0.529074168,"Not Sig","Unchanged","Ank1","Promoter"
"29361",114088,114088,"1.675705059",47.39200242,0.324553596,0.52814287,0.614518559,0.538872713,0.706849181,0.150673241,"Not Sig","Unchanged","Ank1","Promoter"
"29362",114089,114089,"2.00396828",100.9179175,-1.233856754,0.453544319,-2.7204767,0.006518787,0.032423169,1.489144546,"Not Sig","Unchanged","Ank1","Promoter"
"29363",114090,114090,"1.867092073",73.63631937,-1.446484317,0.45676231,-3.166820651,0.001541153,0.011276207,1.947836962,"Not Sig","Unchanged","Ank1","Promoter"
"29364",114095,114095,"2.64570848",442.2913843,0.813342679,0.540934861,1.5035871,0.132687715,0.284118284,0.546500817,"Not Sig","Unchanged","Ank1","Promoter"
"29365",114096,114096,"2.236228963",172.2776597,1.2568993,0.358203444,3.508897866,0.000449968,0.004614465,2.335878674,"Not Sig","Unchanged","Ank1","Promoter"
"29366",114104,114104,"3.056069612",1137.809649,-0.01062149,0.821478681,-0.012929721,0.989683863,0.994572204,0.002363683,"Not Sig","Unchanged","Ank1","Promoter"
"29367",114107,114107,"1.484231443",30.495197,1.093837691,0.497665152,2.197939091,0.027953447,0.094423608,1.02491941,"Not Sig","Unchanged","Ank1","Promoter"
"29368",114109,114109,"1.926688827",84.46734175,1.87208614,0.386776161,4.840231461,1.3e-06,5.53e-05,4.257100442,"Not Sig","Unchanged","Ank1","Promoter"
"29434",114394,114394,"2.121029293",132.1384758,1.154332038,0.429254114,2.689157773,0.007163255,0.034723803,1.459372722,"Not Sig","Unchanged","Zfp703","Promoter"
"29435",114395,114395,"3.254063954",1794.997936,1.990130555,0.584606327,3.40422343,0.000663525,0.006132303,2.212376397,"Not Sig","Unchanged","Zfp703","Promoter"
"29436",114396,114396,"2.668799484",466.4439708,1.565391615,0.657378523,2.381263701,0.017253356,0.066351997,1.178146004,"Not Sig","Unchanged","Zfp703","Promoter"
