"","X","res_n.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","annotation","significant","change"
"291",901,"peak901","1.871114361",74.32148198,-0.236743707,0.411648466,-0.575111353,0.56521599,0.681649838,"Fastkd2","Promoter","Not Sig","Unchanged"
"292",912,"peak912","2.768844001",587.2783642,0.929505808,0.17643916,5.268137785,1.38e-07,1.9e-06,"Klf7","Promoter","Sig","Unchanged"
"293",931,"peak931","2.562027362",364.7769285,0.642427357,0.21889104,2.93491847,0.003336353,0.011716027,"Creb1","Promoter","Sig","Unchanged"
"294",932,"peak932","1.847818514",70.43986481,0.196438519,0.435806779,0.450746817,0.652172036,0.753816974,"Creb1","Promoter","Not Sig","Unchanged"
"295",934,"peak934","2.593685353",392.3605667,0.415083966,0.201760891,2.05730637,0.039656765,0.088649511,"Mettl21a","Promoter","Not Sig","Unchanged"
"296",935,"peak935","2.480438073",302.2999486,0.636340193,0.226438894,2.810207126,0.004950963,0.016307672,"Ccnyl1","Promoter","Sig","Unchanged"
"297",937,"peak937","2.033723633",108.074599,-1.654111728,0.35954641,-4.600551368,4.21e-06,3.9e-05,"Fzd5","Promoter","Sig","Unchanged"
"298",938,"peak938","2.351213732",224.498649,0.305530471,0.263376686,1.160051315,0.246027914,0.369353266,"Fzd5","Promoter","Not Sig","Unchanged"
"299",942,"peak942","2.004042003",100.93505,0.534048944,0.383672781,1.391938576,0.163940999,0.27145025,"Plekhm3","Promoter","Not Sig","Unchanged"
"300",944,"peak944","1.719214967",52.38596725,-1.539467127,0.549479117,-2.801684501,0.005083656,0.016664722,"Cryge","Promoter","Sig","Unchanged"
"301",945,"peak945","2.290429312",195.1773029,0.087440382,0.265296959,0.329594362,0.741706483,0.823501178,"Idh1","Promoter","Not Sig","Unchanged"
"302",946,"peak946","2.307643944",203.0691468,0.108484292,0.267294125,0.405861118,0.684844649,0.7792547,"Idh1","Promoter","Not Sig","Unchanged"
"303",948,"peak948","1.282795879",19.17767165,-0.192614608,0.802913864,-0.239894486,0.810412056,0.873516215,"Pth2r","Promoter","Not Sig","Unchanged"
"304",955,"peak955","2.323793938",210.7627896,0.390483161,0.275540071,1.417155624,0.156437433,0.261851261,"Map2","Promoter","Not Sig","Unchanged"
"305",956,"peak956","1.650143725",44.68314412,-0.273830331,0.528411091,-0.518214579,0.604308564,0.714770636,"Map2","Promoter","Not Sig","Unchanged"
"306",963,"peak963","1.827422003",67.2081596,-0.238316264,0.444559571,-0.536072732,0.591908285,0.704233931,"Map2","Promoter","Not Sig","Unchanged"
"307",965,"peak965","1.488136616",30.77064613,-0.943482841,0.643494276,-1.466186844,0.142597392,0.243824966,"Map2","Promoter","Not Sig","Unchanged"
"308",966,"peak966","1.218292667",16.53075417,-0.019961598,0.859424099,-0.023226714,0.98146943,0.98867603,"Map2","Promoter","Not Sig","Unchanged"
"309",967,"peak967","2.548387467",353.4984118,1.263349752,0.21108586,5.985004173,2.16e-09,4.56e-08,"Unc80","Promoter","Sig","Up"
"310",969,"peak969","2.515427215",327.6628582,0.279323005,0.214043464,1.304982639,0.19189876,0.306115379,"Rpe","Promoter","Not Sig","Unchanged"
"311",970,"peak970","3.047161208",1114.708231,0.92928711,0.153294958,6.062085296,1.34e-09,2.99e-08,"Kansl1l","Promoter","Sig","Unchanged"
"312",971,"peak971","1.926608004",84.45162363,-0.018530837,0.392347247,-0.047230705,0.962329356,0.97628759,"Acadl","Promoter","Not Sig","Unchanged"
"313",972,"peak972","1.983517981",96.27598727,0.260455983,0.376705276,0.691405192,0.489310942,0.613946341,"Lancl1","Promoter","Not Sig","Unchanged"
"314",987,"peak987","2.389549569",245.216432,0.323307127,0.246654331,1.310770118,0.189935441,0.303689744,"Erbb4","Promoter","Not Sig","Unchanged"
