,X,res_2.rownames,log_mean_counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpadj,significant,change,SYMBOL,annotation
100,3056,peak3056,0.727033065,5.333755027,3.603274899,1.28766843,2.798294044,0.005137332,0.049504911,1.305351719,Sig,Up,Btbd2,Promoter
101,3061,peak3061,1.638884439,43.53960044,1.182349504,0.340537915,3.472005471,0.000516586,0.010387148,1.983503675,Sig,Up,Jsrp1,Promoter
102,3076,peak3076,1.076313984,11.92103556,2.258953194,0.757881082,2.980616942,0.002876684,0.033665209,1.472818682,Sig,Up,Zbtb7a,Promoter
103,3086,peak3086,1.909218968,81.13700419,1.305819794,0.253060323,5.160112735,2.47E-07,2.45E-05,4.610352936,Sig,Up,Gipc3,Promoter
104,3088,peak3088,1.317975913,20.79581345,1.485537497,0.482586453,3.078282634,0.002081974,0.02744147,1.561592632,Sig,Up,Gipc3,Promoter
105,3107,peak3107,0.95675322,9.052180803,2.353772813,0.833732489,2.823175111,0.004755059,0.046924221,1.328602924,Sig,Up,Zfp433,Promoter
106,3115,peak3115,0.95675322,9.052180803,2.353772813,0.833732489,2.823175111,0.004755059,0.046924221,1.328602924,Sig,Up,Zfp433,Promoter
107,3159,peak3159,0.813745283,6.512463206,4.363524573,1.269441632,3.437357389,0.00058742,0.011384601,1.943682169,Sig,Up,Fhl4,Promoter
108,3160,peak3160,1.058211376,11.43434721,3.233948747,0.820244817,3.942662825,8.06E-05,0.002721586,2.565177926,Sig,Up,Cry1,Promoter
117,3352,peak3352,1.039911634,10.96255118,3.440094698,0.95837115,3.589522386,0.000331284,0.007571589,2.120812995,Sig,Up,Atp2b1,Promoter
118,3378,peak3378,1.441985664,27.66850313,1.752535845,0.593433869,2.9532117,0.003144862,0.035608211,1.448449849,Sig,Up,Gm4301,Promoter
119,3451,peak3451,0.979117617,9.530542391,3.704148711,1.033297427,3.584784608,0.000337357,0.007654129,2.116104199,Sig,Up,Zfc3h1,Promoter
120,3465,peak3465,0.952119767,8.956117184,2.46795215,0.871604159,2.831505705,0.004632941,0.046101169,1.336288064,Sig,Up,Rab3ip,Promoter
130,3669,peak3669,0.864530052,7.320319755,3.175750692,1.07733845,2.94777439,0.003200706,0.035962386,1.444151498,Sig,Up,Ctdsp2,Promoter
131,3710,peak3710,0.923896672,8.39260284,3.25696245,0.91635979,3.554239815,0.000379073,0.008339078,2.07888195,Sig,Up,Rab5b,Promoter
