,X,res_2.rownames,log_mean_counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpadj,significant,change,SYMBOL,annotation
368,12275,peak12275,1.098559701,12.54757213,1.898114742,0.679061351,2.795203615,0.005186704,0.049734156,1.303345245,Sig,Up,Atf4,Promoter
369,12295,peak12295,1.189824531,15.48190973,1.746073474,0.584563318,2.986970653,0.002817568,0.033218808,1.478615951,Sig,Up,Adsl,Promoter
370,12329,peak12329,0.796038117,6.252275645,4.242429663,1.255090699,3.380177757,0.00072439,0.013100502,1.882712052,Sig,Up,Cyp2d10,Promoter
379,12653,peak12653,1.226454077,16.84434302,2.632370554,0.853531341,3.084093611,0.002041733,0.027060145,1.567669886,Sig,Up,Tmem106c,Promoter
380,12711,peak12711,0.945288102,8.816335368,2.240577878,0.785680582,2.851766898,0.004347697,0.044095032,1.355610337,Sig,Up,Spats2,Promoter
382,12815,peak12815,1.219760946,16.58673654,1.68282837,0.573066282,2.93653356,0.003319029,0.036863984,1.433397732,Sig,Up,Sp1,Promoter
383,12848,peak12848,1.502083829,31.7748734,1.145144573,0.381652532,3.000489914,0.002695457,0.032197998,1.492171127,Sig,Up,Nfe2,Promoter
384,12852,peak12852,1.544301561,35.01882429,1.212536284,0.367871513,3.296086385,0.000980419,0.016117665,1.792697877,Sig,Up,Zfp385a,Promoter
385,12897,peak12897,1.438783952,27.46527502,1.509043497,0.453765919,3.32559902,0.000882288,0.015054546,1.822332349,Sig,Up,Hmox2,Promoter
386,12900,peak12900,0.85878281,7.224084377,2.604607272,0.92525457,2.815016923,0.004877467,0.047575564,1.322616053,Sig,Up,Rogdi,Promoter
387,12993,peak12993,1.002917562,10.0674055,2.103632598,0.703471218,2.990360577,0.002786483,0.032956784,1.482055178,Sig,Up,Prm1,Promoter
389,12997,peak12997,1.17609388,15.00009051,1.754774963,0.595378952,2.947324486,0.003205367,0.035969023,1.444071356,Sig,Up,Txndc11,Promoter
390,12998,peak12998,1.801046375,63.24793848,1.30980504,0.311617213,4.203249971,2.63E-05,0.001154343,2.937665124,Sig,Up,Zc3h7a,Promoter
396,13267,peak13267,0.959697022,9.113748129,2.690431017,0.808760884,3.326608731,0.000879097,0.015033093,1.822951658,Sig,Up,Xxylt1,Promoter
401,13380,peak13380,1.309067326,20.37357892,1.69378071,0.517402902,3.27362043,0.001061791,0.017104133,1.766898928,Sig,Up,Kpna1,Promoter
415,13705,peak13705,0.745151838,5.560986461,4.140121537,1.414973071,2.925936628,0.003434209,0.037614261,1.424647469,Sig,Up,App,Promoter
421,13779,peak13779,1.060764643,11.50176905,2.0716017,0.735374716,2.817069521,0.004846403,0.047392761,1.324287987,Sig,Up,Scaf4,Promoter
424,13924,peak13924,0.85793118,7.209932188,2.623176468,0.926625381,2.830892096,0.004641838,0.046130673,1.33601021,Sig,Up,Hlcs,Promoter
425,14018,peak14018,0.778576217,6.005874006,3.137154919,1.111401138,2.822702634,0.004762072,0.046965443,1.328221581,Sig,Up,Zdhhc14,Promoter
427,14259,peak14259,0.885544185,7.683236204,3.185932955,0.990698806,3.215844146,0.001300614,0.019861028,1.701998285,Sig,Up,Ppp2r1a,Promoter
428,14338,peak14338,0.767963584,5.860890189,4.365207724,1.318258712,3.311343733,0.000928491,0.015552846,1.808190126,Sig,Up,Noxo1,Promoter
429,14340,peak14340,1.094143674,12.42063141,2.136957384,0.764262076,2.796105486,0.005172252,0.049637417,1.304190827,Sig,Up,Rps2,Promoter
430,14361,peak14361,1.53364219,34.16978058,1.54860017,0.401592311,3.85614995,0.000115187,0.003554566,2.449213475,Sig,Up,Baiap3,Promoter
431,14362,peak14362,1.636201392,43.27144441,1.053094565,0.329792953,3.193199118,0.001407059,0.021052416,1.676698056,Sig,Up,Baiap3,Promoter
432,14406,peak14406,0.806470633,6.404284747,3.618540694,1.192152988,3.035298936,0.002402974,0.0299227,1.523999223,Sig,Up,Ergic1,Promoter
439,14730,peak14730,0.726699188,5.32965612,3.392583468,1.199583504,2.82813448,0.004682013,0.046426111,1.333237699,Sig,Up,Nelfe,Promoter
440,14733,peak14733,2.415972897,260.5990912,1.286338867,0.161680439,7.956057491,1.78E-15,1.26E-12,11.90114624,Sig,Up,Hspa1b,Promoter
441,14737,peak14737,1.859436577,72.34967369,1.137303006,0.279305054,4.071902711,4.66E-05,0.001805037,2.743513955,Sig,Up,Hspa1a,Promoter
442,14738,peak14738,2.039520933,109.5269346,1.18188785,0.212765252,5.554891309,2.78E-08,3.91E-06,5.40784001,Sig,Up,Hspa1a,Promoter
444,14988,peak14988,0.742036456,5.521237847,3.186660504,1.113543621,2.861729388,0.004213365,0.043055495,1.365971413,Sig,Up,Abcc10,Promoter
446,15047,peak15047,1.026268775,10.6235282,2.816657598,0.857429419,3.28500228,0.001019815,0.016582854,1.78034073,Sig,Up,Oard1,Promoter
450,15133,peak15133,0.817882695,6.574802241,3.953428065,1.18074635,3.348245001,0.000813251,0.014235779,1.846618748,Sig,Up,Fem1a,Promoter
451,15172,peak15172,1.293600346,19.66076201,2.04606099,0.602042439,3.398532821,0.000677483,0.012528088,1.902115214,Sig,Up,Fer,Promoter
452,15182,peak15182,0.974580072,9.431484863,2.977766454,0.878729428,3.388718254,0.000702201,0.01284863,1.89114318,Sig,Up,Vapa,Promoter
466,15512,peak15512,0.77678757,5.9811896,4.184894518,1.285819821,3.254650808,0.001135319,0.017962982,1.745621574,Sig,Up,Socs5,Promoter
467,15534,peak15534,0.94916796,8.895450761,2.864568989,0.933028226,3.070184706,0.002139264,0.027831014,1.555470973,Sig,Up,Msh6,Promoter
468,15558,peak15558,0.757877707,5.726347603,3.538111086,1.19485157,2.961130215,0.003065123,0.035017446,1.455715527,Sig,Up,Gm1976,Promoter
476,15626,peak15626,0.855497166,7.169636978,6.504106342,1.435769299,4.530049741,5.90E-06,0.000356871,3.447489287,Sig,Up,Arhgap12,Promoter
483,15805,peak15805,1.039354344,10.94849297,2.451095014,0.757056769,3.23766343,0.001205129,0.018771527,1.726500388,Sig,Up,Stard4,Promoter
484,15868,peak15868,0.675051977,4.732078901,4.906787811,1.54492375,3.176071188,0.001492843,0.022000488,1.657567695,Sig,Up,Pcdhgc3,Promoter
485,15876,peak15876,1.772535348,59.22912926,1.077226677,0.30082056,3.580960944,0.000342333,0.007743388,2.111068966,Sig,Up,Pcdh1,Promoter
488,16007,peak16007,0.938093627,8.671487985,2.821249863,0.950695281,2.967564813,0.00300169,0.034611746,1.460776494,Sig,Up,Fem1c,Promoter
491,16083,peak16083,1.383879843,24.20359309,1.284752092,0.459396157,2.796610445,0.005164176,0.049609898,1.304431665,Sig,Up,Ccdc192,Promoter
495,16127,peak16127,1.468759837,29.4279383,1.743173285,0.422957941,4.121386827,3.77E-05,0.001517419,2.818894587,Sig,Up,Slc6a7,Promoter
496,16128,peak16128,2.068729589,117.1465732,1.055249393,0.207203444,5.092817831,3.53E-07,3.33E-05,4.478165043,Sig,Up,Slc6a7,Promoter
508,16631,peak16631,0.978057763,9.507312372,2.51424319,0.838106804,2.999907861,0.002700613,0.032222963,1.491834531,Sig,Up,Aldh3b3,Promoter
509,16659,peak16659,1.282946192,19.18431038,1.660763807,0.51554831,3.221354383,0.001275863,0.019584942,1.708077705,Sig,Up,Ccdc87,Promoter
510,16676,peak16676,1.640495164,43.70138128,1.007029102,0.330747782,3.044704021,0.002329094,0.029498696,1.530197183,Sig,Up,Fosl1,Promoter
511,16679,peak16679,0.779197708,6.014474784,4.258887536,1.289872398,3.301789806,0.0009607,0.01593789,1.797569164,Sig,Up,Ccdc85b,Promoter
512,16693,peak16693,0.69934153,5.004279177,3.60484718,1.273955438,2.829649352,0.004659904,0.04623636,1.335016363,Sig,Up,Fau,Promoter
513,16697,peak16697,1.136708904,13.69963209,3.28102995,0.724211649,4.530484912,5.88E-06,0.00035683,3.447538113,Sig,Up,Atg2a,Promoter
515,16718,peak16718,1.447673202,28.03323401,1.472750053,0.452451869,3.25504248,0.001133754,0.017962982,1.745621574,Sig,Up,Kcnk4,Promoter
516,16830,peak16830,0.75290513,5.661156096,3.651006374,1.243369903,2.936379885,0.003320674,0.036863984,1.433397732,Sig,Up,Zfp91,Promoter
517,16904,peak16904,0.791706906,6.19023171,3.170028642,1.081413776,2.931374385,0.003374658,0.037224155,1.429175157,Sig,Up,Carnmt1,Promoter
518,16939,peak16939,0.901114616,7.963694959,3.249350835,0.978740969,3.319929315,0.000900402,0.015244898,1.816875482,Sig,Up,Fam122a,Promoter
532,17201,peak17201,1.363750997,23.10739548,1.340237143,0.450228663,2.976792136,0.002912814,0.033951991,1.469134756,Sig,Up,Ubtd1,Promoter
534,17306,peak17306,1.770513719,58.95405998,1.022230985,0.281864708,3.626672506,0.000287097,0.006822338,2.16606676,Sig,Up,Kazald1,Promoter
535,17341,peak17341,1.538035632,34.5172058,1.272267238,0.367941941,3.457793465,0.000544619,0.010805234,1.966365828,Sig,Up,Fgf8,Promoter
541,17475,peak17475,0.833622644,6.817460718,4.07244014,1.175539998,3.464314398,0.000531585,0.010606464,1.974429371,Sig,Up,Add3,Promoter
557,17952,peak17952,1.416234626,26.07561892,1.319611137,0.457534348,2.884179393,0.003924351,0.040935906,1.387895596,Sig,Up,Cacna1b,Promoter
560,17981,peak17981,1.639144276,43.56565782,1.526217432,0.349254078,4.369934468,1.24E-05,0.000650837,3.186527654,Sig,Up,Ajm1,Promoter
561,17982,peak17982,1.925092203,84.15737923,1.29753199,0.254713,5.094094097,3.50E-07,3.31E-05,4.479771883,Sig,Up,Ajm1,Promoter
562,17996,peak17996,1.029699928,10.70779204,2.429238536,0.791022938,3.071008968,0.002133367,0.027789166,1.556124495,Sig,Up,Tmem250-ps,Promoter
566,18116,peak18116,0.942621975,8.76237782,3.922882609,1.054797633,3.719085525,0.000199945,0.005279711,2.277389816,Sig,Up,Set,Promoter
567,18166,peak18166,1.681406477,48.01826644,1.511048143,0.330337917,4.574249781,4.78E-06,0.000302779,3.518873581,Sig,Up,Gm23363,Promoter
568,18201,peak18201,0.673305027,4.713082339,4.536269236,1.55929282,2.909183688,0.003623739,0.03888238,1.410247164,Sig,Up,Pbx3,Promoter
577,18485,peak18485,0.817471302,6.568577104,3.302182683,1.046922443,3.154180815,0.001609493,0.023103322,1.636325566,Sig,Up,Phospho2,Promoter
589,18760,peak18760,0.905156374,8.038154946,2.681057039,0.893663459,3.000074595,0.002699135,0.032217687,1.491905645,Sig,Up,Fnbp4,Promoter
591,18783,peak18783,1.546463665,35.19359766,1.065688706,0.362849942,2.936995661,0.003314087,0.036856415,1.433486905,Sig,Up,Dgkz,Promoter
592,18806,peak18806,0.852714224,7.123841099,3.69771077,1.124049998,3.289631934,0.001003185,0.016415085,1.784756861,Sig,Up,Prdm11,Promoter
595,18906,peak18906,0.985742265,9.677033947,2.603716547,0.771643825,3.374246591,0.00074018,0.013316396,1.875613303,Sig,Up,Cd44,Promoter
596,18947,peak18947,0.920542469,8.328033609,3.609841196,1.050014981,3.437894946,0.000586255,0.011369109,1.944273565,Sig,Up,Kif18a,Promoter
600,19167,peak19167,1.404464576,25.37841976,1.302851441,0.425688351,3.060575747,0.002209119,0.028492583,1.545268184,Sig,Up,Duoxa1,Promoter
603,19228,peak19228,0.713474318,5.169806852,3.448909022,1.188413878,2.90211103,0.003706571,0.039458115,1.403863668,Sig,Up,Mrps5,Promoter
606,19338,peak19338,0.883801767,7.652472309,2.653934312,0.937702519,2.830251875,0.004651137,0.046193574,1.335418433,Sig,Up,Cds2,Promoter
607,19367,peak19367,1.464177029,29.11903839,1.748446172,0.519592448,3.365033844,0.000765343,0.013627218,1.86559279,Sig,Up,Plcb4,Promoter
614,19470,peak19470,0.873319275,7.469977183,2.911487258,1.041902664,2.794394676,0.005199698,0.049756373,1.303151285,Sig,Up,Kiz,Promoter
615,19539,peak19539,0.678300303,4.767605398,3.682527263,1.269396141,2.901007135,0.003719654,0.039543254,1.4029276,Sig,Up,Apmap,Promoter
616,19614,peak19614,0.880966043,7.602668308,2.947374927,0.976942161,3.016939022,0.002553412,0.031050205,1.507935527,Sig,Up,Mapre1,Promoter
617,19631,peak19631,0.817024969,6.561829912,3.518215959,1.188464163,2.960304625,0.00307335,0.035050208,1.455309406,Sig,Up,Raly,Promoter
618,19655,peak19655,0.810902004,6.469966085,2.626181245,0.92636917,2.834918659,0.004583735,0.045768185,1.339436305,Sig,Up,Nfs1,Promoter
619,19795,peak19795,0.984557467,9.650670042,2.610030321,0.861721827,3.028854832,0.002454826,0.030337632,1.518018315,Sig,Up,Top1,Promoter
620,19797,peak19797,0.791737437,6.1906669,4.907645875,1.383089633,3.548320917,0.000387696,0.008474812,2.07186993,Sig,Up,Plcg1,Promoter
621,19933,peak19933,1.85433864,71.50536693,1.353525152,0.256708079,5.272623888,1.34E-07,1.46E-05,4.836357444,Sig,Up,Slc12a5,Promoter
622,20007,peak20007,0.927590032,8.464280215,2.451485919,0.840968575,2.915074346,0.003556038,0.0384611,1.414978297,Sig,Up,Stau1,Promoter
633,20832,peak20832,0.881048253,7.60410759,2.989255214,0.897635385,3.330144136,0.00086801,0.014868024,1.827746755,Sig,Up,Actl6a,Promoter
635,20993,peak20993,0.956153302,9.039685102,2.638509852,0.881909905,2.991813377,0.002773257,0.032862836,1.48329496,Sig,Up,Pgrmc2,Promoter
638,21103,peak21103,0.722043684,5.272828959,3.239169784,1.157661756,2.798027807,0.005141569,0.049506609,1.305336823,Sig,Up,Cog6,Promoter
640,21151,peak21151,0.879208588,7.571964834,2.518769379,0.875470495,2.877046564,0.004014164,0.04164929,1.380392396,Sig,Up,Med12l,Promoter
644,21179,peak21179,0.914306863,8.209313921,3.319518787,1.071785613,3.097185433,0.001953676,0.026205715,1.58160399,Sig,Up,Tiparp,Promoter
646,21243,peak21243,1.051142759,11.2497471,2.203952349,0.724432387,3.042316147,0.002347652,0.029614514,1.528495396,Sig,Up,Pdcd10,Promoter
650,21351,peak21351,0.712335897,5.156272932,4.363649398,1.367800091,3.190268392,0.001421407,0.021205896,1.673543376,Sig,Up,Rrnad1,Promoter
651,21372,peak21372,1.671889072,46.97741025,1.078826265,0.313734626,3.438658579,0.000584604,0.011344163,1.945227552,Sig,Up,Paqr6,Promoter
652,21375,peak21375,1.197498578,15.75790863,1.917885535,0.57740973,3.321533107,0.000895244,0.015204293,1.818033763,Sig,Up,Bglap2,Promoter
653,21378,peak21378,1.432529512,27.07257164,1.201997895,0.417804563,2.87693817,0.004015543,0.041649707,1.380388052,Sig,Up,Bglap,Promoter
654,21429,peak21429,0.916902013,8.258515978,2.481687295,0.83692029,2.965261238,0.00302426,0.034764461,1.458864503,Sig,Up,Tpm3,Promoter
655,21433,peak21433,0.965966499,9.246268472,2.180937122,0.78084972,2.793030548,0.005221676,0.049864667,1.302207076,Sig,Up,Npr1,Promoter
657,21557,peak21557,1.593726934,39.23981343,1.397340633,0.349594518,3.997032446,6.41E-05,0.002299501,2.638366334,Sig,Up,Ankrd34a,Promoter
659,21580,peak21580,0.878642901,7.562108448,3.815490963,1.100567585,3.466839305,0.000526617,0.010520833,1.977949886,Sig,Up,Notch2,Promoter
678,21958,peak21958,0.986455841,9.692947055,3.026013303,0.929589445,3.255214782,0.001133066,0.017962982,1.745621574,Sig,Up,Ppa2,Promoter
680,22019,peak22019,0.839388984,6.908583066,3.250171995,1.057228896,3.074236817,0.002110418,0.027571051,1.559546673,Sig,Up,Trmt10a,Promoter
688,22447,peak22447,0.675686705,4.738999957,4.549190348,1.483779465,3.065947773,0.002169812,0.028137546,1.550713775,Sig,Up,Mdn1,Promoter
690,22520,peak22520,0.848715908,7.058556702,2.991397428,1.047873462,2.854731545,0.004307322,0.043785477,1.35866991,Sig,Up,Dnaja1,Promoter
691,22717,peak22717,0.700957588,5.022935342,3.656568543,1.275972806,2.865710401,0.004160747,0.042700162,1.369570481,Sig,Up,Rnf38,Promoter
697,22788,peak22788,0.871461778,7.438095975,3.157095979,0.995550559,3.171206073,0.001518074,0.022274157,1.652198724,Sig,Up,Tdrd7,Promoter
705,23199,peak23199,0.797473022,6.272967276,4.453972097,1.294161978,3.441587817,0.000578311,0.011257155,1.948571363,Sig,Up,Kdm4c,Promoter
712,23275,peak23275,1.79064762,61.75151539,1.017683879,0.292837092,3.475256067,0.000510366,0.010295358,1.987358538,Sig,Up,Gm13276,Promoter
721,23694,peak23694,0.712098133,5.153450782,4.191032532,1.375225852,3.047523085,0.002307358,0.029326571,1.532738713,Sig,Up,Pik3r3,Promoter
722,23852,peak23852,0.879384209,7.575027424,2.839951824,0.916022087,3.10030933,0.001933186,0.025998139,1.585057747,Sig,Up,Mycbp,Promoter
724,23984,peak23984,1.987290887,97.11602249,1.281739257,0.220955427,5.800895103,6.60E-09,1.16E-06,5.935836232,Sig,Up,Col8a2,Promoter
725,24000,peak24000,0.869726238,7.408430964,2.817618611,0.888852335,3.169951295,0.001524645,0.022317713,1.651350319,Sig,Up,Smim12,Promoter
726,24029,peak24029,1.296203526,19.77896334,1.57425886,0.494083217,3.186222089,0.001441439,0.021432792,1.668921246,Sig,Up,Zbtb8b,Promoter
727,24095,peak24095,0.948722429,8.88632983,2.887755127,0.981795186,2.941300965,0.003268368,0.036501722,1.437686646,Sig,Up,Epb41,Promoter
729,24153,peak24153,1.026567004,10.63082585,2.041531593,0.695282652,2.936261371,0.003321943,0.036864915,1.433386761,Sig,Up,Rps6ka1,Promoter
730,24183,peak24183,1.016304639,10.38256453,2.039254446,0.721406141,2.826777219,0.004701903,0.046549136,1.33208838,Sig,Up,Stmn1,Promoter
731,24247,peak24247,0.809666611,6.451587791,3.569505676,1.184819585,3.012699757,0.00258935,0.03140129,1.503052513,Sig,Up,Srsf10,Promoter
732,24270,peak24270,1.499298033,31.5717048,1.167391859,0.397637515,2.935819222,0.003326681,0.036904333,1.432922644,Sig,Up,Htr1d,Promoter
734,24416,peak24416,0.981166546,9.575612117,2.251271689,0.777977143,2.893750426,0.003806706,0.040153068,1.396281268,Sig,Up,Sdhb,Promoter
737,24676,peak24676,0.914166728,8.206665414,3.467533877,0.959471119,3.614005474,0.000301503,0.007058105,2.151311893,Sig,Up,Pgd,Promoter
738,24710,peak24710,1.109968118,12.88154985,2.21605063,0.76973941,2.878962156,0.003989862,0.041480164,1.382159538,Sig,Up,Errfi1,Promoter
739,24756,peak24756,1.037791853,10.90917361,2.33095607,0.7163502,3.253933721,0.001138188,0.017983939,1.745115191,Sig,Up,Klhl21,Promoter
740,24978,peak24978,1.401858984,25.22661528,2.174424424,0.538275192,4.039614783,5.35E-05,0.00200891,2.697039606,Sig,Up,Sdf4,Promoter
742,25010,peak25010,1.008548379,10.19878366,2.41519952,0.740834121,3.260108371,0.001113697,0.017738169,1.751091214,Sig,Up,Rbm48,Promoter
743,25115,peak25115,1.652705898,44.94753693,1.257765397,0.418959855,3.002114358,0.002681114,0.032088782,1.493646773,Sig,Up,Gm10354,Promoter
744,25137,peak25137,1.665732843,46.3161917,1.10426666,0.33279556,3.318153221,0.000906148,0.015302187,1.815246501,Sig,Up,Gm17019,Promoter
745,25173,peak25173,1.66341516,46.06967618,1.388839098,0.346336726,4.01008323,6.07E-05,0.002203094,2.656966933,Sig,Up,Gm21190,Promoter
746,25186,peak25186,1.31459143,20.63438027,1.720724315,0.553287738,3.109999005,0.00187088,0.025424022,1.594755752,Sig,Up,Gm21083,Promoter
747,25206,peak25206,1.771304474,59.06150019,1.356072358,0.403553228,3.360330838,0.000778492,0.013821786,1.859435846,Sig,Up,Speer4d,Promoter
748,25214,peak25214,1.535845477,34.34357313,1.196396223,0.415637585,2.878460144,0.003996218,0.041508173,1.381866383,Sig,Up,4930572O03Rik,Promoter
749,25227,peak25227,1.430019303,26.91654436,1.561470824,0.472314641,3.305997078,0.000946391,0.015767772,1.802229665,Sig,Up,Speer4cos,Promoter
750,25241,peak25241,1.465605973,29.21500555,1.531163639,0.461756998,3.315951126,0.000913318,0.015391022,1.812732552,Sig,Up,Speer4c,Promoter
751,25242,peak25242,1.380471775,24.01440189,1.618337076,0.570472551,2.83683601,0.004556301,0.045580345,1.341222394,Sig,Up,Speer4c,Promoter
752,25315,peak25315,0.748557907,5.604771436,3.856656289,1.22859106,3.139088681,0.001694742,0.023896931,1.621657873,Sig,Up,Smarcd3,Promoter
754,25569,peak25569,0.847017636,7.031008707,3.617361668,1.089367205,3.320608193,0.000898215,0.015217804,1.817648028,Sig,Up,Bloc1s4,Promoter
766,25954,peak25954,1.134400367,13.62700349,2.488911359,0.698569258,3.562869867,0.000366823,0.008121268,2.090376136,Sig,Up,Polr2b,Promoter
776,26270,peak26270,0.974200783,9.423251521,2.938557528,0.884894757,3.320798893,0.000897602,0.015215697,1.817708137,Sig,Up,Nudt9,Promoter
777,26315,peak26315,1.011733813,10.27386402,2.198686994,0.766411383,2.868807851,0.00412022,0.042398931,1.372645098,Sig,Up,Evi5,Promoter
778,26615,peak26615,2.312730571,205.461555,1.015568471,0.169666891,5.985660883,2.16E-09,4.27E-07,6.36958206,Sig,Up,Tesc,Promoter
781,27171,peak27171,1.015726984,10.36876386,1.979926105,0.703402165,2.814785344,0.004880982,0.047594934,1.322439271,Sig,Up,Por,Promoter
782,27223,peak27223,1.436535566,27.32345196,1.356179833,0.421119481,3.220415804,0.001280048,0.019624036,1.707211668,Sig,Up,Epo,Promoter
783,27234,peak27234,0.844833712,6.995740836,3.379158217,1.142235709,2.958372068,0.003092686,0.035181467,1.453686051,Sig,Up,Mepce,Promoter
787,27458,peak27458,1.391864169,24.65268172,1.462542333,0.440072983,3.323408592,0.000889246,0.015140051,1.819872651,Sig,Up,4930449I24Rik,Promoter
788,27466,peak27466,1.686515108,48.5864433,1.007695267,0.358425102,2.81145283,0.004931832,0.048000492,1.318754315,Sig,Up,Gm3409,Promoter
803,27899,peak27899,0.950787472,8.928684385,4.387773662,1.138760733,3.853112894,0.000116626,0.003591837,2.444683373,Sig,Up,Stra8,Promoter
805,27938,peak27938,1.065522464,11.62846697,2.189995405,0.698807014,3.133905871,0.001724962,0.024174044,1.616650692,Sig,Up,Tmem178b,Promoter
806,27997,peak27997,0.901417253,7.969246369,2.629615107,0.869388483,3.024672123,0.002489028,0.030606733,1.514183026,Sig,Up,Pdia4,Promoter
809,28128,peak28128,0.809559779,6.450000959,3.291334113,1.113658369,2.955425294,0.003122383,0.035447025,1.450420214,Sig,Up,Fkbp14,Promoter
813,28197,peak28197,0.6799276,4.785503075,3.558622164,1.273317045,2.7947652,0.005193742,0.049756373,1.303151285,Sig,Up,Serbp1,Promoter
814,28228,peak28228,0.902305329,7.985559117,2.774082049,0.926358144,2.994610743,0.002747953,0.032600237,1.486779249,Sig,Up,Kdm3a,Promoter
820,28289,peak28289,0.76644084,5.840376431,3.613766695,1.167273932,3.095902853,0.001962146,0.026285325,1.58028665,Sig,Up,Sema4f,Promoter
821,28317,peak28317,0.834860429,6.836918914,3.186591773,1.081447177,2.946599558,0.00321289,0.03603462,1.443280051,Sig,Up,Dguok,Promoter
822,28389,peak28389,0.798637485,6.289809391,2.808140973,0.983146009,2.856280702,0.00428636,0.043657994,1.359936226,Sig,Up,Fam136a,Promoter
823,28393,peak28393,1.012009033,10.28037679,3.276348883,0.827612342,3.958796548,7.53E-05,0.002583423,2.587804551,Sig,Up,Gmcl1,Promoter
824,28397,peak28397,0.928280021,8.477738589,2.42473258,0.838773836,2.89080617,0.00384255,0.040421499,1.39338759,Sig,Up,Gfpt1,Promoter
828,28631,peak28631,0.958986527,9.098850454,2.287088553,0.761912221,3.00177434,0.002684111,0.032102638,1.493459278,Sig,Up,Frmd4b,Promoter
835,29071,peak29071,1.319533561,20.87053399,1.380664896,0.487069421,2.834636781,0.004587781,0.045783615,1.339289922,Sig,Up,Gapdh,Promoter
838,29212,peak29212,1.622553156,41.93273177,1.190741957,0.341036759,3.491535519,0.000480253,0.00989976,2.004375341,Sig,Up,BC049715,Promoter
839,29263,peak29263,1.509900392,32.35194474,1.563632604,0.498475989,3.136826326,0.001707873,0.024016766,1.61948548,Sig,Up,Cmas,Promoter
845,29444,peak29444,1.463344347,29.06326136,1.742675196,0.582536227,2.991531028,0.002775823,0.032872231,1.483170815,Sig,Up,Vmn2r29,Promoter
848,29596,peak29596,1.767624064,58.56310086,1.003904908,0.325868423,3.080706315,0.002065102,0.027288476,1.564020723,Sig,Up,Eml2,Promoter
849,29603,peak29603,0.914771615,8.218103669,2.885362561,0.98478564,2.929939718,0.003390278,0.037333831,1.427897441,Sig,Up,Gm38499,Promoter
850,29604,peak29604,1.853513376,71.36961862,1.041560356,0.268374264,3.880999391,0.000104028,0.00329186,2.482558677,Sig,Up,Ppm1n,Promoter
851,29607,peak29607,1.562493465,36.51686324,1.28133976,0.392657443,3.263250912,0.00110142,0.017587658,1.754791992,Sig,Up,Fosb,Promoter
852,29611,peak29611,1.691616433,49.16051608,1.262441613,0.308988743,4.085720412,4.39E-05,0.001721418,2.764113665,Sig,Up,Klc3,Promoter
853,29752,peak29752,1.645564724,44.21450064,1.134473727,0.348555891,3.254782823,0.001134791,0.017962982,1.745621574,Sig,Up,Zfp974,Promoter
854,29769,peak29769,0.755164376,5.690682771,3.769014114,1.20207562,3.135421808,0.001716072,0.02409938,1.617994136,Sig,Up,Paf1,Promoter
855,29805,peak29805,2.199450558,158.2889354,1.046401012,0.198043839,5.283683746,1.27E-07,1.39E-05,4.856547936,Sig,Up,Ggn,Promoter
856,29857,peak29857,1.342316928,21.99464352,1.443578337,0.464054603,3.110794138,0.00186585,0.025383264,1.595452538,Sig,Up,Fxyd7,Promoter
858,30144,peak30144,1.70774648,51.02070788,1.036929927,0.298989077,3.468119765,0.000524114,0.010491042,1.979181376,Sig,Up,Car11,Promoter
859,30146,peak30146,1.746617184,55.79781395,1.426548907,0.295976467,4.819805177,1.44E-06,0.000112027,3.950676551,Sig,Up,Car11,Promoter
870,30701,peak30701,0.76483849,5.818867794,3.266302143,1.085324459,3.009516755,0.002616636,0.031584116,1.50053127,Sig,Up,Tmem135,Promoter
872,30733,peak30733,0.889512979,7.75377115,2.776679914,0.922125222,3.011174456,0.002602393,0.031485816,1.501885047,Sig,Up,Pcf11,Promoter
878,30857,peak30857,1.097846294,12.52697739,2.074847524,0.658114679,3.152714244,0.001617601,0.023198288,1.634544057,Sig,Up,Pgm2l1,Promoter
879,30887,peak30887,1.248540078,17.7231159,2.404190166,0.605597177,3.969949429,7.19E-05,0.002494242,2.603061405,Sig,Up,Arap1,Promoter
882,31003,peak31003,0.938977151,8.689147125,2.410931228,0.812441397,2.967514012,0.003002186,0.034611746,1.460776494,Sig,Up,1700012D14Rik,Promoter
887,31159,peak31159,0.795998827,6.251710046,6.463562885,1.467485958,4.404514298,1.06E-05,0.000574546,3.24067522,Sig,Up,Zp2,Promoter
888,31206,peak31206,0.997930988,9.952472539,2.651282665,0.875327988,3.028901967,0.002454443,0.030337632,1.518018315,Sig,Up,Ndufab1,Promoter
889,31221,peak31221,0.926870764,8.450273472,2.655838031,0.928971304,2.858902121,0.004251099,0.043369857,1.362812006,Sig,Up,Zkscan2,Promoter
892,31385,peak31385,1.965388821,92.339777,1.218641876,0.232006174,5.252626922,1.50E-07,1.59E-05,4.79957098,Sig,Up,Prss8,Promoter
903,31855,peak31855,0.835312922,6.844046039,2.728389396,0.934328471,2.920160823,0.003498508,0.038037255,1.419790828,Sig,Up,Ptdss2,Promoter
904,31867,peak31867,1.807987895,64.26698046,1.12442623,0.280389913,4.010223536,6.07E-05,0.002203094,2.656966933,Sig,Up,Cracr2b,Promoter
910,32382,peak32382,1.519204919,33.05254607,1.368196486,0.472009203,2.898664852,0.003747552,0.03975831,1.400572081,Sig,Up,6820431F20Rik,Promoter
