"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2","A1cf",6.56571874398514,-0.492830472684238,0.704478122681731,-0.699568172263724,0.484197025019577,0.644130435099823
"3","A2m",2064.51893944117,1.12018255820458,0.219341698764298,5.1070205278583,3.27278206287453e-07,3.49608125570607e-06
"6","A4galt",83.6657009398353,0.724842266624058,0.282547606338799,2.56538102026924,0.0103062560972189,0.0340868877329507
"347","AI115009",8.54834536347357,-0.278764688797676,0.666666417103819,-0.41814718972752,0.675839504565439,0.79600707708777
"350","AI413582",790.210270758867,0.14485018287062,0.209626789154475,0.690990800626529,0.489571322220868,0.649122121616162
"353","AI463170",1.47705591913519,0.515311531926231,1.57496013665207,0.32719020623699,0.743524027892233,NA
"359","AI506816",409.610745964635,-1.99518584300773,0.164105073582126,-12.1579778093164,5.20307431087203e-34,6.01211572484424e-32
"361","AI593442",1963.22034059138,-0.317575845094111,0.23904302367592,-1.32853007048916,0.18400305638907,0.331116708623806
"363","AI661453",20.3282061235248,-0.0336275888432177,0.442095567109159,-0.0760640715379863,0.93936812405914,0.964648402776466
"369","AI854703",728.020335415281,0.454774780612546,0.143118428118328,3.17761162270832,0.00148493517447612,0.00664797171699976
"379","AU021092",196.279586284644,-1.42250000171808,0.238479717224808,-5.9648678649561,2.4483208705099e-09,3.62236689299607e-08
"383","AU022754",11.1159337850003,-1.91576667810277,0.771056193463997,-2.48460059635358,0.0129696858121269,0.041074426714028
"386","AU040320",2677.31001600989,-0.129753080733004,0.129390557893517,-1.00280177197927,0.315956513721246,0.486734999261872
"401","AW551984",159.936968090904,-0.60515868265205,0.842502296798458,-0.718287279395768,0.472580171902775,0.63450596944782
"402","AW554918",657.38497904479,0.0226332471911107,0.141756790731219,0.159662525332031,0.873146922578478,0.925579306505187
"413","Aanat",9.18937313619476,-0.325771682133332,0.616542755102988,-0.528384575825426,0.597232440745444,0.737724769768392
"421","Aass",138.988146727192,2.67543976621503,0.264829138933486,10.1025128012329,5.3844507646644e-24,3.15528814809334e-22
"422","Aatf",996.191911020832,-0.194293097228835,0.130521081857663,-1.48859551624555,0.136593913033108,0.264983793455574
"423","Aatk",9198.07378729879,0.320991424187923,0.171633735979281,1.87021171773988,0.0614544231508124,0.144193361226731
"425","Abca1",2289.80378458263,0.0480678988414233,0.226511203180201,0.212209807579287,0.831943355644994,0.900489912225283
"427","Abca13",8.17633974365043,-0.241127125218516,0.665920791424503,-0.36209580527244,0.717280438177077,0.824862449510056
"428","Abca17",7.80911614890728,-0.327641835365424,0.693313655276876,-0.47257375196884,0.636517312552735,0.767375170048881
"431","Abca4",292.607809585124,2.07299957739569,0.876281981835712,2.36567636944103,0.0179971688532462,0.0538078619796034
"432","Abca5",1581.78371120744,0.539699856003087,0.182251164020616,2.96129716868112,0.00306346199812854,0.0123562646178203
"435","Abca8a",106.818771323677,1.08404737955551,0.243832924076153,4.44586137685384,8.75403866851067e-06,6.92556733234923e-05
"440","Abcb1a",859.386197023499,0.807626433590736,0.180377453738229,4.47742451649636,7.55489266907653e-06,6.0854530640259e-05
"442","Abcb4",57.8337972856121,-0.310689328014654,0.272733423311345,-1.13916851203081,0.25463287616094,0.418513095467165
"444","Abcb7",1793.23378936018,0.381172482665435,0.218552400655798,1.74407822344514,0.0811454507216646,0.17907660463229
"450","Abcc2",1.87901794249309,0.512153208253336,1.71679103910304,0.298320061433287,0.765458894178593,NA
"451","Abcc3",63.8471055446239,-0.8099393766633,0.342467659430988,-2.36500981730368,0.0180295929904177,0.0538753527202283
"452","Abcc4",401.262988855339,0.331347627896323,0.159650621331371,2.0754546717897,0.0379444157167195,0.0984023981476109
"454","Abcc6",68.314380251614,-0.22641201216424,0.286773010622572,-0.789516459978953,0.429810213286742,0.597292160562481
"455","Abcc8",2145.04278993751,0.454994975564294,0.15845896447429,2.87137415717566,0.00408691470606076,0.0156824360376625
"456","Abcc9",518.867617841887,-0.439760098463174,0.189194122511983,-2.32438562374115,0.0201048353791005,0.0588367158047628
"465","Abcg1",2874.2349835106,0.568731420593232,0.125721419952968,4.523743215802,6.07554295922651e-06,4.98936480855798e-05
"466","Abcg2",615.781757459788,0.185079751526176,0.174012377184949,1.06360107551122,0.287509454992108,0.456454294872811
"468","Abcg4",1771.42602124149,0.455899177850664,0.142514402459204,3.19896915668693,0.0013791992335932,0.00625001815047067
"469","Abcg5",1.81737249680539,1.2002121582925,1.61767018607867,0.741938726831508,0.458124460622591,NA
"486","Abhd3",2261.6314380161,0.79002966302546,0.110608058627206,7.1426049135188,9.15785688889229e-13,2.03056913287763e-11
"489","Abhd6",1146.71996353169,0.652243372862029,0.13092325651358,4.98187556764887,6.29709245237423e-07,6.34270675006485e-06
"493","Abi3",802.698725290375,1.05792459865701,0.201676615859173,5.24564830756452,1.55733725801756e-07,1.74540913453225e-06
"497","Ablim1",9459.78862602784,0.133083587420139,0.100208491772376,1.32806696385011,0.184155985965141,0.331355567245974
"498","Ablim2",2420.87587481587,0.145672848744907,0.144313255606284,1.00942112443456,0.312772711672676,0.483692238748847
"499","Ablim3",3818.98037098685,-0.501493035914003,0.123496836967175,-4.06077635856616,4.8909805148533e-05,0.000326755734070492
"500","Abr",9669.77284299769,-0.450637249381001,0.106333102789304,-4.23797705098406,2.25542816685449e-05,0.00016302671965528
"506","Abtb2",1062.94245944798,-0.894892138052023,0.134302728254224,-6.66324615802344,2.67844479492648e-11,5.074817805445e-10
"507","Acaa1a",1742.06316624685,-0.1280537545492,0.162024847359617,-0.790334054535366,0.429332703697322,0.596964166895962
"508","Acaa1b",18.9284889956306,-0.905831607005139,0.546091612523359,-1.65875392742164,0.0971653877372644,0.205714797676521
"509","Acaa2",601.311462275297,0.589620277422242,0.222926094788033,2.64491367860222,0.00817117590927757,0.0280450601970919
"511","Acacb",240.60802023908,1.03848668104186,0.198081031416278,5.24273663973119,1.58212284626074e-07,1.77076887185855e-06
"530","Acbd4",942.15217535055,0.973537615864968,0.191250278366845,5.09038535357101,3.57336570172925e-07,3.79003131441329e-06
"533","Acbd7",8.9567531550287,-0.491980443057638,0.638714398583899,-0.770266717250171,0.441141695057501,0.607138319345791
"535","Accsl",13.5082753598166,-0.075853564398352,0.481411195904031,-0.157565019350886,0.874799569694601,0.926284934147458
"537","Ace",1169.92737298953,0.917602186867699,0.391828440454554,2.34184681898844,0.0191885886101697,0.0566576141651366
"538","Ace2",80.684975715832,0.436879043748326,0.272105202619207,1.60555196866158,0.108372386027237,0.223239081653349
"539","Acer2",174.202923865249,1.12565219354894,0.25109700170295,4.48293761341126,7.36224582488563e-06,5.93902308233645e-05
"540","Acer3",660.327987278174,0.222766578580625,0.183046338091758,1.21699554824722,0.223605909642344,0.38221958177014
