,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Znrf2,408.7738113,0.505992042,0.151055113,3.349718076,0.000808938,0.047626647
Adgrl2,595.6954988,0.512951604,0.131769686,3.89278916,9.91E-05,0.009996373
Arhgef25,697.1615016,0.514170808,0.12380712,4.152998705,3.28E-05,0.004036737
Cirbp,720.8433792,0.519975493,0.121122898,4.292957816,1.76E-05,0.002447453
Grm5,448.6021686,0.520908199,0.144218314,3.611942089,0.000303912,0.022764847
Vps37b,642.4418831,0.525625557,0.131220146,4.005677264,6.18E-05,0.006589448
Zfp57,521.0066597,0.529571498,0.150450198,3.519912264,0.00043169,0.030522873
Fnbp1l,880.3827811,0.529683167,0.126786304,4.177763293,2.94E-05,0.003681332
Mvd,400.928969,0.54067288,0.155412416,3.478955514,0.000503372,0.034463909
Nt5dc2,525.9323061,0.543011005,0.159084566,3.413348116,0.000641699,0.040288589
Igsf3,1288.794649,0.543521151,0.100594314,5.403100136,6.55E-08,2.21E-05
Fxyd6,1642.394946,0.560805128,0.101212376,5.540875063,3.01E-08,1.23E-05
Dchs1,551.0279952,0.561674249,0.140047562,4.010596406,6.06E-05,0.006589448
Kif21b,1115.110385,0.577722149,0.119649564,4.828451776,1.38E-06,0.000285206
Fbn1,392.8605593,0.583103616,0.154608661,3.771480935,0.000162282,0.014111967
Hnrnpa1,2809.742174,0.584871223,0.082020475,7.130795359,9.98E-13,1.37E-09
Spata13,477.9294143,0.588650503,0.156645664,3.757847402,0.000171381,0.014659648
Nhlh2,463.0206942,0.589982996,0.155168594,3.802206248,0.000143413,0.01315143
Afap1,731.419645,0.591136438,0.132993447,4.44485387,8.80E-06,0.001344238
Taf15,567.4384653,0.611413944,0.135507803,4.512020204,6.42E-06,0.00104474
Ppp1r14c,1211.933583,0.614394758,0.116523179,5.27272568,1.34E-07,3.99E-05
Ndufb8,302.7883495,0.617271088,0.182560542,3.381185661,0.000721738,0.044213002
Rcor2,521.7107072,0.621978474,0.163423391,3.805932986,0.000141271,0.013033939
Nsg2,1700.531066,0.629164861,0.096652796,6.509536058,7.54E-11,6.71E-08
Lmnb1,437.4615555,0.653708332,0.183487175,3.562692223,0.000367071,0.026574883
Pabpn1,388.7144857,0.656003779,0.178889443,3.667090514,0.000245326,0.019434698
Necab3,1286.829081,0.666232903,0.106493452,6.256092666,3.95E-10,2.71E-07
Slc29a1,695.9947761,0.680899047,0.127778855,5.328730244,9.89E-08,3.12E-05
Marcksl1,2463.142575,0.684755897,0.199246507,3.436727231,0.000588788,0.037910446
Ifi203,340.340793,0.686114818,0.187366193,3.661892287,0.000250359,0.019601859
Rps29,314.3690766,0.688727109,0.178305227,3.862629934,0.000112173,0.011166366
Col9a3,922.4057075,0.69684023,0.129333244,5.38794365,7.13E-08,2.29E-05
Basp1,1912.088416,0.718525404,0.113634229,6.323142333,2.56E-10,1.85E-07
Cdh13,358.3905855,0.735733316,0.170563468,4.313545707,1.61E-05,0.002271869
Tubb2b,2905.140924,0.740811206,0.19714515,3.757694306,0.000171486,0.014659648
Rassf4,306.9219983,0.741711352,0.201392413,3.682916049,0.000230581,0.018585978
Eln,602.4382615,0.742919506,0.136222581,5.453717754,4.93E-08,1.78E-05
Dusp4,228.5192541,0.759557391,0.200248243,3.793078925,0.000148791,0.013481163
Mex3a,447.5912316,0.783965915,0.162623077,4.820754413,1.43E-06,0.00029243
Hmgb3,304.6597675,0.785896786,0.204628166,3.840609038,0.000122729,0.011828148
Slc44a5,211.8468335,0.791066172,0.231613285,3.415461132,0.000636741,0.040143877
Ppp1r14b,394.5459815,0.794165992,0.173644883,4.573506456,4.80E-06,0.000815423
Ctxn1,235.4061087,0.812625865,0.229142194,3.546382486,0.000390559,0.02800733
Pid1,157.7557195,0.816374265,0.236132511,3.45727177,0.000545674,0.035742844
Ezr,358.030534,0.824774135,0.177037858,4.658744439,3.18E-06,0.00057998
E2f1,143.3127672,0.829023788,0.247284487,3.352510298,0.000800823,0.047332996
Dcc,193.432237,0.84980282,0.249980385,3.399478002,0.000675146,0.041903691
Rnasel,133.8956811,0.859495803,0.252797399,3.399939264,0.000674008,0.041903691
Igfbp2,285.4536442,0.872503088,0.207482124,4.205196432,2.61E-05,0.00328917
Ddr2,222.1021999,0.885484846,0.19831627,4.465013617,8.01E-06,0.001248911
Nr2f1,670.7170033,0.908262611,0.137080555,6.625758182,3.45E-11,3.27E-08
Draxin,408.2545673,0.914035564,0.187514291,4.874484824,1.09E-06,0.000239229
Tomm7,141.6342421,0.971563381,0.257565123,3.772107696,0.000161874,0.014111967
Vash2,185.5470787,1.022194031,0.238946937,4.277912266,1.89E-05,0.002571648
Sfrp1,228.8634115,1.03489038,0.221464046,4.672949848,2.97E-06,0.000547861
Nr2f2,201.2830705,1.10391762,0.237659967,4.644945611,3.40E-06,0.000612744
Sox11,767.2367521,1.133412728,0.152797043,7.417766093,1.19E-13,2.00E-10
Miat,1660.18027,1.194173126,0.207393045,5.758019152,8.51E-09,4.29E-06
Cd24a,424.1398953,1.219143472,0.183129415,6.657278239,2.79E-11,2.81E-08
Cenpf,107.0262745,1.394832177,0.328506525,4.245980121,2.18E-05,0.002814624
Htr2c,72.33774056,1.986341726,0.382378946,5.194694289,2.05E-07,5.54E-05
Capn11,40.28367008,2.892602285,0.526186849,5.497291109,3.86E-08,1.54E-05
Aqp1,16.76176175,5.017924294,1.417701291,3.539479244,0.000400917,0.028614526
Tmem72,21.64179115,5.396774051,1.277503214,4.224470037,2.40E-05,0.003071128
Ttr,1458.263876,8.409977886,2.301590714,3.653984975,0.000258201,0.020035103
